name,category,reference,description,url,img_names
Mini Libreta Sevilla Material Antibacteriano,antimicrobianos,OF-373-1,"Libreta con tapas antibacterianas y banda elástica para cerrar. Material antibacteriano que inhibe y previene el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.) Papel blanco, 80 hojas. Medidas: 14 cm x 9 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 30,0    X 20,0 X 39,0 / 12,3 Kg",https://www.catalogospromocionales.com/p/Mini-Libreta-Sevilla-Material-Antibacteriano/9566/430,"['OF-373-1_1.jpg', 'OF-373-1_2.jpg', 'OF-373-1_3.jpg']"
Botilito Metalico Urban Travel Premier 500ml,antimicrobianos,MU-261,"Doble pared en acero Inoxidable, con aislamiento térmico que mantiene la bebida fría entre 8-10h aprox o caliente 3-4h aprox (puede variar dependiendo condiciones climáticas). Tapa rosca de seguridad con interior plástico y botón superior de presión para dispensar líquido. Material antibacteriano que inhibe y previene el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.). Medidas: 21 cm x 7 cm diámetro inferior Marca: 5 cm / Tampografía con Tratamiento/ Láser  VIDEO Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Botilito-Metalico-Urban-Travel-Premier-500ml/9553/430,"['MU-261_1.jpg', 'MU-261_2.jpg', 'MU-261_3.jpg', 'MU-261_4.jpg', 'MU-261_5.jpg']"
Portacomidas Eco Holder Antibacteriano,antimicrobianos,HO-299,"Portacomidas en plástico antibacteriano mezclado con material ecológico en fibra de trigo (50%-60% aprox). Con pieza plástica para cerrar que sirve como soporte para móviles. Plástico antibacteriano tratado para inhibir y prevenir el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Apto para lavavajillas y microondas (retire la tapa al colocar en el microondas). Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.) El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Medidas: 19 cm x 11.8 cm x 6.3 cm Marca: 5.5 cm / Tampografía (Producto con tratamiento) Unidades por Caja: 60   Unidades  Empaque: 63,0    X 41,0 X 40,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/Portacomidas-Eco-Holder-Antibacteriano/9536/430,"['HO-299_1.jpg', 'HO-299_2.jpg', 'HO-299_3.jpg']"
Libreta Igor Material Antibacteriano,antimicrobianos,OF-434-1,"Libreta con tapas antibacterianas y banda elástica para cerrar. Material antibacteriano que inhibe y previene el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.) Papel blanco, 80 hojas. Medidas: 14 cm x 21 cm Marca: 4.5 cm / Tampografía con Empaque y Desempaque Unidades por Caja: 50   Unidades  Empaque: 30,0    X 23,0 X 39,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/Libreta-Igor-Material-Antibacteriano/9567/430,"['OF-434-1_1.jpg', 'OF-434-1_2.jpg', 'OF-434-1_3.jpg']"
KLEAN ANTIBACTERIANO,antimicrobianos,KLEAN-AN,"Bolígrafo plástico fabricado con un aditivo antibacteriano que inhibe y previene el crecimiento bacteriano sobre el cuerpo del bolígrafo gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el bolígrafo se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Mecanismo Push.  Material antibacteriano en cumplimiento de estandar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.)  Medidas: 14 cm Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 53,0    X 31,0 X 21,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/klean-antibacteriano/9468/430,['KLEAN-AN_1.jpg']
Botilito Metalico Urban Travel Lock 600ml,antimicrobianos,MU-262,"Doble pared en acero Inoxidable, con aislamiento térmico que mantiene la bebida fría entre 8-10h aprox o caliente 3-4h aprox (puede variar dependiendo condiciones climáticas). Agarre de silicona antideslizante, apto para colocar en el portavaso del carro. Tapa de seguridad con interior plástico. Material antibacteriano que inhibe y previene el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.). Medidas: 23 cm x 8 cm diámetro Marca: 5 cm / Tampografía con Tratamiento / Láser (Líquido Oxidante)   VIDEO Unidades por Caja: 24   Unidades  Empaque: 36,0    X 54,0 X 26,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/Botilito-Metalico-Urban-Travel-Lock-600ml/9554/430,"['MU-262_1.jpg', 'MU-262_2.jpg', 'MU-262_3.jpg', 'MU-262_4.jpg', 'MU-262_5.jpg']"
Tapabocas Antibacterial Fluidtech - Prod Nacional,antimicrobianos,CP-271,"Tapabocas en tela 100% poliéster Antifluido Lafayette, exterior tela Orión Antimicrobial con protección UV UPF50 e Interior tela Hydrotech Antibacterial. Repele líquidos evitando el paso del agua y salpicaduras accidentales de fluidos. Con elástico. Clip nasal adicional opcional. No estéril. Talla única. Artículo para uso personal, no se admiten cambios/devoluciones Marca: Sublimación Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/tapabocas-antibacterial-fluidtech-produccion-nacional/9629/430,"['CP-271_1.jpg', 'CP-271_2.jpg', 'CP-271_3.jpg', 'CP-271_4.jpg']"
Boligrafo Flom 4-1 Antibacteriano,antimicrobianos,FLOM4-1,"Bolígrafo plástico con tapa importado; limpiador de pantallas en la punta de la tapa y soporte portacelular. Mina adicional. Barril antibacteriano tratado para inhibir y prevenir el crecimiento bacteriano sobre el cuerpo del bolígrafo gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el bolígrafo se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.) Capacidad para líquido 3.8ml (Entre 45-50 push del spray aprox). Recargable apto para líquidos únicamente. Líquido Antibacterial de producción Nacional. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 15 cm Marca: 4 cm / Tampografía  Producto con condiciones especiales de Alistamiento. Consulte con su asesora de servicio al cliente Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/BoligrafoFlom-4-1-Antibacteriano/9531/430,"['FLOM4-1_1.jpg', 'FLOM4-1_2.jpg', 'FLOM4-1_3.jpg', 'FLOM4-1_4.jpg', 'FLOM4-1_5.jpg']"
Llavero Metálico Multiusos Antimicrobiano,antimicrobianos,LL-106,"Elaborado con una aleación de Cobre con Latón (Brass bajo en plomo). El cobre es un material antimicrobiano por naturaleza, lo que desacelera la expansión de microorganismos, bacterias y algunos hongos. Diseño ergonómico que permite fácilmente abrir puertas, presionar botones, halar palancas. Reduce la contaminación y la exposición de los dedos a superficies y reduce el área de contacto hasta en 99%. Peso und: 35 gramos. Puede usarlo en pantallas, puertas y botones públicos. Fácil de cargar. Con Destapador Apto como stylus en smartphones que no tengan película protectora. Empaque bolsa individual en PVC. Limpie después de cada uso con un elemento desinfectante no abrasivo y seque antes de dos minutos. El uso de este elemento no sustituye los protocolos de desinfección que deben tener las superficies. Se ha demostrado que el cobre reduce la contaminación microbiana pero no la previene por sí solo. Medidas Cerrado: 8.2 cm x 4 cm Marca: 2.5 cm / Láser  Leer más aquí: Propiedades Antimicrobianas del Cobre  VER VIDEO  Unidades por Caja: 300   Unidades  Empaque: 27,0    X 17,0 X 11,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/llavero-metalico-multiusos-antimicrobiano-aleacion-de-cobre/9478/430,"['LL-106_1.jpg', 'LL-106_2.jpg', 'LL-106_3.jpg', 'LL-106_4.jpg', 'LL-106_5.jpg', 'LL-106_6.jpg', 'LL-106_7.jpg', 'LL-106_8.jpg']"
Botilito Metalico Vortex 600ml,antimicrobianos,MU-258,"Doble pared en acero Inoxidable, con aislamiento térmico que mantiene la bebida fría entre 8-10h aprox o caliente 3-4h aprox (puede variar dependiendo condiciones climáticas). Tapa rosca con interior plástico. Material antibacteriano que inhibe y previene el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.). Medidas: 25 cm x 7 cm diámetro Marca: 5 cm / Tampografía con Tratamiento / Láser Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Botilito-Metalico-Vortex-600ml/9550/430,"['MU-258_1.jpg', 'MU-258_2.jpg', 'MU-258_3.jpg', 'MU-258_4.jpg', 'MU-258_5.jpg', 'MU-258_6.jpg']"
