name,category,reference,description,url,img_names
TEGAN STYLUS OFERTA,articulos-escritura,PTEGAN-STY,"Bolígrafo plástico con stylus. Medidas: 11 cm Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 31,0 X 20,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/tegan-stylus/6999/253,"['PTEGAN-STY_1.jpg', 'PTEGAN-STY_2.jpg']"
BRUNO STYLUS-OFERTA,articulos-escritura,PMBRUNO-ST,"Bolígrafo plástico con stylus y clip deslizable. Medidas: 14,5 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 33,0 X 22,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/bruno-stylus-OFERTA/7047/253,"['PMBRUNO-ST_1.jpg', 'PMBRUNO-ST_2.jpg', 'PMBRUNO-ST_3.jpg', 'PMBRUNO-ST_4.jpg']"
BRUNO STYLUS-OFERTA,articulos-escritura,PMBRUNO-ST,"Bolígrafo plástico con stylus y clip deslizable. Medidas: 14,5 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 33,0 X 22,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/bruno-stylus-OFERTA/7047/253,"['PMBRUNO-ST_1.jpg', 'PMBRUNO-ST_2.jpg', 'PMBRUNO-ST_3.jpg', 'PMBRUNO-ST_4.jpg']"
BILLY,articulos-escritura,BILLY,"Bolígrafo plástico con mecanismo twist. Clip metálico. Medidas: 13 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 44,0    X 34,0 X 20,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/billy/7010/253,"['BILLY_1.jpg', 'BILLY_2.jpg', 'BILLY_3.jpg']"
SMITH,articulos-escritura,SMITH,"Bolígrafo plástico con mecanismo twist. Clip metálico, regla, nivelador y 2 destornilladores. Medidas: 14 cm Marca: 1.5 cm / Tampografía Unidades por Caja: 1000   Unidades  Empaque: 50,0    X 32,0 X 21,0 / 13,2 Kg",https://www.catalogospromocionales.com/p/smith/7031/253,['SMITH_1.jpg']
FRITZ NEON,articulos-escritura,FRITZ NEON,"Bolígrafo plástico en colores neón. Medidas: 14 cm Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 42,5    X 32,0 X 20,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/fritz-neon/7050/253,"['FRITZ NEON_1.jpg', 'FRITZ NEON_2.jpg']"
TALBOT 2-1,articulos-escritura,TALBOT 2-1,"Bolígrafo plástico con resaltador de cera. No se seca. Medidas: 14.5 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 33,0    X 26,5 X 49,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/talbot-2-1/7016/253,"['TALBOT 2-1_1.jpg', 'TALBOT 2-1_2.jpg']"
LAMONT,articulos-escritura,LAMONT,"Bolígrafo plástico con mecanismo twist. Clip metálico. Medidas: 13.5 cm Marca: 2.3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 45,0    X 31,0 X 18,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/lamont/6998/253,"['LAMONT_1.jpg', 'LAMONT_2.jpg']"
ASH STYLUS,articulos-escritura,ASH-STY,"Bolígrafo plástico con clip metálico, limpiador de pantalla en el clip. Medidas: 13,5 cm Marca: 2,5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 52,5    X 31,0 X 22,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/ash-stylus/7045/253,"['ASH-STY_1.jpg', 'ASH-STY_2.jpg', 'ASH-STY_3.jpg']"
BARCELONA SOLIDO,articulos-escritura,BARC-SOLID,"Bolígrafo plástico. Clip metálico. Medidas: 13.5 cm Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 44,0    X 34,0 X 20,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/barcelona-solido/7007/253,"['BARC-SOLID_1.jpg', 'BARC-SOLID_2.jpg']"
ZANDER OFERTA,articulos-escritura,PM ZANDER,"Bolígrafo plástico. Medidas: 13,8 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 43,0    X 31,0 X 18,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/zander/6995/253,"['PM ZANDER_1.jpg', 'PM ZANDER_2.jpg']"
BOLIGRAFO MEDIC,articulos-escritura,MEDIC,"Bolígrafo plástico con clip de doctor, doctora o cirujano. Medidas: 14,8 cm Marca: 2 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 31,0 X 20,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/boligrafo-medic/7022/253,"['MEDIC_1.jpg', 'MEDIC_2.jpg', 'MEDIC_3.jpg', 'MEDIC_4.jpg']"
HARPER,articulos-escritura,HARPER,"Bolígrafo plástico con cierre de tapa. Medidas: 13,5 cm Marca: 2,5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1500   Unidades  Empaque: 42,0    X 26,0 X 26,0 / 8,9 Kg",https://www.catalogospromocionales.com/p/harper/7023/253,"['HARPER_1.jpg', 'HARPER_2.jpg']"
SUMMIT STYLUS,articulos-escritura,SUMMIT-STY,"Bolígrafo plástico con stylus. Medidas: 14,8 cm Marca: 4 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 43,0    X 31,0 X 20,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/summit-stylus/5747/253,"['SUMMIT-STY_1.jpg', 'SUMMIT-STY_2.jpg']"
