name,category,reference,description,url,img_names
Portanotas Car,automovil,OF-487,"Portanotas plástico para automóvil. Medidas: 6.7 cm x 9.5 cm x 1.5 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 38,0    X 23,0 X 33,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/Portanotas-Car/8086/264,"['OF-487_1.jpg', 'OF-487_2.jpg', 'OF-487_3.jpg', 'OF-487_4.jpg', 'OF-487_5.jpg', 'OF-487_6.jpg', 'OF-487_7.jpg', 'OF-487_8.jpg', 'OF-487_9.jpg']"
Cargador Dual Rusty-OFERTA,automovil,PM TE-169,"Cargador dual para carro. Medidas: 8 cm x 2,7 cm diámetro. Marca: 1,5 cm / Tampografía / Litoresina a partir de 500 unidades Unidades por Caja: 500   Unidades  Empaque: 45,0    X 44,0 X 44,0 / 17,5 Kg",https://www.catalogospromocionales.com/p/cargador-dual-rusty-OFERTA/7564/264,"['PM TE-169_1.jpg', 'PM TE-169_2.jpg', 'PM TE-169_3.jpg', 'PM TE-169_4.jpg']"
Metro Neumatic,automovil,HE-174,"Cinta métrica de 1 metro y llavero plástico en forma de neumático. Medidas: 1.5 cm x 4 cm diámetro Marca: 2 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 500   Unidades  Empaque: 41,0    X 26,0 X 25,0 / 13,5 Kg",https://www.catalogospromocionales.com/p/metro-neumatic/5374/264,"['HE-174_1.jpg', 'HE-174_2.jpg', 'HE-174_3.jpg']"
Cargador Triple Para Carro,automovil,TE-170,"Cargador de tres salidas para carro. Dos salidas 1.0A y una salida 2.1A. Medidas: 6 cm x 3,5 cm x 2,4 cm Marca: 1,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 40,0    X 30,0 X 30,0 / 5,6 Kg",https://www.catalogospromocionales.com/p/cargador-triple-para-carro/7624/264,"['TE-170_1.jpg', 'TE-170_2.jpg', 'TE-170_3.jpg', 'TE-170_4.jpg', 'TE-170_5.jpg']"
Cargador Dual Rusty-OFERTA,automovil,PM TE-169,"Cargador dual para carro. Medidas: 8 cm x 2,7 cm diámetro. Marca: 1,5 cm / Tampografía / Litoresina a partir de 500 unidades Unidades por Caja: 500   Unidades  Empaque: 45,0    X 44,0 X 44,0 / 17,5 Kg",https://www.catalogospromocionales.com/p/cargador-dual-rusty-OFERTA/7564/264,"['PM TE-169_1.jpg', 'PM TE-169_2.jpg', 'PM TE-169_3.jpg', 'PM TE-169_4.jpg']"
Aspiradora Para Carro,automovil,HO-235,"Aspiradora plástica para carro con accesorios. Empaque caja individual. Medidas: 40 cm x 10 cm x 9 cm Marca: 5 cm / Tampografía Unidades por Caja: 10   Unidades  Empaque: 65,0    X 29,0 X 46,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/aspiradora-para-carro/7410/264,"['HO-235_1.jpg', 'HO-235_2.jpg']"
Soporte Magnético Para Moviles,automovil,TE-161,"Soporte para móviles con base magnética para colocar en la rejilla del ventilador de carro. Empaque Caja Individual. Medidas: 1 cm x 4.3 cm diámetro Marca: 2.5 cm / Tampografía en silicona a una tinta Unidades por Caja: 100   Unidades  Empaque: 34,0    X 24,0 X 35,0 / 6,1 Kg",https://www.catalogospromocionales.com/p/soporte-magnetico-para-moviles/7557/264,"['TE-161_1.jpg', 'TE-161_2.jpg', 'TE-161_3.jpg', 'TE-161_4.jpg', 'TE-161_5.jpg', 'TE-161_6.jpg']"
Protector Solar para Carro I,automovil,VA-109,"Parasol flexible, elaborado en lona nylon con funda. Medidas: Abierto: 67 cm x 140 cm Marca: 40 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 51,0    X 25,0 X 52,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/protector-solar-para-carro-i/1442/264,['VA-109_1.jpg']
Set Travel Adaptors,automovil,TE-125,"Kit de viaje compuesto por: cargador para carro y adaptador de pared. En estuche rígido. Medidas: 2.8 cm x 8 cm diámetro Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 43,0    X 42,0 X 43,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/Set-Travel-Adaptors/7319/264,"['TE-125_1.jpg', 'TE-125_2.jpg', 'TE-125_3.jpg', 'TE-125_4.jpg', 'TE-125_5.jpg', 'TE-125_6.jpg', 'TE-125_7.jpg']"
Soporte Para Movil Flexi,automovil,TE-122,"Soporte ajustable para móviles, se fija en la rejilla del ventilador de carro. Medidas: 10 cm x 2.5 cm x 1 cm Marca: 2.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 37,0    X 30,0 X 47,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/soporte-para-movil-flexi/7518/264,"['TE-122_1.jpg', 'TE-122_2.jpg', 'TE-122_3.jpg', 'TE-122_4.jpg', 'TE-122_5.jpg', 'TE-122_6.jpg']"
