name,category,reference,description,url,img_names
Destapador Eléctrico para Vino,bar-y-vino,HO-84,"Diseño ergonómico con base en plástico. Incluye removedor de sellos. 4 pilas AA no incluidas. Empaque Caja Individual. Medidas: 26 cm x 7 cm diámetro Marca: 4 cm / Láser Unidades por Caja: 10   Unidades  Empaque: 21,0    X 30,0 X 55,0 / 6,0 Kg",https://www.catalogospromocionales.com/p/destapador-electrico-para-vino/3778/265,"['HO-84_1.jpg', 'HO-84_2.jpg', 'HO-84_3.jpg', 'HO-84_4.jpg']"
Set de Bar y Portavino,bar-y-vino,HO-02,"Estuche en madera con argolla antigoteo, 2 corchos, boquilla, termómetro y descorchador con navaja de sierra y destapador. Espacio para una botella de vino. No incluye botella de vino. Empaque Caja Individual. Medidas: 33 cm x 11.5 cm Marca: 15 cm / Láser Unidades por Caja: 8   Unidades  Empaque: 55,0    X 30,0 X 42,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/set-de-bar-y-portavino/1534/265,"['HO-02_1.jpg', 'HO-02_2.jpg']"
Nevera Wine Cooler Bag - Producción Nacional,bar-y-vino,HO-95,"Nevera en lona poliéster con bolsillos laterales. Incluye dos copas plásticas, destapador, servilletas y cuchillo. Ver copa VA-157 Medidas: 34 cm x 25 cm Marca: 10 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/nevera-wine-cooler-bag-produccion-nacional/3785/265,"['HO-95_1.jpg', 'HO-95_2.jpg']"
Decantador de Vino Vacuum OFERTA,bar-y-vino,PM HO-203,"Decantador de vino en vidrio con tapa-corcho y bomba al vacío para preservar por más tiempo el vino. Tapa con indicador. Medidas: 27 cm X 6.7 cm diámetro superior X 16 cm diámetro inferior. Sin Marca. Unidades por Caja: 4   Unidades  Empaque: 48,5    X 41,5 X 35,5 / 5,8 Kg",https://www.catalogospromocionales.com/p/decantador-de-vino-vacuum-oferta/6296/265,['PM HO-203_1.jpg']
Caja en Pino para una botella de Vino,bar-y-vino,HO-138,"Agarradera y tapa frontal corrediza. No incluye botella. Medidas: 35.6 cm x 10.5 cm x 10.4 cm. Marca: 5 cm / Láser Unidades por Caja: 21   Unidades  Empaque: 37,0    X 33,5 X 76,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/caja-en-pino-para-una-botella-de-vino/4316/265,['HO-138_1.jpg']
Set de Stoppers Rabbit OFERTA,bar-y-vino,PM HO-183,"Set de 4 corchos en silicona y acero inoxidable en colores surtidos. Aplican para cualquier tamaño de botella de vino. Medidas Estuche: 7 cm ancho X 15 cm alto X 3.8 cm. Medidas Corcho: 6.2 cm alto X 2.5 cm diámetro. Sin Marca. Unidades por Caja: 24   Unidades  Empaque: 37,0    X 36,0 X 23,0 / 5,0 Kg",https://www.catalogospromocionales.com/p/set-de-stoppers-rabbit-oferta/5397/265,['PM HO-183_1.jpg']
Set de Vino en Imitacion Cuero,bar-y-vino,HO-31,"Estuche en imitación cuero con dos broches. Incluye argolla antigoteo, boquilla, corcho metálico, descorchador y termómetro. Espacio para una botella de vino. No incluye botella de vino. Empaque Caja Individual. Medidas: 36 cm x 14 cm Marca: 10 cm / Láser Unidades por Caja: 8   Unidades  Empaque: 55,0    X 33,0 X 39,0 / 9,6 Kg",https://www.catalogospromocionales.com/p/set-de-vino-en-imitacion-cuero/2517/265,"['HO-31_1.jpg', 'HO-31_2.jpg', 'HO-31_3.jpg']"
Set de Vino Remy,bar-y-vino,HO-221,"Set de vino en madera: 2 corchos, dosificador, cortador, termómetro, destapador y argolla antigoteo. Empaque Caja Individual. Medidas: 23 cm x 17 cm x 5 cm Marca: 6 cm / Láser Unidades por Caja: 24   Unidades  Empaque: 50,0    X 40,0 X 39,0 / 17,4 Kg",https://www.catalogospromocionales.com/p/set-de-vino-remy/6787/265,"['HO-221_1.jpg', 'HO-221_2.jpg']"
Set de Stoppers Rabbit OFERTA,bar-y-vino,PM HO-183,"Set de 4 corchos en silicona y acero inoxidable en colores surtidos. Aplican para cualquier tamaño de botella de vino. Medidas Estuche: 7 cm ancho X 15 cm alto X 3.8 cm. Medidas Corcho: 6.2 cm alto X 2.5 cm diámetro. Sin Marca. Unidades por Caja: 24   Unidades  Empaque: 37,0    X 36,0 X 23,0 / 5,0 Kg",https://www.catalogospromocionales.com/p/set-de-stoppers-rabbit-oferta/5397/265,['PM HO-183_1.jpg']
Wine Bar Decanter OFERTA,bar-y-vino,PM HO-142,"Decantador de vino en cristal europeo. Medidas: 22 cm x 20 diámetro base Sin marca Unidades por Caja: 4   Unidades  Empaque: 42,0    X 42,0 X 24,0 / 3,1 Kg",https://www.catalogospromocionales.com/p/winebar-decanter/4452/265,['PM HO-142_1.jpg']
Set de Vino Bottle,bar-y-vino,HO-77,"Estuche plástico en forma de botella. Incluye: descorchador con navaja de sierra y destapador, argolla antigoteo y boquilla. Empaque Caja Individual. Medidas: 23.6 cm x 6.4 cm diámetro Marca: 5 cm / Láser Unidades por Caja: 30   Unidades  Empaque: 44,0    X 38,0 X 27,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/set-de-vino-bottle/4049/265,"['HO-77_1.jpg', 'HO-77_2.jpg', 'HO-77_3.jpg', 'HO-77_4.jpg', 'HO-77_5.jpg']"
Set de vino en Bambú - 5 piezas,bar-y-vino,HO-117,"Incluye: Termómetro, descorchador, aro antigoteo y 2 corchos. No incluye botella de vino. Empaque Caja Individual. Medidas: 11.2 cm x 36.3 cm x 11.5 cm Marca: 5 cm / Láser Unidades por Caja: 8   Unidades  Empaque: 39,0    X 27,5 X 51,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/set-de-vino-en-bambu-5-piezas/4372/265,['HO-117_1.jpg']
Decantador de Vino Vacuum OFERTA,bar-y-vino,PM HO-203,"Decantador de vino en vidrio con tapa-corcho y bomba al vacío para preservar por más tiempo el vino. Tapa con indicador. Medidas: 27 cm X 6.7 cm diámetro superior X 16 cm diámetro inferior. Sin Marca. Unidades por Caja: 4   Unidades  Empaque: 48,5    X 41,5 X 35,5 / 5,8 Kg",https://www.catalogospromocionales.com/p/decantador-de-vino-vacuum-oferta/6296/265,['PM HO-203_1.jpg']
Decantador de Vino Aerato OFERTA,bar-y-vino,PM HO-202,"Decantador tipo “Ducha” para vino tinto en vidrio. Con tapa de madera. Empaque Caja Individual. Medidas: 19 cm x 21 cm díametro. Sin marca Unidades por Caja: 4   Unidades  Empaque: 49,0    X 26,5 X 55,0 / 6,5 Kg",https://www.catalogospromocionales.com/p/decantador-de-vino-aerato/6102/265,"['PM HO-202_1.jpg', 'PM HO-202_2.jpg', 'PM HO-202_3.jpg', 'PM HO-202_4.jpg']"
Vino Amauta IV,bar-y-vino,WN-24,"Cafayate Salta; Syrah: Syrah 100%, 8 meses en barrica; rojo rubí con tonalidades violáceas, frutos rojos con segunda nota a especias y cuero, tostado y ahumado por el roble. Vino de intensos sabores, sensación dulce con acidez equilibrado. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/vino-amauta-iv/4011/265,['WN-24_1.jpg']
Copa Harmony OFERTA,bar-y-vino,PM HO-141,"Fabricado con cristal europeo. Medidas: Copa Bungundy #72 altura: 229 mm, diámetro 110 mm, capacidad: 724 ml. Copa Red Wine #53 altura: 223 mm, diámetro 92 mm, capacidad: 512 ml. Copa Vino Blanco #35 altura: 209 mm, diámetro 81.5 mm, capacidad: 347 ml. Copa Champagne #20 altura: 221mm, diámetro 64 mm, capacidad: 213 ml. Sin marca Empaque caja de cartón por 6 und Unidades por Caja: 6   Unidades  Empaque: 18,3    X 26,4 X 22,0 / 1,7 Kg",https://www.catalogospromocionales.com/p/copa-harmony/4451/265,"['PM HO-141_1.jpg', 'PM HO-141_2.jpg', 'PM HO-141_3.jpg', 'PM HO-141_4.jpg', 'PM HO-141_5.jpg']"
Set Identificador de Copas Kolors-OFERTA,bar-y-vino,PM HO-217,"Identificadores plásticos para copas y/o vasos. Medidas: 14 cm x 2.2 cm x 1.5 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 32,0    X 21,0 X 31,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/Set-Identificador-de-Copas-Kolors-OFERTA/6783/265,"['PM HO-217_1.jpg', 'PM HO-217_2.jpg']"
Destapador Clip - Produccion Nacional,bar-y-vino,HO-99,"Destapador plástico. Medidas: 11 cm x 4 cm Marca: 4 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/destapador-clip-produccion-nacional/4054/265,"['HO-99_1.jpg', 'HO-99_2.jpg', 'HO-99_3.jpg', 'HO-99_4.jpg', 'HO-99_5.jpg', 'HO-99_6.jpg', 'HO-99_7.jpg']"
