name,category,reference,description,url,img_names
PVC PARA BOLIGRAFO BUCK,copa-america-2020,BUCK-PVC,"PVC para clip de bolígrafo BUCK en formas variadas. Medidas: 4 cm  Ver BUCK SOLIDO Ver BUCK METALIZADO Unidades por Caja: 1000   Unidades  Empaque: 20,0    X 31,0 X 51,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/PVC-PARA-BOLIGRAFO-BUCK/7932/421,"['BUCK-PVC_1.jpg', 'BUCK-PVC_2.jpg', 'BUCK-PVC_3.jpg', 'BUCK-PVC_4.jpg']"
Destapador Rectangular - Produccion Nacional,copa-america-2020,HO-282,"En poliestireno con iman. Medidas: 8.4 cm x 4.3 cm Marca: 3 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Destapador-Rectangular-Produccion-Nacional/8755/421,"['HO-282_1.jpg', 'HO-282_2.jpg', 'HO-282_3.jpg', 'HO-282_4.jpg', 'HO-282_5.jpg', 'HO-282_6.jpg']"
Cuello Multifuncional para Sublimación,copa-america-2020,CP-204,"Cuello multifuncional en poliéster para sublimación. Con múltiples usos: bufanda, máscara, banda para el cabello. Tubular, sin costuras laterales. Medidas: 49~50 cm x 24.5 cm Marca: Sublimación  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Cuello-Multifuncional-para-Sublimacion/8689/421,"['CP-204_1.jpg', 'CP-204_2.jpg', 'CP-204_3.jpg', 'CP-204_4.jpg', 'CP-204_5.jpg', 'CP-204_6.jpg', 'CP-204_7.jpg', 'CP-204_8.jpg', 'CP-204_9.jpg', 'CP-204_10.jpg', 'CP-204_11.jpg', 'CP-204_12.jpg', 'CP-204_13.jpg', 'CP-204_14.jpg', 'CP-204_15.jpg', 'CP-204_16.jpg']"
Destapador Botella con Iman - Produccion Nacional,copa-america-2020,HO-283,"En poliestireno con iman. Medidas: 13 cm x 4.3 cm. Marca: 3 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Destapador-Botella-con-Iman-Produccion-Nacional/8756/421,"['HO-283_1.jpg', 'HO-283_2.jpg', 'HO-283_3.jpg', 'HO-283_4.jpg', 'HO-283_5.jpg']"
Bola Inflable Wembley,copa-america-2020,JU-79,"Balón inflable de PVC con diseño retro. Medidas: Desinflado: 33 cm. Inflado: 25 cm Marca: 10 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bola-inflable-wembley/9430/421,"['JU-79_1.jpg', 'JU-79_2.jpg', 'JU-79_3.jpg']"
Gorra Trucker,copa-america-2020,CAP-22,"5 paneles, frente en poliéster espumado y cuatro paneles en poliéster-malla. Botón forrado y cierre a presión. Marca: Se define por puntadas / Bordado o screen / Sublimación en los colores que tienen panel blanco Unidades por Caja: 200   Unidades  Empaque: 65,0    X 45,0 X 38,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/gorra-trucker/3502/421,"['CAP-22_1.jpg', 'CAP-22_2.jpg', 'CAP-22_3.jpg', 'CAP-22_4.jpg', 'CAP-22_5.jpg', 'CAP-22_6.jpg', 'CAP-22_7.jpg', 'CAP-22_8.jpg', 'CAP-22_9.jpg', 'CAP-22_10.jpg', 'CAP-22_11.jpg', 'CAP-22_12.jpg', 'CAP-22_13.jpg', 'CAP-22_14.jpg', 'CAP-22_15.jpg', 'CAP-22_16.jpg', 'CAP-22_17.jpg']"
Gorra Colombia,copa-america-2020,CAP-19,"5 cascos en dril, visera indeformable con bandera de Colombia, botón forrado, cierres de velcro, encintado interior y tafilete absorbente en poliéster. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 71,0    X 45,0 X 39,0 / 15,5 Kg",https://www.catalogospromocionales.com/p/gorra-colombia/5219/421,"['CAP-19_1.jpg', 'CAP-19_2.jpg', 'CAP-19_3.jpg', 'CAP-19_4.jpg']"
Destapador Clip - Produccion Nacional,copa-america-2020,HO-99,"Destapador plástico. Medidas: 11 cm x 4 cm Marca: 4 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/destapador-clip-produccion-nacional/4054/421,"['HO-99_1.jpg', 'HO-99_2.jpg', 'HO-99_3.jpg', 'HO-99_4.jpg', 'HO-99_5.jpg', 'HO-99_6.jpg', 'HO-99_7.jpg']"
Hielera Plástica (stock telefònicamente),copa-america-2020,HO-90,"Hielera plástica en SAN. Medidas: 21.7 cm x 21.5 cm diámetro Marca: 12 cm / Screen  *El precio de la marca debe ser consultado con su asesora. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/hielera-plastica-produccion-nacional/4056/421,"['HO-90_1.jpg', 'HO-90_2.jpg', 'HO-90_3.jpg', 'HO-90_4.jpg', 'HO-90_5.jpg', 'HO-90_6.jpg', 'HO-90_7.jpg']"
Botilito metálico Sport Bottle - 500 ml.,copa-america-2020,MU-12,"Botella en aluminio con carabinero. Medidas: 21.7 cm x 6.5 cm diámetro Marca: 4 cm / Tampografía / 3.5 cm / Láser (Líquido Oxidante en silver) Unidades por Caja: 50   Unidades  Empaque: 72,0    X 37,0 X 24,0 / 5,0 Kg",https://www.catalogospromocionales.com/p/botilito-metalico-sport-bottle-500-ml/4433/421,"['MU-12_1.jpg', 'MU-12_2.jpg', 'MU-12_3.jpg', 'MU-12_4.jpg', 'MU-12_5.jpg', 'MU-12_6.jpg', 'MU-12_7.jpg', 'MU-12_8.jpg']"
