name,category,reference,description,url,img_names
Hojas De Jabon Antibacteriano Con Estuche,covid-19,CP-164,"Hojas de jabón antibacteriano, peso neto 4g (25 hojas). En estuche plástico. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 6.3 cm diámetro Marca: 4 cm / Tampografía   No deja Residuos. Ver repuesto CP-165 Unidades por Caja: 500   Unidades  Empaque: 36,0    X 73,0 X 16,5 / 12,5 Kg",https://www.catalogospromocionales.com/p/hojas-de-jabon-antibacteriano-con-estuche/7376/423,"['CP-164_1.jpg', 'CP-164_2.jpg', 'CP-164_3.jpg', 'CP-164_4.jpg']"
Gel Antibacterial Missy 30ml,covid-19,CP-147,"Gel antibacterial importado, en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con AloeVera. Adicional funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213.  Medidas: 2.7 cm x 7.6 cm Marca: 1.5 cm / Tampografía con tratamiento Unidades por Caja: 300   Unidades  Empaque: 30,5    X 26,0 X 28,5 / 11,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-missy-30ml/6750/423,"['CP-147_1.jpg', 'CP-147_2.jpg', 'CP-147_3.jpg', 'CP-147_4.jpg', 'CP-147_5.jpg', 'CP-147_6.jpg', 'CP-147_7.jpg', 'CP-147_8.jpg']"
Gel antibacterial con dispensador 60ml,covid-19,CP-110-1,"Gel antibacterial de producción nacional en botella plástica importada con dispensador 60ml (Alcohol 70%). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 4.8 cm x 12.4 cm x 2.5 cm Marca: 2.5 cm / Tampografía - Producto complejo / Etiqueta Unidades por Caja: 200   Unidades  Empaque: 49,0    X 31,0 X 26,5 / 15,5 Kg",https://www.catalogospromocionales.com/p/Gel-antibacterial-con-dispensador-60ml/7831/423,['CP-110-1_1.jpg']
Gel Antibacterial Moss 30ml,covid-19,CP-126,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213. Medidas: 7.8 cm x 3.4 cm Marca: 3.5 cm / Tampografía (producto con tratamiento)  Unidades por Caja: 300   Unidades  Empaque: 36,5    X 24,0 X 28,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-moss-30ml/6025/423,"['CP-126_1.jpg', 'CP-126_2.jpg', 'CP-126_3.jpg', 'CP-126_4.jpg', 'CP-126_5.jpg', 'CP-126_6.jpg', 'CP-126_7.jpg', 'CP-126_8.jpg', 'CP-126_9.jpg']"
Mini Tarro Paños Humedos Antibacterial 30und,covid-19,CP-119,"Frasco plástico con 30 paños húmedos antibacteriales. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 8 cm x 5 cm diámetro Marca: 2.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 52,0    X 28,0 X 19,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/mini-tarro-panos-humedos-antibacterial-30und/6004/423,"['CP-119_1.jpg', 'CP-119_2.jpg', 'CP-119_3.jpg', 'CP-119_4.jpg']"
Gel Antibacterial Color Bubbles 30ml,covid-19,CP-148-1,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Opcional: Funda en silicona / Banda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 8 cm x 3 cm diámetro inferior Marca: 2 cm / Tampografía, producto con tratamiento  Opcional nueva banda en silicona Ver aquí: CP-213.  (ver silicona aquí en CP-126) Unidades por Caja: 300   Unidades  Empaque: 35,5    X 25,0 X 30,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-color-bubbles-30ml/8856/423,"['CP-148-1_1.jpg', 'CP-148-1_2.jpg', 'CP-148-1_3.jpg', 'CP-148-1_4.jpg', 'CP-148-1_5.jpg', 'CP-148-1_6.jpg', 'CP-148-1_7.jpg']"
Paños Humedos Antibacterial 60und,covid-19,CP-150,"Frasco plástico con 60 paños húmedos antibacteriales. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 14 cm x 9.7 cm diámetro Marca: 4.5 cm / Serigrafía una tinta Unidades por Caja: 50   Unidades  Empaque: 44,0    X 44,0 X 33,5 / 11,0 Kg",https://www.catalogospromocionales.com/p/panos-humedos-antibacterial-60und/6753/423,"['CP-150_1.jpg', 'CP-150_2.jpg', 'CP-150_3.jpg', 'CP-150_4.jpg']"
Gel Antibacterial Color 30ml,covid-19,CP-148-2,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Opcional: Funda en silicona / Banda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 8 cm x 3 cm diámetro inferior Marca: 2 cm / Tampografía, producto con tratamiento  Opcional nueva banda en silicona Ver aquí: CP-213.  (ver silicona aquí en CP-126) Unidades por Caja: 300   Unidades  Empaque: 36,0    X 25,0 X 30,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-color-30ml/9449/423,"['CP-148-2_1.jpg', 'CP-148-2_2.jpg', 'CP-148-2_3.jpg', 'CP-148-2_4.jpg', 'CP-148-2_5.jpg', 'CP-148-2_6.jpg', 'CP-148-2_7.jpg']"
Liquido Antibacterial Pump Spray 10ml-ProdNacional,covid-19,CP-127-1,"Antibacterial líquido de producción nacional en envase plástico importado (Alcohol 70%). Capacidad de 10 ml. Registro Invima. Medidas: 13.5 cm x 1.5 de diámetro Marca: 3 cm / Tampografía (Producto con tratamiento) Unidades por Caja: 500   Unidades  Empaque: 53,0    X 29,0 X 18,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Liquido-Antibacterial-Pump-Spray-10ml-Produccion-nacional/9619/423,"['CP-127-1_1.jpg', 'CP-127-1_2.jpg', 'CP-127-1_3.jpg', 'CP-127-1_4.jpg', 'CP-127-1_5.jpg', 'CP-127-1_6.jpg']"
Liquido Antibacterial Pump 10ml,covid-19,CP-127," Ahora  CP-127-1 (Frasco Importado + Líquido de Producción Nacional al 70%): DE CLIC AQUI Unidades por Caja: 500   Unidades  Empaque: 36,0    X 23,0 X 29,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/liquido-antibacterial-pump-10ml-ver-cp-127-1/6026/423,['CP-127_1.jpg']
