name,category,reference,description,url,img_names
Gel Antibacterial Missy 30ml,cuidado-personal,CP-147,"Gel antibacterial importado, en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con AloeVera. Adicional funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213.  Medidas: 2.7 cm x 7.6 cm Marca: 1.5 cm / Tampografía con tratamiento Unidades por Caja: 300   Unidades  Empaque: 30,5    X 26,0 X 28,5 / 11,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-missy-30ml/6750/13,"['CP-147_1.jpg', 'CP-147_2.jpg', 'CP-147_3.jpg', 'CP-147_4.jpg', 'CP-147_5.jpg', 'CP-147_6.jpg', 'CP-147_7.jpg', 'CP-147_8.jpg']"
Costurero Paris OFERTA,cuidado-personal,PM CP-161,"Costurero plástico giratorio. Medidas: 9.5 cm x 5.2 cm Marca: 4 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 45,0    X 28,0 X 35,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/costurero-paris/6761/13,"['PM CP-161_1.jpg', 'PM CP-161_2.jpg', 'PM CP-161_3.jpg', 'PM CP-161_4.jpg']"
Cepillo con Espejo Roxy,cuidado-personal,CP-159,"Cepillo plástico con espejo. Medidas: 8 cm x 6 cm Marca: 3.6 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 54,0    X 30,0 X 22,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/cepillo-con-espejo-roxy/6760/13,"['CP-159_1.jpg', 'CP-159_2.jpg', 'CP-159_3.jpg', 'CP-159_4.jpg', 'CP-159_5.jpg', 'CP-159_6.jpg', 'CP-159_7.jpg']"
Set de Limas,cuidado-personal,CP-152,"Set plástico giratorio, de 2 limas y 2 pulidoras. Medidas: 6.5 cm x 2 cm x 1 cm Marca: 2 cm / Tampografía Unidades por Caja: 1000   Unidades  Empaque: 39,0    X 27,0 X 31,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/set-de-limas/6755/13,"['CP-152_1.jpg', 'CP-152_2.jpg', 'CP-152_3.jpg', 'CP-152_4.jpg']"
Costurero Sammy,cuidado-personal,CP-154,"Costurero plástico. Medidas: 6.7 cm x 6.5 cm x 1.5 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 300   Unidades  Empaque: 37,0    X 36,0 X 24,5 / 13,5 Kg",https://www.catalogospromocionales.com/p/costurero-sammy/6757/13,"['CP-154_1.jpg', 'CP-154_2.jpg', 'CP-154_3.jpg', 'CP-154_4.jpg']"
Líquido Limpiador Pantallas 30ml con microfibra,cuidado-personal,CP-146,"Líquido limpiador importado para pantallas y lentes de gafas, en frasco plástico spray, con microfibra. Capacidad: 30 ml. Registro Invima. Medidas: 10 cm x 3 cm de diámetro. Marca: 1.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 40,5    X 34,0 X 25,5 / 14,0 Kg",https://www.catalogospromocionales.com/p/liquido-limpiador-pantallas-30ml-con-microfibra/6605/13,"['CP-146_1.jpg', 'CP-146_2.jpg', 'CP-146_3.jpg', 'CP-146_4.jpg', 'CP-146_5.jpg', 'CP-146_6.jpg', 'CP-146_7.jpg']"
Gel Antibacterial Moss 30ml,cuidado-personal,CP-126,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213. Medidas: 7.8 cm x 3.4 cm Marca: 3.5 cm / Tampografía (producto con tratamiento)  Unidades por Caja: 300   Unidades  Empaque: 36,5    X 24,0 X 28,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-moss-30ml/6025/13,"['CP-126_1.jpg', 'CP-126_2.jpg', 'CP-126_3.jpg', 'CP-126_4.jpg', 'CP-126_5.jpg', 'CP-126_6.jpg', 'CP-126_7.jpg', 'CP-126_8.jpg', 'CP-126_9.jpg']"
Paños Humedos Antibacterial 60und,cuidado-personal,CP-150,"Frasco plástico con 60 paños húmedos antibacteriales. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 14 cm x 9.7 cm diámetro Marca: 4.5 cm / Serigrafía una tinta Unidades por Caja: 50   Unidades  Empaque: 44,0    X 44,0 X 33,5 / 11,0 Kg",https://www.catalogospromocionales.com/p/panos-humedos-antibacterial-60und/6753/13,"['CP-150_1.jpg', 'CP-150_2.jpg', 'CP-150_3.jpg', 'CP-150_4.jpg']"
Protector Solar y Labial 2 en 1,cuidado-personal,CP-149,"Estuche plástico tubular importado, con protector labial FPS 15 y protector solar en barra FPS 20. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 8.5 cm x 1.8 cm diámetro Marca: 1.5 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 31,5    X 29,5 X 22,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/protector-solar-y-labial-2-en-1/6752/13,"['CP-149_1.jpg', 'CP-149_2.jpg', 'CP-149_3.jpg', 'CP-149_4.jpg', 'CP-149_5.jpg', 'CP-149_6.jpg']"
Espejo Starlett,cuidado-personal,CP-160,"Espejo plástico. Acabado frost. Medidas: 6 cm diámetro Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 500   Unidades  Empaque: 31,5    X 15,5 X 33,5 / 10,0 Kg",https://www.catalogospromocionales.com/p/espejo-starlett/4926/13,"['CP-160_1.jpg', 'CP-160_2.jpg', 'CP-160_3.jpg', 'CP-160_4.jpg', 'CP-160_5.jpg', 'CP-160_6.jpg', 'CP-160_7.jpg', 'CP-160_8.jpg', 'CP-160_9.jpg', 'CP-160_10.jpg']"
Liquido Antibacterial Pump 10ml,cuidado-personal,CP-127," Ahora  CP-127-1 (Frasco Importado + Líquido de Producción Nacional al 70%): DE CLIC AQUI Unidades por Caja: 500   Unidades  Empaque: 36,0    X 23,0 X 29,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/liquido-antibacterial-pump-10ml-ver-cp-127-1/6026/13,['CP-127_1.jpg']
Espejo Doble Zonder,cuidado-personal,CP-153,"Espejo plástico doble. Un espejo de aumento. Medidas: 10 cm x 6 cm x 0.7 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 44,5    X 23,0 X 17,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/espejo-doble-zonder/6756/13,"['CP-153_1.jpg', 'CP-153_2.jpg', 'CP-153_3.jpg', 'CP-153_4.jpg', 'CP-153_5.jpg']"
Pesa Digital Weight,cuidado-personal,CP-112,"Pesa digital en vidrio con soporte antideslizante. (Incluye pila). Empaque Caja Individual. Medidas: 30 cm x 30 cm x 1.8 cm Sin marca Unidades por Caja: 11   Unidades  Empaque: 34,0    X 33,0 X 34,0 / 18,3 Kg",https://www.catalogospromocionales.com/p/pesa-digital-weight/5356/13,['CP-112_1.jpg']
