name,category,reference,description,url,img_names
Gorra Beisbol con Vena,deportes,CAP-10,"6 paneles en dril esmerilado, 4 ojetes bordados, visera indeformable con vena, 6 paneles, botón forrado, frente fusionado, encintado interior, tafilete absorbente en poliéster algodón y cierre velcro. Marca: Se define por puntadas / Bordado o screen Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 63,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-beisbol-con-vena/467/410,"['CAP-10_1.jpg', 'CAP-10_2.jpg', 'CAP-10_3.jpg', 'CAP-10_4.jpg', 'CAP-10_5.jpg', 'CAP-10_6.jpg', 'CAP-10_7.jpg']"
Audifonos Bluetooth Boompods Boombuds Go,deportes,BP-15,"Audífonos inalámbricos plásticos Bluetooth 5.0. Funciona como manos libres. Resistente a la humedad, tecnología IPX4. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 50,0    X 47,0 X 25,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-Boompods-boombuds-go/8963/410,"['BP-15_1.jpg', 'BP-15_2.jpg', 'BP-15_3.jpg', 'BP-15_4.jpg']"
Speaker Bluetooth Aquapod - Boompods,deportes,BP-07,"Speaker Bluetooth de 3W, resistente al agua (no sumergible), tecnología IPX7. Batería integrada recargable para 5 horas de reproducción. Antigolpes. Sirve para ducha. Incluye carabinero, chupa, soporte para bicicleta y cordón. Empaque Caja Individual. Medidas: 8.8 cm diámetro Marca: 3 cm / Tampografía en silicona a una tinta Unidades por Caja: 36   Unidades  Empaque: 55,0    X 39,5 X 44,5 / 14,7 Kg",https://www.catalogospromocionales.com/p/speaker-bluetooth-aquapod-boompods/7371/410,"['BP-07_1.jpg', 'BP-07_2.jpg', 'BP-07_3.jpg', 'BP-07_4.jpg', 'BP-07_5.jpg']"
Gorra Golf,deportes,CAP-13,"5 paneles en dril liviano, visera indeformable, frente fusionado, encintado interior, tafilete sencillo, cierre plástico. Marca: Se define por puntadas / Bordado o screen Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 68,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/gorra-golf/471/410,"['CAP-13_1.jpg', 'CAP-13_2.jpg', 'CAP-13_3.jpg', 'CAP-13_4.jpg', 'CAP-13_5.jpg', 'CAP-13_6.jpg', 'CAP-13_7.jpg']"
Gorra Eco - 6 cascos,deportes,CAP-16,"En dril liviano, 4 ojetes bordados, botón forrado, frente fusionado, encintado interior, visera indeformable 6 costuras y tafilete cierre velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 65,0 / 17,0 Kg",https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/410,"['CAP-16_1.jpg', 'CAP-16_2.jpg', 'CAP-16_3.jpg', 'CAP-16_4.jpg', 'CAP-16_5.jpg', 'CAP-16_6.jpg', 'CAP-16_7.jpg', 'CAP-16_8.jpg', 'CAP-16_9.jpg']"
Gorra Trucker,deportes,CAP-22,"5 paneles, frente en poliéster espumado y cuatro paneles en poliéster-malla. Botón forrado y cierre a presión. Marca: Se define por puntadas / Bordado o screen / Sublimación en los colores que tienen panel blanco Unidades por Caja: 200   Unidades  Empaque: 65,0    X 45,0 X 38,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/gorra-trucker/3502/410,"['CAP-22_1.jpg', 'CAP-22_2.jpg', 'CAP-22_3.jpg', 'CAP-22_4.jpg', 'CAP-22_5.jpg', 'CAP-22_6.jpg', 'CAP-22_7.jpg', 'CAP-22_8.jpg', 'CAP-22_9.jpg', 'CAP-22_10.jpg', 'CAP-22_11.jpg', 'CAP-22_12.jpg', 'CAP-22_13.jpg', 'CAP-22_14.jpg', 'CAP-22_15.jpg', 'CAP-22_16.jpg', 'CAP-22_17.jpg']"
Audifonos Bluetooth Sportpods Race-Boompods,deportes,BP-09,"Audífonos Bluetooth tipo “In-ear” de diseño cómodo y ergonómico. Con ganchos de sujeción modulables para las orejas. Control en el dispositivo de pinza con reconocimiento táctil, resistente al sudor (Tecnología IPX6). 4 horas de reproducción aprox. Incluye bolsa para cargar. Medidas: Dispositivo de control: 3,6 cm diámetro. Marca: 3 cm / Sin marca. Unidades por Caja: 48   Unidades  Empaque: 56,5    X 41,0 X 25,0 / 8,2 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-sportpods-race-boompods/7373/410,"['BP-09_1.jpg', 'BP-09_2.jpg', 'BP-09_3.jpg', 'BP-09_4.jpg']"
Audifonos Bluetooth TWS Zero Buds Boompods,deportes,BP-20,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Hasta 5 horas de carga. Con estuche compacto portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 72   Unidades  Empaque: 43,0    X 25,0 X 32,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-zero-buds-boompods/9643/410,"['BP-20_1.jpg', 'BP-20_2.jpg', 'BP-20_3.jpg', 'BP-20_4.jpg', 'BP-20_5.jpg', 'BP-20_6.jpg', 'BP-20_7.jpg', 'BP-20_8.jpg']"
Audifonos Bluetooth Boompods Boombuds XR,deportes,BP-18,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Resistente a la humedad, tecnología IPX7. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 53,0    X 34,0 X 47,0 / 10,8 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-boompods-boombuds-XR/9641/410,"['BP-18_1.jpg', 'BP-18_2.jpg', 'BP-18_3.jpg', 'BP-18_4.jpg', 'BP-18_5.jpg', 'BP-18_6.jpg']"
Audifonos Bluetooth Headpods Pro Boompods,deportes,BP-21,"Audífonos Bluetooth supraurales con tres configuraciones de ecualizador y Tecnología Extra Bass (sistema de bajos extra). Resistente al sudor. Funciona como manos libres. Plegables. Empaque Caja Individual. Sin marca Unidades por Caja: 24   Unidades  Empaque: 60,0    X 35,0 X 44,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-headpods-pro-boompods/9644/410,"['BP-21_1.jpg', 'BP-21_2.jpg', 'BP-21_3.jpg', 'BP-21_4.jpg', 'BP-21_5.jpg', 'BP-21_6.jpg', 'BP-21_7.jpg', 'BP-21_8.jpg']"
Audifonos Bluetooth Sportpods Vision - Boompods,deportes,BP-08,"Audífonos Bluetooth con banda de luz led. Resistente al sudor (Tecnología IPX6), con tres modos de luz para estar visible en la noche. Micrófono integrado, control de volumen, funciona como manos libres.  Empaque Caja Individual. Medidas: 13 cm x 13 cm Marca: 3 cm / Sin marca. Unidades por Caja: 36   Unidades  Empaque: 52,0    X 42,0 X 44,5 / 11,8 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-sportpods-vision-boompods/7372/410,"['BP-08_1.jpg', 'BP-08_2.jpg', 'BP-08_3.jpg', 'BP-08_4.jpg', 'BP-08_5.jpg', 'BP-08_6.jpg']"
Audifonos Bluetooth TWS Bassline Boompods,deportes,BP-19,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. A prueba de sudor. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 50,0    X 48,0 X 26,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-bassline-boompods/9642/410,"['BP-19_1.jpg', 'BP-19_2.jpg', 'BP-19_3.jpg', 'BP-19_4.jpg', 'BP-19_5.jpg', 'BP-19_6.jpg', 'BP-19_7.jpg']"
Medidor de Masa Muscular,deportes,CP-104,"Metro en plástico para calcular el índice de masa muscular, con botón para recoger la cinta. Medidas: 7.3 cm diámetro Marca: 2.5 cm / Tampografía - Producto complejo Unidades por Caja: 200   Unidades  Empaque: 41,0    X 39,0 X 30,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/medidor-de-masa-muscular/5255/410,"['CP-104_1.jpg', 'CP-104_2.jpg', 'CP-104_3.jpg']"
Reloj Inteligente Touch,deportes,CP-218,"Plástica. Diferentes modos de deporte, podómetro, medidor de pulsaciones, monitor de sueño, medidor de calorías, disparador remoto (cuando está conectado al móvil), a prueba de salpicaduras. Pila de 170mAh. Carga mediante cable. Empaque caja individual. Los resultados de la medición de este producto son solo de referencia, no para ningún propósito ni base médica. Por favor siga las instrucciones del médico y no use los resultados de la medición para el autodiagnóstico y el tratamiento. Medidas:3.6 cm x 3.9 cm Marca:/Sin Marca Unidades por Caja: 100   Unidades  Empaque: 36,0    X 35,0 X 45,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/reloj-inteligente-touch/8976/410,"['CP-218_1.jpg', 'CP-218_2.jpg']"
Toalla Cool Sport Con Estuche,deportes,CP-189,"Toalla poliéster con tejido especial que al humedecerse bloquea el agua, manteniendo la temperatura de 3 a 4 horas. Su estructura permite que el agua reduzca la sensación de calor. Empaque tarro PVC. Medidas: Estuche pequeño: 16.5 cm x 6 cm diámetro. Toalla: 30 cm x 80 cm Estuche grande: 18 cm x 6.5 cm diámetro. Toalla: 30 cm x 80 cm Marca: 4 cm / Tampografía  Unidades por Caja: 100   Unidades  Empaque: 75,0    X 38,0 X 35,5 / 12,5 Kg",https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/410,"['CP-189_1.jpg', 'CP-189_2.jpg', 'CP-189_3.jpg', 'CP-189_4.jpg', 'CP-189_5.jpg', 'CP-189_6.jpg', 'CP-189_7.jpg', 'CP-189_8.jpg', 'CP-189_9.jpg', 'CP-189_10.jpg']"
