name,category,reference,description,url,img_names
Sticky Set Fingers,ecologia,OF-365,"Estuche en cartón reciclado en forma de mano con 4 mini tacos de papel adhesivo. Medidas: 14 cm x 10.8 cm Marca: 5 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 400   Unidades  Empaque: 33,0    X 32,0 X 38,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/sticky-set-fingers/5502/284,"['OF-365_1.jpg', 'OF-365_2.jpg']"
Sticky Set Leader Eco,ecologia,OF-209,"Libreta con 5 stickies de colores, tacos de papel autoadhesivo y bolígrafo. Medidas: Abierto: 19 cm x 10.6 cm / Cerrado: 9 cm x 10.6 cm Marca: 6 cm / Screen Unidades por Caja: 200   Unidades  Empaque: 23,0    X 25,0 X 42,0 / 9,5 Kg",https://www.catalogospromocionales.com/p/sticky-set-leader-eco/3382/284,"['OF-209_1.jpg', 'OF-209_2.jpg', 'OF-209_3.jpg']"
Bolso Conference en Yute,ecologia,VA-277,"Bolso en yute natural con reata en algodón y bordes negros. Medidas: 37 cm x 38 cm Marca: 30 cm / Screen Unidades por Caja: 50   Unidades  Empaque: 35,0    X 48,0 X 44,0 / 17,4 Kg",https://www.catalogospromocionales.com/p/bolso-conference-en-yute/3528/284,"['VA-277_1.jpg', 'VA-277_2.jpg', 'VA-277_3.jpg']"
Sticky Set Eco,ecologia,OF-205,"Libreta con 5 stickies de colores y taco de papel autoadhesivo. Medidas: 8 cm x 9 cm Marca: 5 cm / Tampografía  Venta mínima y en múltiplos de caja de 250 unidades. Unidades por Caja: 500   Unidades  Empaque: 21,0    X 42,0 X 46,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/sticky-set-eco/3377/284,"['OF-205_1.jpg', 'OF-205_2.jpg', 'OF-205_3.jpg', 'OF-205_4.jpg']"
Libreta Gulliver Eco con Bolígrafo,ecologia,OF-249,"Libreta doble argolla y bolígrafo de cartón. 50 hojas. Cinco stickies de colores - 20 hojas cada uno. Medidas: 13.6 cm x 18 cm Marca: 4 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 40,0    X 31,5 X 41,0 / 19,0 Kg",https://www.catalogospromocionales.com/p/libreta-gulliver-eco-con-boligrafo/4036/284,"['OF-249_1.jpg', 'OF-249_2.jpg', 'OF-249_3.jpg', 'OF-249_4.jpg', 'OF-249_5.jpg', 'OF-249_6.jpg']"
Bolsa en Yute Wine,ecologia,VA-419,"Bolsa en Yute con agarradera de cordón e impresión de botella y copa de vino. Medidas: 10 cm x 36 cm x 10 cm Marca: 6 cm / Screen Unidades por Caja: 125   Unidades  Empaque: 46,0    X 40,0 X 33,0 / 11,8 Kg",https://www.catalogospromocionales.com/p/bolsa-en-yute-wine/5437/284,['VA-419_1.jpg']
Bolsa en Cambrel Baxter,ecologia,VA-404,"Con agarraderas. Medidas: 38.8 cm x 40 cm Marca: 30 cm / Screen  Venta mínima y en múltiplos de paquete de 100 unidades. Unidades por Caja: 400   Unidades  Empaque: 42,0    X 44,0 X 50,0 / 12,6 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-baxter/5260/284,"['VA-404_1.jpg', 'VA-404_2.jpg', 'VA-404_3.jpg', 'VA-404_4.jpg', 'VA-404_5.jpg', 'VA-404_6.jpg', 'VA-404_7.jpg', 'VA-404_8.jpg', 'VA-404_9.jpg', 'VA-404_10.jpg']"
Libreta Recycle Eco,ecologia,OF-211,"Libreta argollada y bolígrafo de cartón. 80 hojas. Medidas: 18 cm x 14 cm Marca: 7 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 45,0    X 33,0 X 40,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/libreta-recycle-eco/3384/284,"['OF-211_1.jpg', 'OF-211_2.jpg', 'OF-211_3.jpg', 'OF-211_4.jpg', 'OF-211_5.jpg']"
Messenger Bag en yute,ecologia,VA-417,"Bolso en Yute con reata en algodón y bordes de color con cierre en velcro. Bolsillo interno con cremallera. Bolsillo organizador. Medidas: 32 cm x 38 cm x 10 cm Marca: 20 cm / Screen Unidades por Caja: 50   Unidades  Empaque: 44,0    X 44,0 X 38,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/messenger-bag-en-yute/5441/284,"['VA-417_1.jpg', 'VA-417_2.jpg', 'VA-417_3.jpg', 'VA-417_4.jpg']"
Set de Colores Kids X 6 en Carton,ecologia,VA-559,"Set de 6 colores en caja de cartón con tajalápiz y block para dibujar. Medidas: 7.3 cm x 8.7 cm . Marca: 4,5 cm / Tampografía  Venta mínima y en múltiplos de paquete de 20 unidades. Unidades por Caja: 400   Unidades  Empaque: 57,5    X 30,5 X 23,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/set-de-colores-kids-x-6-en-carton/6916/284,['VA-559_1.jpg']
