name,category,reference,description,url,img_names
Pastillero Eco,econature,CP-225,"Pastillero plástico con material ecológico de fibra de trigo. 3 divisiones internas. Medidas:8 cm x 5 cm x 2 cm Marca:4 cm/Tampografía  **Para el material  con contenido de fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 500   Unidades  Empaque: 60,0    X 44,0 X 34,0 / 16,5 Kg",https://www.catalogospromocionales.com/p/pastillero-eco/9102/420,"['CP-225_1.jpg', 'CP-225_2.jpg']"
Bajalenguas Plástico- Producción Nacional,econature,CP-188,"Bajalenguas en polipropileno. Set de 4 unidades (Oso, Mono, Tigre, Perro). Medidas: 13.5 cm x 1.2 cm Opción marca en bajo relieve : Cotización especial  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bajalenguas-plastico-produccion-nacional/7955/420,"['CP-188_1.jpg', 'CP-188_2.jpg', 'CP-188_3.jpg', 'CP-188_4.jpg', 'CP-188_5.jpg', 'CP-188_6.jpg', 'CP-188_7.jpg']"
Portacomidas Eco Holder Antibacteriano,econature,HO-299,"Portacomidas en plástico antibacteriano mezclado con material ecológico en fibra de trigo (50%-60% aprox). Con pieza plástica para cerrar que sirve como soporte para móviles. Plástico antibacteriano tratado para inhibir y prevenir el crecimiento bacteriano gracias a la tecnología nano silver, un tratamiento especial realizado con iones de plata. Las bacterias al contacto con el material se repelen y reducen hasta en 99%. Trabaja las 24 horas al día y permanece libre de microbios y bacterias. Apto para lavavajillas y microondas (retire la tapa al colocar en el microondas). Material antibacteriano en cumplimiento de estándar ISO 22196: 2011 (Medición de la actividad antibacteriana en plásticos y otras superficies no porosas.) El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Medidas: 19 cm x 11.8 cm x 6.3 cm Marca: 5.5 cm / Tampografía (Producto con tratamiento) Unidades por Caja: 60   Unidades  Empaque: 63,0    X 41,0 X 40,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/Portacomidas-Eco-Holder-Antibacteriano/9536/420,"['HO-299_1.jpg', 'HO-299_2.jpg', 'HO-299_3.jpg']"
Portacomidas con Cubiertos Eco Nature,econature,HO-286,"Portacomidas en plástico mezclado con material ecológico en fibra de trigo (50%-60% aprox). Incluye cubiertos, banda para cerrar y llevar los cubiertos. El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Apto para microondas y máquina lavavajillas (Máx 110 °C)-Debe retirar la banda elástica.  Medidas:16 cm x 16 cm x 6.5 cm Marca:5.5 cm/Tampografía  **Para el material con contenido de fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 44   Unidades  Empaque: 52,0    X 52,0 X 40,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/portacomidas-con-cubiertos-eco-nature/9031/420,"['HO-286_1.jpg', 'HO-286_2.jpg', 'HO-286_3.jpg', 'HO-286_4.jpg', 'HO-286_5.jpg', 'HO-286_6.jpg']"
Sanduchera Plástica - Producción Nacional,econature,HO-259,"Sanduchera plástica en polipropileno. Medidas: 14 cm x 13 cm x 5 cm Marca: 5 cm / Tampografía  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Sanduchera-Plastica-Produccion-Nacional/8018/420,"['HO-259_1.jpg', 'HO-259_2.jpg', 'HO-259_3.jpg', 'HO-259_4.jpg', 'HO-259_5.jpg', 'HO-259_6.jpg', 'HO-259_7.jpg']"
Frisbee Original (stock telefònicamente),econature,JU-37,"Frisbee en polipropileno. Colores planos o translúcidos. Medidas: 19 cm diámetro Marca: 10 cm / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/frisbee-original-produccion-nacional/2866/420,"['JU-37_1.jpg', 'JU-37_2.jpg', 'JU-37_3.jpg', 'JU-37_4.jpg', 'JU-37_5.jpg']"
Set de Cubiertos Lunch-Produccion Nacional,econature,HO-306,"En plástico, incluye cuchara, tenedor y cuchillo. Se vende por set. Opcional solo polipropileno o con material ecológico de fibra de trigo. Mezcla con material ecológico en fibra de trigo (50%-60% aprox). El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Medidas:14.5 cm x 2.5 cm Marca: 2.5 cm / Tampografía  Opcional estuche Multiusos Space VA-936 (Costo Adicional), Ver Aquí  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Set-de-Cubiertos-Lunch-Produccion-Nacional/9617/420,"['HO-306_1.jpg', 'HO-306_2.jpg', 'HO-306_3.jpg', 'HO-306_4.jpg', 'HO-306_5.jpg']"
Espejo Gradiox Eco,econature,CP-239,"Espejo plástico con material en fibra de trigo. Medidas: 7 cm diámetro Marca: 4.5 cm / Tampografía con Tratamiento Unidades por Caja: 500   Unidades  Empaque: 31,0    X 39,0 X 16,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/Espejo-Gradiox-Eco/9442/420,"['CP-239_1.jpg', 'CP-239_2.jpg', 'CP-239_3.jpg', 'CP-239_4.jpg', 'CP-239_5.jpg', 'CP-239_6.jpg']"
Frisbee Flexible (stock telefònicamente),econature,JU-36,"Flexible en material PVC cristal dureza 75. Colores planos ó translucidos. Medidas: 19 cm diámetro Marca: 10 cm / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/frisbee-flexible-produccion-nacional/2865/420,"['JU-36_1.jpg', 'JU-36_2.jpg', 'JU-36_3.jpg', 'JU-36_4.jpg', 'JU-36_5.jpg', 'JU-36_6.jpg']"
Destapador Eco Wine,econature,HO-305,"Destapador multifunción con descorchador de vino y navaja, plástico en PP + material ecológico en fibra de trigo. Medidas: 13.5 cm x 3 cm Marca: 3 cm / Tampografía con Tratamiento Unidades por Caja: 240   Unidades  Empaque: 46,0    X 23,0 X 31,0 / 18,5 Kg",https://www.catalogospromocionales.com/p/Destapador-Eco-Wine/9541/420,"['HO-305_1.jpg', 'HO-305_2.jpg']"
