name,category,reference,description,url,img_names
Guante Golf Taylor Made Stratus,golf,TM-02,"El guante de TaylorMade está construido con materiales de primera calidad para una comodidad, ajuste y sensación óptimos. Empaque Caja Individual. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/guante-golf-taylor-made-stratus/7821/109,['TM-02_1.jpg']
Camiseta Polo Golf Callaway,golf,CW-02,"100% poliéster. Logo bordado Callaway en la manga derecha y en la parte posterior del cuello. Absorbe la humedad. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/camiseta-polo-golf-callaway/4161/109,['CW-02_1.jpg']
"Paraguas Golf Windproof 30"" OFERTA",golf,PM SO-14,"Poliéster pongee 190T. Mango en espuma, herraje en fibra de vidrio y sistema antibrisa. 8 Cascos. Apertura manual. Medidas: 30” Cobertura:130 cm. Casco:50 cm ancho. Largo total:96 cm Marca: 25 cm / Screen Unidades por Caja: 24   Unidades  Empaque: 22,5    X 15,5 X 99,0 / 13,9 Kg",https://www.catalogospromocionales.com/p/paraguas-golf-windproof-30/2023/109,"['PM SO-14_1.jpg', 'PM SO-14_2.jpg', 'PM SO-14_3.jpg', 'PM SO-14_4.jpg']"
Lapiz Plastic Clip de Golf,golf,JU-66,"Lápiz en barril plástico para uso en libreta de golf. Medidas: 11 cm x 1.5 cm Marca: 1 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 5000   Unidades  Empaque: 55,5    X 30,5 X 26,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/lapiz-plastic-clip-de-golf/5879/109,['JU-66_1.jpg']
"Paraguas Sencillo Taylor Made 60""",golf,TM-03,"Paraguas sencillo de 60” Ergonómico con mango de goma Unidades por Caja: 12   Unidades  Empaque: 100,0    X 15,5 X 20,5 / 7,7 Kg",https://www.catalogospromocionales.com/p/paraguas-sencillo-taylor-made-60/7823/109,['TM-03_1.jpg']
Clip de golf para Gorra,golf,JU-69,"Clip metálico con marcador tipo moneda imantado. Medidas: 2.5 cm diámetro Marca: 1.5 cm / Tampografía / Litoresina a partir de 500 unidades Unidades por Caja: 2000   Unidades  Empaque: 50,0    X 25,0 X 19,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/clip-de-golf-para-gorra/5882/109,['JU-69_1.jpg']
"Lapiz Golf 3.5""",golf,JU-67,"Mini lápiz en madera para golf. Medidas: 8.5 cm Marca: 1.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 5000   Unidades  Empaque: 50,0    X 34,0 X 22,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/lapiz-golf-35/5880/109,['JU-67_1.jpg']
Bola de Golf Taylor Made,golf,TM-01,"Nuestras bolas de golf TaylorMade están diseñadas para un desempeño notable, para que los golfistas puedan aprovechar al máximo cada disparo. Empaque Caja Individual. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bola-de-golf-taylor-made/7820/109,"['TM-01_1.jpg', 'TM-01_2.jpg', 'TM-01_3.jpg', 'TM-01_4.jpg']"
Toalla Golf /Toalla de mano Tundida (acabado fino),golf,CP-168,"Toalla tundida 100% algodón. 380 gramos. Acabado fino. Opciones: toalla de mano abierta o toalla de Golf 2 cuerpos con herraje. Material Importado. Confección nacional. Medidas: Toalla de mano: 64 cm x 38.5 cm. Toalla de Golf 2 cuerpos: 64 cm x 19 cm Marca: Se define por puntadas / Bordado 13 cm / Screen  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/109,"['CP-168_1.jpg', 'CP-168_2.jpg', 'CP-168_3.jpg', 'CP-168_4.jpg']"
"Paraguas Golf Redondo 27""",golf,SO-13,"Poliéster pongee 190T. Mango en espuma y herraje metálico. 8 Cascos. Manual. Medidas: 27” Cobertura:118 cm Casco: 45 cm ancho. Largo total: 96 cm Marca: Maximo:25 cm / Screen Unidades por Caja: 24   Unidades  Empaque: 21,0    X 14,8 X 98,0 / 9,5 Kg",https://www.catalogospromocionales.com/p/paraguas-golf-redondo-27/1889/109,"['SO-13_1.jpg', 'SO-13_2.jpg', 'SO-13_3.jpg', 'SO-13_4.jpg', 'SO-13_5.jpg', 'SO-13_6.jpg', 'SO-13_7.jpg', 'SO-13_8.jpg']"
Divot Plastico de Golf,golf,JU-68,"Divot plástico, arregla el césped. Medidas: 6.5 cm x 2.5 cm Marca: 1.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 500 unidades. Unidades por Caja: 1000   Unidades  Empaque: 27,5    X 21,0 X 18,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/divot-plastico-de-golf/5881/109,['JU-68_1.jpg']
Golf Tees (Blanco),golf,JU-21,"Tees de Golf. Medidas: Opción 1: 5.5 cm / Opción 2: 7 cm Marca: 0.5 cm diámetro o 3.5 cm largo / Tampografía  Venta mínima y en múltiplos de caja de 250 unidades. Unidades por Caja: 5000   Unidades  Empaque: 30,0    X 30,0 X 26,5 / 4,9 Kg",https://www.catalogospromocionales.com/p/golf-tees-blanco/2015/109,['JU-21_1.jpg']
