name,category,reference,description,url,img_names
Mini Set de Destornilladores Bronson,herramientas,HE-211,"Miniset de 2 destornilladores con luz. Medidas: 6 cm x 2.4 cm x 1.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 35,5    X 18,0 X 18,5 / 9,0 Kg",https://www.catalogospromocionales.com/p/mini-set-de-destornilladores-bronson/6773/15,"['HE-211_1.jpg', 'HE-211_2.jpg', 'HE-211_3.jpg', 'HE-211_4.jpg']"
Metro Arkitect,herramientas,HE-22,"Cinta metálica de 2 metros. Incluye nivelador, minibolígrafo, minipad de notas adhesivas y gancho para portar en la cintura. Empaque Caja Individual. Medidas: 8.5 cm x 6 cm Marca: 4 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 37,0    X 35,5 X 33,5 / 22,0 Kg",https://www.catalogospromocionales.com/p/metro-arkitect/809/15,"['HE-22_1.jpg', 'HE-22_2.jpg', 'HE-22_3.jpg']"
Metro Retráctil Button,herramientas,HE-09,"Cinta métrica de 1 metro. Medidas: 5 cm diámetro Marca: 3.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 500   Unidades  Empaque: 29,0    X 34,0 X 33,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/metro-retractil-button/294/15,"['HE-09_1.jpg', 'HE-09_2.jpg', 'HE-09_3.jpg', 'HE-09_4.jpg']"
Set de Herramientas para Bicicleta,herramientas,HE-212,"Herramienta metálica para bicicleta con 4 llaves bristol y 2 destornilladores. Empaque Caja Individual. Medidas: 9 cm x 1.5 cm x 2.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 23,0    X 19,0 X 23,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-para-bicicleta/6774/15,['HE-212_1.jpg']
Metro carabinero Stanley,herramientas,HE-171,"Metro de 1.50 m en plástico con carabinero y botón a presión para recoger la cinta. Medidas: 1.2 cm x 5 cm diámetro Marca: 2 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 41,0    X 30,5 X 28,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/metro-carabinero-stanley/5371/15,"['HE-171_1.jpg', 'HE-171_2.jpg', 'HE-171_3.jpg', 'HE-171_4.jpg']"
Set de Herramientas Clippy Tool Kit,herramientas,HE-75,"Kit de herramientas en estuche de lona con cierre de velcro y clip metálico. Contiene 19 piezas. Empaque Caja Individual. Medidas: 8 cm x 14.5 cm. Marca: 8 cm / Screen Unidades por Caja: 48   Unidades  Empaque: 42,0    X 38,0 X 22,0 / 17,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-clippy-tool-kit/3055/15,"['HE-75_1.jpg', 'HE-75_2.jpg', 'HE-75_3.jpg', 'HE-75_4.jpg', 'HE-75_5.jpg']"
Metro llavero House,herramientas,HE-168,"Llavero metro de 1.50 m en plástico con botón de presión para recoger la cinta. Medidas: 5 cm x 5.5 cm x 1.2 cm Marca: 3 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 37,0    X 29,0 X 33,5 / 16,0 Kg",https://www.catalogospromocionales.com/p/metro-llavero-house/5368/15,"['HE-168_1.jpg', 'HE-168_2.jpg', 'HE-168_3.jpg']"
Set de herramientas Neumatic,herramientas,HE-173,"Set de herramientas de 20 piezas en estuche plástico. Cierre a presión. Empaque Caja Individual. Medidas: Cerrado: 5.5 cm x 13 cm diámetro Marca: 4 cm / Tampografía Unidades por Caja: 40   Unidades  Empaque: 57,0    X 29,5 X 32,5 / 16,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-neumatic/5373/15,"['HE-173_1.jpg', 'HE-173_2.jpg', 'HE-173_3.jpg', 'HE-173_4.jpg']"
Candado de Llave Para Bicicleta y Motocicleta,herramientas,HE-206,"Candado de llave en hierro, en forma de U. Incluye soporte para bicicleta y llave de repuesto. Empaque Caja Individual. Medidas: 25 cm x 17 cm Circunferencia del tubo de 6 cm Marca: 2,5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 36,5    X 27,0 X 55,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/candado-de-llave-para-bicicleta-y-motocicleta/7039/15,"['HE-206_1.jpg', 'HE-206_2.jpg', 'HE-206_3.jpg']"
SMITH,herramientas,SMITH,"Bolígrafo plástico con mecanismo twist. Clip metálico, regla, nivelador y 2 destornilladores. Medidas: 14 cm Marca: 1.5 cm / Tampografía Unidades por Caja: 1000   Unidades  Empaque: 50,0    X 32,0 X 21,0 / 13,2 Kg",https://www.catalogospromocionales.com/p/smith/7031/15,['SMITH_1.jpg']
Set de Herramientas Alutool,herramientas,HE-81,"Juego de destornilladores y linterna de un led. Incluye 6 piezas. Empaque Caja Individual. Medidas: 10 cm x 3.2 cm Marca: 5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 26,0    X 25,5 X 40,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-alutool/3123/15,"['HE-81_1.jpg', 'HE-81_2.jpg', 'HE-81_3.jpg', 'HE-81_4.jpg']"
Metro Neumatic,herramientas,HE-174,"Cinta métrica de 1 metro y llavero plástico en forma de neumático. Medidas: 1.5 cm x 4 cm diámetro Marca: 2 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 500   Unidades  Empaque: 41,0    X 26,0 X 25,0 / 13,5 Kg",https://www.catalogospromocionales.com/p/metro-neumatic/5374/15,"['HE-174_1.jpg', 'HE-174_2.jpg', 'HE-174_3.jpg']"
Candado de Clave Metalico,herramientas,HE-202,"Candado metálico. Empaque Caja Individual. Medidas: 5.5 cm x 3 cm x 1 cm Marca: 1.2 cm / Tampografía Unidades por Caja: 250   Unidades  Empaque: 55,0    X 22,0 X 16,5 / 14,0 Kg",https://www.catalogospromocionales.com/p/candado-de-clave-metalico/6765/15,"['HE-202_1.jpg', 'HE-202_2.jpg', 'HE-202_3.jpg', 'HE-202_4.jpg', 'HE-202_5.jpg']"
Set de Herramientas Saxon,herramientas,HE-201,"Set de herramientas de 15 piezas en estuche plástico con linterna. No incluye baterías. Empaque Caja Individual. Medidas: Cerrado: 19 cm x 9 cm x 12 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 24   Unidades  Empaque: 54,0    X 41,5 X 30,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-saxon/6536/15,"['HE-201_1.jpg', 'HE-201_2.jpg', 'HE-201_3.jpg']"
Set de Herramientas Milano-OFERTA,herramientas,PM HE-207,"Set de herramientas en estuche de poliuretano, con cierre de cremallera. 20 piezas. Medidas: 14 cm x 10.3 cm x 4.5 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 36   Unidades  Empaque: 34,5    X 34,5 X 39,0 / 18,5 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-milano-OFERTA/6769/15,"['PM HE-207_1.jpg', 'PM HE-207_2.jpg', 'PM HE-207_3.jpg']"
Metro Colton OFERTA,herramientas,PM HE-218,"Llavero metro plástico de 1,5m. Medidas: 1,4 cm X 4,2 cm diámetro. Marca: 1,8 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 34,0    X 34,0 X 27,5 / 12,5 Kg",https://www.catalogospromocionales.com/p/metro-colton/7393/15,['PM HE-218_1.jpg']
Llavero Mini Set De Destornilladores,herramientas,HE-221,"Llavero mini set de destornilladores plástico con portacelular. Medidas: 5,7 cm x 2,2 cm x 2,6 cm Marca: 2,6 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 30,0    X 29,0 X 28,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/llavero-mini-set-de-destornilladores/7396/15,"['HE-221_1.jpg', 'HE-221_2.jpg', 'HE-221_3.jpg', 'HE-221_4.jpg', 'HE-221_5.jpg']"
Mini set de Destornilladores con Destapador OFERTA,herramientas,PM HE-198,"Miniset de destornilladores y destapador. Colores: Azul / Negro / Rojo / Plata. Medidas: 1.5 cm X 7 cm X 1.2 cm. Marca: 4 cm / Tampografía / Láser. Unidades por Caja: 200   Unidades  Empaque: 31,0    X 18,0 X 23,0 / 6,1 Kg",https://www.catalogospromocionales.com/p/mini-set-de-destornilladores-con-destapador-oferta/6531/15,['PM HE-198_1.jpg']
Mini Set de Destornilladores Titan conStylusOFERTA,herramientas,PM HE-219,"Mini set de destornilladores plástico con bolígrafo, portacelular y stylus. Medidas: 14.6 cm x 1.5 cm x 1 cm Marca: 2.5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 43,0    X 33,0 X 23,0 / 15,5 Kg",https://www.catalogospromocionales.com/p/mini-set-de-destornilladores-titan-con-stylus/7394/15,"['PM HE-219_1.jpg', 'PM HE-219_2.jpg', 'PM HE-219_3.jpg', 'PM HE-219_4.jpg', 'PM HE-219_5.jpg', 'PM HE-219_6.jpg']"
Metro Llavero Car,herramientas,HE-216,"Llavero metro plástico de 1 metro. Medidas: 6,5 cm x 3,7 cm x 1,1 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 500   Unidades  Empaque: 34,0    X 34,0 X 27,5 / 12,0 Kg",https://www.catalogospromocionales.com/p/Metro-Llavero-Car/7275/15,"['HE-216_1.jpg', 'HE-216_2.jpg', 'HE-216_3.jpg', 'HE-216_4.jpg', 'HE-216_5.jpg', 'HE-216_6.jpg']"
Set de Herramientas Milano-OFERTA,herramientas,PM HE-207,"Set de herramientas en estuche de poliuretano, con cierre de cremallera. 20 piezas. Medidas: 14 cm x 10.3 cm x 4.5 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 36   Unidades  Empaque: 34,5    X 34,5 X 39,0 / 18,5 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-milano-OFERTA/6769/15,"['PM HE-207_1.jpg', 'PM HE-207_2.jpg', 'PM HE-207_3.jpg']"
Llavero Metro Con Destapador Mimic,herramientas,LL-85,"Llavero plástico de 1 metro con destapador y linterna. Medidas: 8 cm x 3.2 cm x 0.7 cm Marca: 4 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 27,0    X 19,5 X 49,0 / 16,5 Kg",https://www.catalogospromocionales.com/p/llavero-metro-con-destapador-mimic/7429/15,"['LL-85_1.jpg', 'LL-85_2.jpg', 'LL-85_3.jpg', 'LL-85_4.jpg', 'LL-85_5.jpg', 'LL-85_6.jpg', 'LL-85_7.jpg']"
Set de Herramientas Motobike,herramientas,HE-197,"Set de herramientas plástico de 12 piezas, en forma de moto, con linterna. No incluye baterías. Empaque Caja Individual. Medidas: Cerrado: 19.5 cm x 12 cm x 4 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 43,0    X 27,0 X 26,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-motobike/6530/15,"['HE-197_1.jpg', 'HE-197_2.jpg', 'HE-197_3.jpg']"
Compresor para Auto Tire,herramientas,HE-200,"Compresor compacto para auto. Empaque Caja Individual. Medidas: 16 cm diámetro Marca: 4.5 cm / Tampografía Unidades por Caja: 36   Unidades  Empaque: 53,0    X 40,5 X 36,0 / 26,0 Kg",https://www.catalogospromocionales.com/p/compresor-para-auto-tire/6535/15,"['HE-200_1.jpg', 'HE-200_2.jpg', 'HE-200_3.jpg']"
Mini set de Destornilladores con Destapador OFERTA,herramientas,PM HE-198,"Miniset de destornilladores y destapador. Colores: Azul / Negro / Rojo / Plata. Medidas: 1.5 cm X 7 cm X 1.2 cm. Marca: 4 cm / Tampografía / Láser. Unidades por Caja: 200   Unidades  Empaque: 31,0    X 18,0 X 23,0 / 6,1 Kg",https://www.catalogospromocionales.com/p/mini-set-de-destornilladores-con-destapador-oferta/6531/15,['PM HE-198_1.jpg']
Auto Set Koller OFERTA,herramientas,PM HE-204,"Set para automóvil en funda de poliéster, con carabinero, linterna, bolígrafo, taco de papel, medidor de presión y adaptador de energía para el encendedor. Empaque Caja Individual. Medidas: 9 cm x 16.5 cm Marca: 5 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 91,5    X 38,0 X 24,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/auto-set-koller/6767/15,"['PM HE-204_1.jpg', 'PM HE-204_2.jpg', 'PM HE-204_3.jpg']"
Set Travel Adaptors,herramientas,TE-125,"Kit de viaje compuesto por: cargador para carro y adaptador de pared. En estuche rígido. Medidas: 2.8 cm x 8 cm diámetro Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 43,0    X 42,0 X 43,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/Set-Travel-Adaptors/7319/15,"['TE-125_1.jpg', 'TE-125_2.jpg', 'TE-125_3.jpg', 'TE-125_4.jpg', 'TE-125_5.jpg', 'TE-125_6.jpg', 'TE-125_7.jpg']"
Metro Oliver,herramientas,HE-225,"Metro plástico de 3 m. Medidas: 6.4 cm x 6 cm x 2.2 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 24,0    X 28,5 X 29,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/Metro-Oliver/7993/15,"['HE-225_1.jpg', 'HE-225_2.jpg', 'HE-225_3.jpg']"
Llavero Multifuncion Oddisey Con Destapador OFERTA,herramientas,PM IL-97,"Llavero metálico multifunción con linterna de 1 led, mini destornilladores y destapador. Medidas: 7,5 cm x 1 cm diámetro Marca: 1,5 cm / Tampografía / Láser Unidades por Caja: 500   Unidades  Empaque: 47,0    X 16,0 X 17,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/llavero-multifuncion-oddisey-con-destapador/7421/15,"['PM IL-97_1.jpg', 'PM IL-97_2.jpg', 'PM IL-97_3.jpg', 'PM IL-97_4.jpg', 'PM IL-97_5.jpg', 'PM IL-97_6.jpg']"
Set De Herramientas Multifuncion Ziggy,herramientas,HE-222,"Herramientero metálico con linterna metálico. 6 funciones.1 led 1W. 1 batería AAA (no incluida). Empaque caja individual. Medidas: 12,5 cm x 3,1 cm diámetro. Marca: 3 cm / Tampografía / Láser Unidades por Caja: 100   Unidades  Empaque: 47,5    X 24,5 X 29,5 / 12,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-multifuncion-ziggy/7397/15,"['HE-222_1.jpg', 'HE-222_2.jpg', 'HE-222_3.jpg']"
