name,category,reference,description,url,img_names
Linterna de 9 leds Flynt,iluminacion,IL-71,"Linterna en aluminio de 9 leds. 3 pilas AAA (No incluidas). Empaque Caja Individual. Medidas: 8,7 cm x 2,5 cm diámetro Marca: 2,5 cm / Láser / Tampografia Unidades por Caja: 200   Unidades  Empaque: 32,5    X 20,0 X 34,5 / 7,0 Kg",https://www.catalogospromocionales.com/p/linterna-de-9-leds-flynt/5753/17,"['IL-71_1.jpg', 'IL-71_2.jpg', 'IL-71_3.jpg', 'IL-71_4.jpg', 'IL-71_5.jpg', 'IL-71_6.jpg', 'IL-71_7.jpg', 'IL-71_8.jpg']"
Llavero Linterna Key Con Stylus OFERTA,iluminacion,PM IL-96,"Llavero plástico de 1 led con stylus y portacelular. Medidas: 6,7 cm x 3,7 cm x 1 cm Marca: 2,2 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 1000   Unidades  Empaque: 26,0    X 38,0 X 47,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/llavero-linterna-key-con-stylus/7420/17,"['PM IL-96_1.jpg', 'PM IL-96_2.jpg', 'PM IL-96_3.jpg', 'PM IL-96_4.jpg', 'PM IL-96_5.jpg', 'PM IL-96_6.jpg', 'PM IL-96_7.jpg', 'PM IL-96_8.jpg', 'PM IL-96_9.jpg']"
Banda Luminosa con Leds-OFERTA,iluminacion,PM IL-92,"Banda plástica luminosa con elástico ajustable. 2 leds fijos o intermitentes. Medidas: 18 cm x 3 cm Marca: 4 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 45,5    X 21,5 X 26,0 / 6,5 Kg",https://www.catalogospromocionales.com/p/banda-luminosa-con-leds-OFERTA/6897/17,"['PM IL-92_1.jpg', 'PM IL-92_2.jpg', 'PM IL-92_3.jpg', 'PM IL-92_4.jpg']"
Llavero Linterna Flat,iluminacion,LL-83,"Llavero plástico de 1 led. Medidas: 6 cm x 2.4 cm x 0.6 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 500   Unidades  Empaque: 33,0    X 27,0 X 18,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/llavero-linterna-flat/6972/17,"['LL-83_1.jpg', 'LL-83_2.jpg', 'LL-83_3.jpg', 'LL-83_4.jpg', 'LL-83_5.jpg', 'LL-83_6.jpg', 'LL-83_7.jpg']"
Banda Luminosa con Leds-OFERTA,iluminacion,PM IL-92,"Banda plástica luminosa con elástico ajustable. 2 leds fijos o intermitentes. Medidas: 18 cm x 3 cm Marca: 4 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 45,5    X 21,5 X 26,0 / 6,5 Kg",https://www.catalogospromocionales.com/p/banda-luminosa-con-leds-OFERTA/6897/17,"['PM IL-92_1.jpg', 'PM IL-92_2.jpg', 'PM IL-92_3.jpg', 'PM IL-92_4.jpg']"
Mini Lampara Flexible,iluminacion,IL-90,"Mini lámpara flexible portatil de 6 Leds. Entrada USB. Funciona con pilas recargables (Powerbank), PC, y productos con entrada USB. Medidas: 17 cm x 1.8 x 0.8 cm Marca: 2 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 61,0    X 45,0 X 36,0 / 17,5 Kg",https://www.catalogospromocionales.com/p/Mini-Lampara-Flexible/6791/17,"['IL-90_1.jpg', 'IL-90_2.jpg', 'IL-90_3.jpg', 'IL-90_4.jpg', 'IL-90_5.jpg', 'IL-90_6.jpg', 'IL-90_7.jpg']"
Llavero Linterna Like It Con Stylus,iluminacion,IL-93,"Llavero plástico con 1 led y stylus Medidas: 4,4 cm x 6 cm Marca: 2,5 cm / Tampografía Unidades por Caja: 1000   Unidades  Empaque: 47,0    X 26,0 X 38,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/llavero-linterna-like-it-con-stylus/7417/17,"['IL-93_1.jpg', 'IL-93_2.jpg', 'IL-93_3.jpg', 'IL-93_4.jpg', 'IL-93_5.jpg', 'IL-93_6.jpg', 'IL-93_7.jpg', 'IL-93_8.jpg', 'IL-93_9.jpg']"
Llavero Multifuncion Oddisey Con Destapador OFERTA,iluminacion,PM IL-97,"Llavero metálico multifunción con linterna de 1 led, mini destornilladores y destapador. Medidas: 7,5 cm x 1 cm diámetro Marca: 1,5 cm / Tampografía / Láser Unidades por Caja: 500   Unidades  Empaque: 47,0    X 16,0 X 17,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/llavero-multifuncion-oddisey-con-destapador/7421/17,"['PM IL-97_1.jpg', 'PM IL-97_2.jpg', 'PM IL-97_3.jpg', 'PM IL-97_4.jpg', 'PM IL-97_5.jpg', 'PM IL-97_6.jpg']"
Set de Tecnologia Station,iluminacion,TE-171,"Set de mini lámpara flexible, ventilador USB y cable de carga para Iphone y Android en estuche de poliéster 210D con cremallera. Medidas: 18,5 cm x 12 cm Marca: 10 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 49,5    X 28,5 X 35,5 / 6,8 Kg",https://www.catalogospromocionales.com/p/set-de-tecnologia-station/7625/17,"['TE-171_1.jpg', 'TE-171_2.jpg', 'TE-171_3.jpg', 'TE-171_4.jpg', 'TE-171_5.jpg', 'TE-171_6.jpg']"
Lampara USB Swan,iluminacion,IL-99,"Con botón de apagado dimerizable. Funciona con 3 baterías AA (no incluidas) y / o conexión a puerto USB. Empaque Caja Individual. Medidas: 46.5 cm x 11.2 cm x 11.6 cm Marca: 5 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 57,5    X 48,5 X 24,5 / 4,5 Kg",https://www.catalogospromocionales.com/p/lampara-usb-swan/7423/17,"['IL-99_1.jpg', 'IL-99_2.jpg']"
