name,category,reference,description,url,img_names
Set de Bandas Elásticas-OFERTA,infantil,PM VA-524,"Juego de bandas elásticas y pasadores plásticos, en estuche metálico. Medidas: 6.5 cm de diámetro x 4 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 43,5    X 36,6 X 33,4 / 9,0 Kg",https://www.catalogospromocionales.com/p/set-de-bandas-elasticas - OFERTA/6560/315,['PM VA-524_1.jpg']
Set de Bandas Elásticas-OFERTA,infantil,PM VA-524,"Juego de bandas elásticas y pasadores plásticos, en estuche metálico. Medidas: 6.5 cm de diámetro x 4 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 43,5    X 36,6 X 33,4 / 9,0 Kg",https://www.catalogospromocionales.com/p/set-de-bandas-elasticas - OFERTA/6560/315,['PM VA-524_1.jpg']
Alcancia Piggy (stock telefònicamente),infantil,VA-221,"En plástico transparente. Medidas: 10 cm x 12 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-piggy-produccion-nacional/2868/315,"['VA-221_1.jpg', 'VA-221_2.jpg', 'VA-221_3.jpg', 'VA-221_4.jpg', 'VA-221_5.jpg', 'VA-221_6.jpg']"
Miniset de Escritorio,infantil,OF-97,"Incluye: Dispensador de cinta, cosedora, perforadora de un hueco y ganchos para cosedora. Medidas: 6 cm x 9.2 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 34,5    X 30,0 X 44,5 / 15,0 Kg",https://www.catalogospromocionales.com/p/miniset-de-escritorio/2047/315,"['OF-97_1.jpg', 'OF-97_2.jpg', 'OF-97_3.jpg', 'OF-97_4.jpg', 'OF-97_5.jpg', 'OF-97_6.jpg', 'OF-97_7.jpg', 'OF-97_8.jpg']"
Set de Escritorio Magnum,infantil,OF-420,"Set de escritorio plástico con cinta, repuesto de cinta, ganchos, tijeras, quita ganchos, clips, tajalápiz y cosedora. Medidas: 10 cm x 11.5 cm x 3 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 144   Unidades  Empaque: 47,0    X 35,0 X 43,0 / 18,5 Kg",https://www.catalogospromocionales.com/p/Set-de-Escritorio-Magnum/6829/315,"['OF-420_1.jpg', 'OF-420_2.jpg', 'OF-420_3.jpg', 'OF-420_4.jpg', 'OF-420_5.jpg']"
Set Escolar - Producción Nacional,infantil,VA-517,"Set escolar en cartuchera plástica PVC con cierre de cremallera. Incluye: Lápiz, tajalápiz , regla de 15cm, escuadra de 15cm y borrador Medidas: 9.8 cm x 22.5 cm Marca: 6 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/set-escolar-produccion-nacional/6294/315,"['VA-517_1.jpg', 'VA-517_2.jpg', 'VA-517_3.jpg', 'VA-517_4.jpg', 'VA-517_5.jpg', 'VA-517_6.jpg']"
Estuche Multiusos en Silicona Kamelot,infantil,VA-556,"Cartuchera multiusos en silicona con cierre de cremallera. Medidas: 20.5 cm x 10.3 cm Marca: 4,5 cm / Tampografía en silicona a una tinta Unidades por Caja: 200   Unidades  Empaque: 44,0    X 27,5 X 26,0 / 9,5 Kg",https://www.catalogospromocionales.com/p/estuche-multiusos-en-silicona-kamelot/6913/315,"['VA-556_1.jpg', 'VA-556_2.jpg', 'VA-556_3.jpg', 'VA-556_4.jpg', 'VA-556_5.jpg', 'VA-556_6.jpg', 'VA-556_7.jpg']"
Alcancia Mini Piggy,infantil,VA-398,"Alcancia en PVC con forma de cerdito. Medidas: 10 cm x 8 cm x 7 cm Marca: 5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 43,0    X 43,0 X 40,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/alcancia-mini-piggy/5134/315,"['VA-398_1.jpg', 'VA-398_2.jpg', 'VA-398_3.jpg', 'VA-398_4.jpg', 'VA-398_5.jpg', 'VA-398_6.jpg', 'VA-398_7.jpg', 'VA-398_8.jpg', 'VA-398_9.jpg', 'VA-398_10.jpg', 'VA-398_11.jpg']"
Like It Antiestres,infantil,VA-561,"Mano antiestrés en señal OK, en poliuretano. Sin bolsa individual. Medidas: 9.2 cm x 5 cm x 11 cm Marca: 3.8 cm / Tampografía Unidades por Caja: 250   Unidades  Empaque: 48,5    X 36,5 X 57,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/like-it-antiestres/6744/315,"['VA-561_1.jpg', 'VA-561_2.jpg', 'VA-561_3.jpg', 'VA-561_4.jpg']"
Estuche monedero en Silicona,infantil,VA-538,"Estuche multiusos en silicona que funciona para monedero, billetera, cartuchera y portagafas. Medidas: 17.5 cm x 7.6 cm Marca: 4,5cm / Tampografía en silicona a una tinta Unidades por Caja: 120   Unidades  Empaque: 45,0    X 38,0 X 27,0 / 10,2 Kg",https://www.catalogospromocionales.com/p/Estuche-monedero-en-Silicona/6009/315,"['VA-538_1.jpg', 'VA-538_2.jpg', 'VA-538_3.jpg', 'VA-538_4.jpg', 'VA-538_5.jpg', 'VA-538_6.jpg']"
