name,category,reference,description,url,img_names
Juego Portatil - Producción Nacional,juegos,JU-71,"Juego portátil en estuche plástico con diseño a elección entre parqués, damas chinas y ajedrez (incluye fichas para ambos juegos). Producción sobre pedido. Medidas: Cerrado: 13 cm x 6.5 cm x 2 cm / Abierto: 13 cm x 13 cm x 2 cm Marca: 12 cm x 12 cm / Tablero personalizado para más de 500 unidades 5 cm / Tampografía en el estuche Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/juego-portatil-produccion-nacional/7685/18,"['JU-71_1.jpg', 'JU-71_2.jpg', 'JU-71_3.jpg', 'JU-71_4.jpg', 'JU-71_5.jpg', 'JU-71_6.jpg']"
Minidominó (Ver Estuche minidominó),juegos,JU-33,"Dominó importado en estuche plástico con tapa corrediza. Medidas: 11,5 cm x 3,5 cm x 2,5 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/minidomino/2789/18,"['JU-33_1.jpg', 'JU-33_2.jpg', 'JU-33_3.jpg', 'JU-33_4.jpg', 'JU-33_5.jpg', 'JU-33_6.jpg']"
Frisbee Original (stock telefònicamente),juegos,JU-37,"Frisbee en polipropileno. Colores planos o translúcidos. Medidas: 19 cm diámetro Marca: 10 cm / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/frisbee-original-produccion-nacional/2866/18,"['JU-37_1.jpg', 'JU-37_2.jpg', 'JU-37_3.jpg', 'JU-37_4.jpg', 'JU-37_5.jpg']"
Juego Imantado Desestresante,juegos,JU-16,"Juego de esferas metálicas, base plástica ovalada magnética. Empaque Caja Individual. Medidas: 9 cm x 7 cm x 2.4 cm Marca: 5 cm / Tampografía Unidades por Caja: 40   Unidades  Empaque: 29,0    X 29,0 X 17,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/juego-imantado-desestresante/1772/18,['JU-16_1.jpg']
Frisbee Enjoy - Produccion Nacional (sobre pedido),juegos,JU-62,"Polipropileno. Producción sobre pedido. Medidas: 23.5 cm diámetro Marca: 10 cm / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/frisbee-enjoy-produccion-nacional/5245/18,"['JU-62_1.jpg', 'JU-62_2.jpg', 'JU-62_3.jpg', 'JU-62_4.jpg', 'JU-62_5.jpg', 'JU-62_6.jpg', 'JU-62_7.jpg']"
Domino(ver estuche prod nal),juegos,JU-63,"Juego de dominó importado en estuche de plástico de producción nacional con tapa corrediza. Medidas: 18.5 cm x 5.2 cm x 5.8 cm Marca: 17 cm x 4 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/domino-grande-ver-estuche-produccion-nacional/5291/18,"['JU-63_1.jpg', 'JU-63_2.jpg', 'JU-63_3.jpg', 'JU-63_4.jpg', 'JU-63_5.jpg', 'JU-63_6.jpg', 'JU-63_7.jpg']"
Frisbee Flexible (stock telefònicamente),juegos,JU-36,"Flexible en material PVC cristal dureza 75. Colores planos ó translucidos. Medidas: 19 cm diámetro Marca: 10 cm / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/frisbee-flexible-produccion-nacional/2865/18,"['JU-36_1.jpg', 'JU-36_2.jpg', 'JU-36_3.jpg', 'JU-36_4.jpg', 'JU-36_5.jpg', 'JU-36_6.jpg']"
Frisbee Aero - Producción Nacional,juegos,JU-72,"Polipropileno. Medidas: 2.5 cm x 23 cm diámetro Marca: 13 cm / Screen / Etiqueta full color  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación**  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Frisbee-Aero-Produccion-Nacional/8028/18,"['JU-72_1.jpg', 'JU-72_2.jpg', 'JU-72_3.jpg', 'JU-72_4.jpg', 'JU-72_5.jpg', 'JU-72_6.jpg']"
Juego Desestresante con Clips,juegos,JU-26,"Juego de 8 clips metálicos en forma de humano, base plástica ovalada magnética. Medidas: 9 cm x 7 cm x 2.4 cm Marca: 5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 31,0    X 31,0 X 39,0 / 19,0 Kg",https://www.catalogospromocionales.com/p/juego-desestresante-con-clips/2198/18,['JU-26_1.jpg']
Abanico Plegable / Frisbee Flexible,juegos,VA-610,"Abanico plegable en lona poliéster con funda para guardar. Funciona como frisbee. Medidas: 25 cm diámetro Marca: 15 cm / Screen  Venta mínima y en múltiplos de caja de 250 unidades. Unidades por Caja: 500   Unidades  Empaque: 58,0    X 29,0 X 30,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/abanico-Plegable-frisbee-flexible/7577/18,"['VA-610_1.jpg', 'VA-610_2.jpg', 'VA-610_3.jpg', 'VA-610_4.jpg', 'VA-610_5.jpg', 'VA-610_6.jpg', 'VA-610_7.jpg', 'VA-610_8.jpg', 'VA-610_9.jpg']"
