name,category,reference,description,url,img_names
Llavero Destapador Campello,llaveros,LL-70,"Con destapador Medidas: 5.5 cm x 1 cm Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 200 unidades. Unidades por Caja: 1000   Unidades  Empaque: 34,0    X 32,0 X 18,0 / 9,8 Kg",https://www.catalogospromocionales.com/p/llavero-destapador-campello/4808/19,"['LL-70_1.jpg', 'LL-70_2.jpg', 'LL-70_3.jpg', 'LL-70_4.jpg']"
Llavero KleanOFERTA,llaveros,PM LL-69,"Con microfibra Dimensión Total: 8 cm alto X 4.5 cm ancho Argolla:2.3 cm diámetroLlavero: 4.5 cm ancho X 4.5 cm alto Técnica de Marca: Tampografìa Área de Marca:2.5 cm largo X2.5 cm alto Unidades por Caja: 1000   Unidades  Empaque: 56,0    X 37,0 X 32,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/llavero-klean-oferta/4779/19,['PM LL-69_1.jpg']
Llavero Destapador Orbis,llaveros,LL-75,"Llavero destapador en aluminio. Medidas: 6.5 cm x 1.2 cm x 1.5 cm Marca: 3 cm / Tampografía / Láser  Venta mínima y en múltiplos de caja de 200 unidades. Unidades por Caja: 1000   Unidades  Empaque: 61,0    X 20,0 X 25,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/llavero-destapador-orbis/6115/19,"['LL-75_1.jpg', 'LL-75_2.jpg', 'LL-75_3.jpg', 'LL-75_4.jpg', 'LL-75_5.jpg', 'LL-75_6.jpg', 'LL-75_7.jpg', 'LL-75_8.jpg', 'LL-75_9.jpg']"
Llavero Silicone (Silicona),llaveros,LL-33,"Llavero en silicona con placa y argolla metálica Medidas: Silicona: 10 cm Placa metálica:2.5 cm x 1 cm Marca: 2cm / Tampografía en silicona a una tinta / Láser Unidades por Caja: 1000   Unidades  Empaque: 58,0    X 25,0 X 24,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/llavero-silicone-silicona/2226/19,"['LL-33_1.jpg', 'LL-33_2.jpg', 'LL-33_3.jpg', 'LL-33_4.jpg', 'LL-33_5.jpg']"
Llavero PVC para resina - Produccion Nacional,llaveros,LL-72,"Llavero PVC. Medidas: Cuadrado: 3.5 cm x 3.5 cm / Ovalado: 5.1 cm x 3.4 cm Marca: Litoresina a partir de 1.000 unidades Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/llavero-pvc-para-resina-produccion-nacional/5050/19,"['LL-72_1.jpg', 'LL-72_2.jpg', 'LL-72_3.jpg', 'LL-72_4.jpg', 'LL-72_5.jpg', 'LL-72_6.jpg', 'LL-72_7.jpg', 'LL-72_8.jpg']"
Carabinero,llaveros,LL-49,"Llavero metálico. Medidas: 5,5 cm x 3,4 cm Marca: 1,5 cm / Láser  Venta mínima y en múltiplos de caja de 200 unidades. Unidades por Caja: 1000   Unidades  Empaque: 69,0    X 17,0 X 24,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/carabinero/3100/19,"['LL-49_1.jpg', 'LL-49_2.jpg', 'LL-49_3.jpg', 'LL-49_4.jpg', 'LL-49_5.jpg', 'LL-49_6.jpg', 'LL-49_7.jpg']"
Llavero ML-323,llaveros,ML-323,"Llavero en silicona con sombra metálica forma de niña. Caja negra Individual. Medidas: 3 cm x 7.5 cm Marca: Área de marca Tampografía: 1 cm Área de marca Láser: 1.3 cm / Tampografía en silicona a una tinta /Láser Unidades por Caja: 200   Unidades  Empaque: 39,0    X 24,0 X 28,0 / 6,0 Kg",https://www.catalogospromocionales.com/p/llavero-ml-323/6578/19,"['ML-323_1.jpg', 'ML-323_2.jpg', 'ML-323_3.jpg', 'ML-323_4.jpg']"
Llavero ML-322,llaveros,ML-322,"Llavero en silicona con sombra metálica en forma de niño. Caja negra Individual. Medidas: 3 cm x 7.5 cm Marca: Área de marca Tampografía: 1 cm Área de marca Láser: 1.3 cm / Tampografía en silicona a una tinta / Láser Unidades por Caja: 200   Unidades  Empaque: 40,0    X 25,0 X 29,0 / 6,2 Kg",https://www.catalogospromocionales.com/p/llavero-ml-322/6577/19,"['ML-322_1.jpg', 'ML-322_2.jpg', 'ML-322_3.jpg', 'ML-322_4.jpg']"
Mini Set de Destornilladores Bronson,llaveros,HE-211,"Miniset de 2 destornilladores con luz. Medidas: 6 cm x 2.4 cm x 1.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 35,5    X 18,0 X 18,5 / 9,0 Kg",https://www.catalogospromocionales.com/p/mini-set-de-destornilladores-bronson/6773/19,"['HE-211_1.jpg', 'HE-211_2.jpg', 'HE-211_3.jpg', 'HE-211_4.jpg']"
Llavero Antiestrés Ball,llaveros,VA-87,"Llavero en poliuretano. Sin bolsa individual. Medidas: 4 cm diámetro Marca: 2.5 cm / Tampografía  Venta mínima y en múltiplos de caja de 250 unidades. Unidades por Caja: 500   Unidades  Empaque: 48,5    X 21,5 X 41,5 / 6,0 Kg",https://www.catalogospromocionales.com/p/llavero-antiestres-ball/1216/19,"['VA-87_1.jpg', 'VA-87_2.jpg', 'VA-87_3.jpg', 'VA-87_4.jpg', 'VA-87_5.jpg', 'VA-87_6.jpg']"
Llavero KleanOFERTA,llaveros,PM LL-69,"Con microfibra Dimensión Total: 8 cm alto X 4.5 cm ancho Argolla:2.3 cm diámetroLlavero: 4.5 cm ancho X 4.5 cm alto Técnica de Marca: Tampografìa Área de Marca:2.5 cm largo X2.5 cm alto Unidades por Caja: 1000   Unidades  Empaque: 56,0    X 37,0 X 32,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/llavero-klean-oferta/4779/19,['PM LL-69_1.jpg']
Llavero Linterna Flat,llaveros,LL-83,"Llavero plástico de 1 led. Medidas: 6 cm x 2.4 cm x 0.6 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 500   Unidades  Empaque: 33,0    X 27,0 X 18,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/llavero-linterna-flat/6972/19,"['LL-83_1.jpg', 'LL-83_2.jpg', 'LL-83_3.jpg', 'LL-83_4.jpg', 'LL-83_5.jpg', 'LL-83_6.jpg', 'LL-83_7.jpg']"
Mini Llavero Pito,llaveros,LL-46,"Mini Llavero metálico con pito Medidas: 4.5 cm x 0.8 cm diámetro Marca: 2.5 cm x 0.5 / Tampografía con Tratamiento Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 19,5 X 17,0 / 6,0 Kg",https://www.catalogospromocionales.com/p/mini-llavero-pito/3156/19,"['LL-46_1.jpg', 'LL-46_2.jpg', 'LL-46_3.jpg', 'LL-46_4.jpg', 'LL-46_5.jpg', 'LL-46_6.jpg']"
Metro Llavero Car,llaveros,HE-216,"Llavero metro plástico de 1 metro. Medidas: 6,5 cm x 3,7 cm x 1,1 cm Marca: 3 cm / Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 500   Unidades  Empaque: 34,0    X 34,0 X 27,5 / 12,0 Kg",https://www.catalogospromocionales.com/p/Metro-Llavero-Car/7275/19,"['HE-216_1.jpg', 'HE-216_2.jpg', 'HE-216_3.jpg', 'HE-216_4.jpg', 'HE-216_5.jpg', 'HE-216_6.jpg']"
Llavero Linterna Key Con Stylus OFERTA,llaveros,PM IL-96,"Llavero plástico de 1 led con stylus y portacelular. Medidas: 6,7 cm x 3,7 cm x 1 cm Marca: 2,2 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 1000   Unidades  Empaque: 26,0    X 38,0 X 47,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/llavero-linterna-key-con-stylus/7420/19,"['PM IL-96_1.jpg', 'PM IL-96_2.jpg', 'PM IL-96_3.jpg', 'PM IL-96_4.jpg', 'PM IL-96_5.jpg', 'PM IL-96_6.jpg', 'PM IL-96_7.jpg', 'PM IL-96_8.jpg', 'PM IL-96_9.jpg']"
