name,category,reference,description,url,img_names
Bolsa en Yute Canopy-OFERTA,maletines,PM VA-501,"Bolso en yute con agarraderas y dos bolsillos exterioresen algodón. Medidas: 36cm x 30 cm x 7.5 cm fuelle Marca: 4cm x 2cm (sobre bolsillos externos)/ Screen Unidades por Caja: 75   Unidades  Empaque: 46,0    X 40,0 X 33,0 / 13,6 Kg",https://www.catalogospromocionales.com/p/bolsa-en-yute-canopy-OFERTA/6258/107,"['PM VA-501_1.jpg', 'PM VA-501_2.jpg', 'PM VA-501_3.jpg', 'PM VA-501_4.jpg']"
Bolsa en Cambrel Arcadia,maletines,VA-490,"Bolsa sencilla en cambrel. Medidas: 40 cm x 37.5 cm Marca: 10 cm / Screen  Venta mínima y en múltiplos de paquete de 100 unidades. Unidades por Caja: 500   Unidades  Empaque: 46,0    X 38,5 X 47,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-arcadia/6247/107,"['VA-490_1.jpg', 'VA-490_2.jpg', 'VA-490_3.jpg', 'VA-490_4.jpg', 'VA-490_5.jpg', 'VA-490_6.jpg', 'VA-490_7.jpg', 'VA-490_8.jpg', 'VA-490_9.jpg']"
Bolsa en Cambrel Queen,maletines,VA-516,"Bolsa en cambrel con fuelle. Medidas: 42.5 cm x 36.5 cm x 10.5 cm fuelle Marca: 10 cm / Screen Unidades por Caja: 250   Unidades  Empaque: 50,0    X 40,0 X 45,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-queen/6293/107,"['VA-516_1.jpg', 'VA-516_2.jpg', 'VA-516_3.jpg', 'VA-516_4.jpg', 'VA-516_5.jpg', 'VA-516_6.jpg', 'VA-516_7.jpg', 'VA-516_8.jpg', 'VA-516_9.jpg', 'VA-516_10.jpg']"
Bolsa en Cambrel Franky,maletines,VA-480,"Bolsa rectangular en cambrel con agarraderas. Medidas: 33 cm x 49.5 cm x 20 cm fuelle. Marca: 15 cm / Screen Unidades por Caja: 200   Unidades  Empaque: 53,0    X 36,0 X 53,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-franky/6238/107,"['VA-480_1.jpg', 'VA-480_2.jpg', 'VA-480_3.jpg', 'VA-480_4.jpg', 'VA-480_5.jpg', 'VA-480_6.jpg', 'VA-480_7.jpg', 'VA-480_8.jpg', 'VA-480_9.jpg', 'VA-480_10.jpg']"
Mini Bolsa en Cambrel,maletines,VA-478,"Ideal para empaques, cordón para cerrar y cargar. Medidas: 19.5 cm x 15 cm. Marca: 6cm / Screen  Venta mínima y en múltiplos de paquete de 100 unidades. Unidades por Caja: 1000   Unidades  Empaque: 36,0    X 45,0 X 65,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/mini-bolsa-en-cambrel/6235/107,"['VA-478_1.jpg', 'VA-478_2.jpg', 'VA-478_3.jpg', 'VA-478_4.jpg', 'VA-478_5.jpg']"
Bolsa en Cambrel Bawel,maletines,VA-434,"Con agarraderas y base plastica rígida. Medidas: 38 cm x 32 cm x 25 cm fuelle Marca: 13 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 40,0    X 35,0 X 39,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-bawel/5611/107,"['VA-434_1.jpg', 'VA-434_2.jpg', 'VA-434_3.jpg', 'VA-434_4.jpg', 'VA-434_5.jpg', 'VA-434_6.jpg', 'VA-434_7.jpg', 'VA-434_8.jpg', 'VA-434_9.jpg', 'VA-434_10.jpg']"
Bolsa en Yute Wine,maletines,VA-419,"Bolsa en Yute con agarradera de cordón e impresión de botella y copa de vino. Medidas: 10 cm x 36 cm x 10 cm Marca: 6 cm / Screen Unidades por Caja: 125   Unidades  Empaque: 46,0    X 40,0 X 33,0 / 11,8 Kg",https://www.catalogospromocionales.com/p/bolsa-en-yute-wine/5437/107,['VA-419_1.jpg']
Bolsa en Cambrel con Fuelle,maletines,VA-491,"Bolsa sencilla en cambrel, con fuelle en la base. Medidas: 35 cm x 27 cm x 6 cm fuelle en la base Marca: 8cm / Screen  Venta mínima y en múltiplos de paquete de 100 unidades. Unidades por Caja: 800   Unidades  Empaque: 55,5    X 42,5 X 41,5 / 16,0 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-con-fuelle/6248/107,"['VA-491_1.jpg', 'VA-491_2.jpg', 'VA-491_3.jpg', 'VA-491_4.jpg', 'VA-491_5.jpg', 'VA-491_6.jpg', 'VA-491_7.jpg', 'VA-491_8.jpg', 'VA-491_9.jpg', 'VA-491_10.jpg']"
Bolsa en Cambrel Baxter,maletines,VA-404,"Con agarraderas. Medidas: 38.8 cm x 40 cm Marca: 30 cm / Screen  Venta mínima y en múltiplos de paquete de 100 unidades. Unidades por Caja: 400   Unidades  Empaque: 42,0    X 44,0 X 50,0 / 12,6 Kg",https://www.catalogospromocionales.com/p/bolsa-en-cambrel-baxter/5260/107,"['VA-404_1.jpg', 'VA-404_2.jpg', 'VA-404_3.jpg', 'VA-404_4.jpg', 'VA-404_5.jpg', 'VA-404_6.jpg', 'VA-404_7.jpg', 'VA-404_8.jpg', 'VA-404_9.jpg', 'VA-404_10.jpg']"
Messenger Bag en yute,maletines,VA-417,"Bolso en Yute con reata en algodón y bordes de color con cierre en velcro. Bolsillo interno con cremallera. Bolsillo organizador. Medidas: 32 cm x 38 cm x 10 cm Marca: 20 cm / Screen Unidades por Caja: 50   Unidades  Empaque: 44,0    X 44,0 X 38,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/messenger-bag-en-yute/5441/107,"['VA-417_1.jpg', 'VA-417_2.jpg', 'VA-417_3.jpg', 'VA-417_4.jpg']"
