name,category,reference,description,url,img_names
Clip Portamensajes House,master-line,ML-227,"Metálico (en níquel). Caja negra Individual. Medidas: 8.3 cm alto x 3.8 cm ancho. Marca: 1 cm x 2 cm / Yag / Pantografía. Unidades por Caja: 200   Unidades  Empaque: 30,0    X 24,0 X 39,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/clip-portamensajes-house/4213/22,['ML-227_1.jpg']
Clip Portamensajes Boy,master-line,ML-229,"Metálico. Caja negra Individual. Medidas: 9 cm x 3.1 cm Marca: 1.5 cm / Láser Unidades por Caja: 200   Unidades  Empaque: 54,0    X 23,0 X 29,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/clip-portamensajes-boy/4215/22,['ML-229_1.jpg']
Llavero ML-196,master-line,ML-196,"Metálico. Caja negra Individual. Medidas: 3.5 cm x 4 cm Marca: 3 cm / Láser / Yag Unidades por Caja: 200   Unidades  Empaque: 27,0    X 24,0 X 39,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/llavero-silver-ml-196/3359/22,['ML-196_1.jpg']
Llavero ML-103,master-line,ML-103,"Metálico.  Empaque Caja Individual. Medidas: 4.5 cm x 2 cm Marca: 2.3 cm / Láser / Yag Unidades por Caja: 200   Unidades  Empaque: 40,0    X 24,0 X 28,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/llavero-ml-103/1572/22,['ML-103_1.jpg']
Llavero Car II,master-line,ML-188,"Metálico. Caja negra Individual. Medidas: 3.8 cm diámetro Marca: 2.5 cm / Láser / Yag Unidades por Caja: 200   Unidades  Empaque: 27,0    X 24,0 X 39,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/llavero-car-ii/3204/22,['ML-188_1.jpg']
Llavero Silver ML-262,master-line,ML-262,"Metálico. Caja negra Individual. Medidas: 2.5 cm x 3.1 cm Marca: 2 cm / Láser Unidades por Caja: 200   Unidades  Empaque: 40,0    X 24,0 X 28,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/llavero-silver-ml-262/4793/22,['ML-262_1.jpg']
Llavero ML-314,master-line,ML-314,"Metálico. Caja negra Individual. Medidas: 3.8 cm x 3.7 cm Marca: 1.5 cm / Láser Unidades por Caja: 200   Unidades  Empaque: 39,0    X 24,0 X 27,0 / 6,7 Kg",https://www.catalogospromocionales.com/p/llavero-ml-314/6138/22,"['ML-314_1.jpg', 'ML-314_2.jpg', 'ML-314_3.jpg', 'ML-314_4.jpg', 'ML-314_5.jpg']"
Clip Portamensajes Car,master-line,ML-228,"Metálico (en níquel). Caja negra Individual. Medidas: 8 cm alto x 4.1 cm ancho. Marca: 0.6 cm x 1.5 cm / Yag. Unidades por Caja: 200   Unidades  Empaque: 30,0    X 24,0 X 39,0 / 11,3 Kg",https://www.catalogospromocionales.com/p/clip-portamensajes-car/4214/22,['ML-228_1.jpg']
Llavero ML-295,master-line,ML-295,"Metálico en forma de camión. Caja negra Individual. Medidas: 11 cm x 3.5 cm x 0.7 cm Marca: 4 cm / Láser / Yag Unidades por Caja: 200   Unidades  Empaque: 40,0    X 24,0 X 29,0 / 11,7 Kg",https://www.catalogospromocionales.com/p/llavero-ml-295/5455/22,['ML-295_1.jpg']
Llavero ML-294,master-line,ML-294,"Metálico en forma de corazón. Caja negra Individual. Medidas: 3.2 cm x 3.2 cm x 0.7 cm 3 cm / Láser / Yag Unidades por Caja: 200   Unidades  Empaque: 40,0    X 24,0 X 29,0 / 6,4 Kg",https://www.catalogospromocionales.com/p/llavero-ml-294/5454/22,['ML-294_1.jpg']
