name,category,reference,description,url,img_names
Gel Antibacterial Moss 30ml,medicos,CP-126,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213. Medidas: 7.8 cm x 3.4 cm Marca: 3.5 cm / Tampografía (producto con tratamiento)  Unidades por Caja: 300   Unidades  Empaque: 36,5    X 24,0 X 28,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-moss-30ml/6025/413,"['CP-126_1.jpg', 'CP-126_2.jpg', 'CP-126_3.jpg', 'CP-126_4.jpg', 'CP-126_5.jpg', 'CP-126_6.jpg', 'CP-126_7.jpg', 'CP-126_8.jpg', 'CP-126_9.jpg']"
Protector Labial Stick SPF15,medicos,CP-123,"Con protector solar SPF15. Capacidad 13,5 gramos. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 7 cm x 1,8 cm diámetro. Marca: 2,5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 22,5    X 19,5 X 42,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/protector-labial-stick-SPF15/6008/413,"['CP-123_1.jpg', 'CP-123_2.jpg', 'CP-123_3.jpg', 'CP-123_4.jpg', 'CP-123_5.jpg', 'CP-123_6.jpg', 'CP-123_7.jpg', 'CP-123_8.jpg']"
Medidor de Masa Muscular,medicos,CP-104,"Metro en plástico para calcular el índice de masa muscular, con botón para recoger la cinta. Medidas: 7.3 cm diámetro Marca: 2.5 cm / Tampografía - Producto complejo Unidades por Caja: 200   Unidades  Empaque: 41,0    X 39,0 X 30,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/medidor-de-masa-muscular/5255/413,"['CP-104_1.jpg', 'CP-104_2.jpg', 'CP-104_3.jpg']"
Pastillero vaso 2 en 1,medicos,CP-133,"Pastillero plástico circular 2 - 1 con vaso plegable de 90 ml. Medidas: Cerrado: 2.5 cm x 7 cm diámetro. Abierto: 7.7 cm x 7 cm diámetro. Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 38,5    X 33,0 X 30,5 / 6,5 Kg",https://www.catalogospromocionales.com/p/pastillero-vaso-2-en-1/6055/413,"['CP-133_1.jpg', 'CP-133_2.jpg', 'CP-133_3.jpg', 'CP-133_4.jpg', 'CP-133_5.jpg']"
Gel Antibacterial Round 40ml,medicos,CP-118,"Gel antibacterial importado en frasco plástico circular (Alcohol 62%). Formula mejorada con Aloe Vera. Capacidad 40 ml. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213.  Medidas: 7 cm x 5 cm Marca: 2 cm / Tampografía con Tratamiento Unidades por Caja: 200   Unidades  Empaque: 40,0    X 24,0 X 23,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-round-40ml/6003/413,"['CP-118_1.jpg', 'CP-118_2.jpg', 'CP-118_3.jpg', 'CP-118_4.jpg', 'CP-118_5.jpg', 'CP-118_6.jpg', 'CP-118_7.jpg', 'CP-118_8.jpg', 'CP-118_9.jpg']"
Liquido Antibacterial Pump 10ml,medicos,CP-127," Ahora  CP-127-1 (Frasco Importado + Líquido de Producción Nacional al 70%): DE CLIC AQUI Unidades por Caja: 500   Unidades  Empaque: 36,0    X 23,0 X 29,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/liquido-antibacterial-pump-10ml-ver-cp-127-1/6026/413,['CP-127_1.jpg']
Gel antibacterial con dispensador 60ml,medicos,CP-110-1,"Gel antibacterial de producción nacional en botella plástica importada con dispensador 60ml (Alcohol 70%). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 4.8 cm x 12.4 cm x 2.5 cm Marca: 2.5 cm / Tampografía - Producto complejo / Etiqueta Unidades por Caja: 200   Unidades  Empaque: 49,0    X 31,0 X 26,5 / 15,5 Kg",https://www.catalogospromocionales.com/p/Gel-antibacterial-con-dispensador-60ml/7831/413,['CP-110-1_1.jpg']
PVC PARA BOLIGRAFO BUCK,medicos,BUCK-PVC,"PVC para clip de bolígrafo BUCK en formas variadas. Medidas: 4 cm  Ver BUCK SOLIDO Ver BUCK METALIZADO Unidades por Caja: 1000   Unidades  Empaque: 20,0    X 31,0 X 51,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/PVC-PARA-BOLIGRAFO-BUCK/7932/413,"['BUCK-PVC_1.jpg', 'BUCK-PVC_2.jpg', 'BUCK-PVC_3.jpg', 'BUCK-PVC_4.jpg']"
Gel Antibacterial Bella 15ml,medicos,CP-125,"Gel antibacterial importado en frasco plástico de 15 ml (Alcohol 62%). Formula mejorada con Aloe Vera. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 6.5 cm x 3.3 cm Marca: 2 cm / Tampografía (producto con tratamiento) Unidades por Caja: 400   Unidades  Empaque: 37,0    X 21,0 X 34,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-bella-15ml/6016/413,"['CP-125_1.jpg', 'CP-125_2.jpg', 'CP-125_3.jpg', 'CP-125_4.jpg', 'CP-125_5.jpg', 'CP-125_6.jpg', 'CP-125_7.jpg', 'CP-125_8.jpg', 'CP-125_9.jpg', 'CP-125_10.jpg']"
Pesa Digital Weight,medicos,CP-112,"Pesa digital en vidrio con soporte antideslizante. (Incluye pila). Empaque Caja Individual. Medidas: 30 cm x 30 cm x 1.8 cm Sin marca Unidades por Caja: 11   Unidades  Empaque: 34,0    X 33,0 X 34,0 / 18,3 Kg",https://www.catalogospromocionales.com/p/pesa-digital-weight/5356/413,['CP-112_1.jpg']
Mentas Estuche Tin - Promoción,medicos,CP-122-PM,"Dulces duros con sabor a menta, peso neto 13g (aprox 95-100 mentas), estuche metálico circular con tapa a presión. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 4.5 cm diámetro Marca: 3 cm / Tampografía  (vencimiento 03-2021 hasta agotar existencias) Unidades por Caja: 600   Unidades  Empaque: 42,5    X 26,5 X 28,5 / 15,0 Kg",https://www.catalogospromocionales.com/p/mentas-estuche-tin-promocion/9646/413,['CP-122-PM_1.jpg']
Mini Tarro Paños Humedos Antibacterial 30und,medicos,CP-119,"Frasco plástico con 30 paños húmedos antibacteriales. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 8 cm x 5 cm diámetro Marca: 2.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 52,0    X 28,0 X 19,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/mini-tarro-panos-humedos-antibacterial-30und/6004/413,"['CP-119_1.jpg', 'CP-119_2.jpg', 'CP-119_3.jpg', 'CP-119_4.jpg']"
Pinza Medidora de Grasa OFERTA,medicos,PM CP-186,"Pinza plástica medidora de grasa corporal. Medidas: 16 cm x 9 cm Marca: 1.5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 40,0    X 45,0 X 56,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/pinza-medidora-de-grasa/7787/413,"['PM CP-186_1.jpg', 'PM CP-186_2.jpg', 'PM CP-186_3.jpg']"
Liquido Antibacterial Swanson 20ml,medicos,CP-174,"Antibacterial líquido importado en envase plástico tipo spray (Alcohol 62%). Capacidad 20 ml. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 5.5 cm x 8 cm x 1.4 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 33,0    X 28,5 X 21,5 / 7,5 Kg",https://www.catalogospromocionales.com/p/liquido-antibacterial-swanson-20ml/7385/413,"['CP-174_1.jpg', 'CP-174_2.jpg', 'CP-174_3.jpg', 'CP-174_4.jpg']"
Cool and Hot pad Flower,medicos,CP-135,"Cojín en forma de flor con gel.Transmisor de frío y calor. NO APTO PARA MICROONDAS. SOLO BAÑO DE MARÍA Medidas: 10 cm x 10 cm Marca: 4.5 cm / Tampografía / Screen Unidades por Caja: 120   Unidades  Empaque: 38,0    X 27,0 X 21,0 / 8,2 Kg",https://www.catalogospromocionales.com/p/cool-and-hot-pad-flower/6057/413,"['CP-135_1.jpg', 'CP-135_2.jpg', 'CP-135_3.jpg', 'CP-135_4.jpg', 'CP-135_5.jpg', 'CP-135_6.jpg', 'CP-135_7.jpg']"
Bajalenguas Plástico- Producción Nacional,medicos,CP-188,"Bajalenguas en polipropileno. Set de 4 unidades (Oso, Mono, Tigre, Perro). Medidas: 13.5 cm x 1.2 cm Opción marca en bajo relieve : Cotización especial  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bajalenguas-plastico-produccion-nacional/7955/413,"['CP-188_1.jpg', 'CP-188_2.jpg', 'CP-188_3.jpg', 'CP-188_4.jpg', 'CP-188_5.jpg', 'CP-188_6.jpg', 'CP-188_7.jpg']"
Pastillero con cortador OFERTA,medicos,PM CP-134,"Pastillero plástico circular con 2 funciones. Medidas: 2.8 cm x 7.3 cm diámetro Marca: 2.5 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 66,0    X 41,5 X 36,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/pastillero-con-cortador/6056/413,"['PM CP-134_1.jpg', 'PM CP-134_2.jpg', 'PM CP-134_3.jpg', 'PM CP-134_4.jpg', 'PM CP-134_5.jpg']"
Pastillero Tank,medicos,CP-184,"Pastillero plástico circular con cortador y dos compartimentos. Medidas: 6.2 cm x 4 cm diámetro Marca: 2,5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 29,0    X 34,0 X 46,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/pastillero-tank/7785/413,"['CP-184_1.jpg', 'CP-184_2.jpg', 'CP-184_3.jpg', 'CP-184_4.jpg']"
Pastillero Giratorio,medicos,CP-178,"Pastillero plástico giratorio con dispensador. Medidas: 2.8 cm x 9.2 cm diámetro Marca: 3.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 48,5    X 41,5 X 36,0 / 14,5 Kg",https://www.catalogospromocionales.com/p/pastillero-giratorio/7388/413,"['CP-178_1.jpg', 'CP-178_2.jpg', 'CP-178_3.jpg', 'CP-178_4.jpg', 'CP-178_5.jpg']"
Hojas De Jabon Antibacteriano - Repuesto,medicos,CP-165,"Hojas de jabón antibacteriano, peso neto 4g (25 hojas). En bolsa plástica (repuesto). Opcional adicional sobre de cartón personalizado. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 6 cm diámetro   No deja Residuos. Unidades por Caja: 2000   Unidades  Empaque: 32,0    X 24,5 X 28,5 / 9,3 Kg",https://www.catalogospromocionales.com/p/hojas-de-jabon-antibacteriano-repuesto/7377/413,['CP-165_1.jpg']
Hojas De Jabon Antibacteriano Con Estuche,medicos,CP-164,"Hojas de jabón antibacteriano, peso neto 4g (25 hojas). En estuche plástico. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 6.3 cm diámetro Marca: 4 cm / Tampografía   No deja Residuos. Ver repuesto CP-165 Unidades por Caja: 500   Unidades  Empaque: 36,0    X 73,0 X 16,5 / 12,5 Kg",https://www.catalogospromocionales.com/p/hojas-de-jabon-antibacteriano-con-estuche/7376/413,"['CP-164_1.jpg', 'CP-164_2.jpg', 'CP-164_3.jpg', 'CP-164_4.jpg']"
Gel Antibacterial Molly 30Ml Con Silicona,medicos,CP-173,"Gel antibacterial importado en frasco plástico de 30 ml (Alcohol 62%). Con funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 7 cm x 4 cm x 2.8 cm Marca: 2 cm / Tampografía Unidades por Caja: 360   Unidades  Empaque: 30,0    X 29,0 X 52,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-molly-30ml-con-silicona/7384/413,"['CP-173_1.jpg', 'CP-173_2.jpg', 'CP-173_3.jpg', 'CP-173_4.jpg', 'CP-173_5.jpg', 'CP-173_6.jpg', 'CP-173_7.jpg', 'CP-173_8.jpg']"
Pastillero Dharma,medicos,CP-185,"Pastillero plástico con cortador y dos compartimentos removibles (amarillo y morado). Medidas: 9 cm x 4.5 cm Marca: 4 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 37,0    X 27,0 X 42,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/pastillero-dharma/7786/413,"['CP-185_1.jpg', 'CP-185_2.jpg', 'CP-185_3.jpg']"
Cool and Hot pad Square,medicos,CP-136,"Cojín en forma de Cuadrada con gel. Transmisor de frío y calor. NO APTO PARA MICROONDAS. SOLO BAÑO DE MARÍA Medidas: 9.2 cm x 9.2 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 160   Unidades  Empaque: 38,0    X 27,0 X 28,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/cool-and-hot-pad-square/6058/413,"['CP-136_1.jpg', 'CP-136_2.jpg', 'CP-136_3.jpg', 'CP-136_4.jpg', 'CP-136_5.jpg', 'CP-136_6.jpg', 'CP-136_7.jpg']"
Pastillero Eco,medicos,CP-225,"Pastillero plástico con material ecológico de fibra de trigo. 3 divisiones internas. Medidas:8 cm x 5 cm x 2 cm Marca:4 cm/Tampografía  **Para el material  con contenido de fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 500   Unidades  Empaque: 60,0    X 44,0 X 34,0 / 16,5 Kg",https://www.catalogospromocionales.com/p/pastillero-eco/9102/413,"['CP-225_1.jpg', 'CP-225_2.jpg']"
Flexy Grip OFERTA,medicos,PM CP-199,"Fabricado en caucho de alta resistencia. Presión máxima 40lb. Medidas: 7 cm diámetro Marca: 2.5 cm / Tampografía en silicona a una tinta Unidades por Caja: 300   Unidades  Empaque: 53,0    X 23,0 X 29,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/flexy-grip-oferta/8164/413,['PM CP-199_1.jpg']
Reloj Inteligente Touch,medicos,CP-218,"Plástica. Diferentes modos de deporte, podómetro, medidor de pulsaciones, monitor de sueño, medidor de calorías, disparador remoto (cuando está conectado al móvil), a prueba de salpicaduras. Pila de 170mAh. Carga mediante cable. Empaque caja individual. Los resultados de la medición de este producto son solo de referencia, no para ningún propósito ni base médica. Por favor siga las instrucciones del médico y no use los resultados de la medición para el autodiagnóstico y el tratamiento. Medidas:3.6 cm x 3.9 cm Marca:/Sin Marca Unidades por Caja: 100   Unidades  Empaque: 36,0    X 35,0 X 45,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/reloj-inteligente-touch/8976/413,"['CP-218_1.jpg', 'CP-218_2.jpg']"
Paños Húmedos Antibacterial Klean 60und,medicos,CP-193,"Frasco plástico con 60 paños húmedos antibacteriales. Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 7 cm x 12 cm x 4 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 45,5    X 40,5 X 28,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/panos-humedos-antibacterial-klean-60und/7960/413,"['CP-193_1.jpg', 'CP-193_2.jpg', 'CP-193_3.jpg']"
Pastillero Trio,medicos,CP-221,"Pastillero plástico. 3 divisiones internas. Medidas:7.8 cm x 3.4 cm x 1.5 cm Marca:1.5 cm/Tampografía  Venta mínima y en múltiplos de caja de 50 unidades. Unidades por Caja: 1000   Unidades  Empaque: 36,0    X 38,0 X 45,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/pastillero-trio/9038/413,"['CP-221_1.jpg', 'CP-221_2.jpg', 'CP-221_3.jpg', 'CP-221_4.jpg']"
Cool and Hot Pad Medic,medicos,CP-201,"Cojín con gel en forma de doctor o cirujano.Transmisor de frío y calor. Medidas: 13 cm x 14.5 cm Marca: 4 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 33,0    X 29,0 X 26,0 / 10,4 Kg",https://www.catalogospromocionales.com/p/Cool-and-Hot-Pad-Medic/7967/413,"['CP-201_1.jpg', 'CP-201_2.jpg', 'CP-201_3.jpg']"
Cool and Hot Pad Mask,medicos,CP-196,"Cojín transmisor de frío y calor con banda. Medidas: 21 cm x 11 cm Marca: 5 cm / Tampografía / Screen  Unidades por Caja: 80   Unidades  Empaque: 39,0    X 23,0 X 15,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/Cool-and-Hot-Pad-Mask/7963/413,"['CP-196_1.jpg', 'CP-196_2.jpg', 'CP-196_3.jpg', 'CP-196_4.jpg', 'CP-196_5.jpg']"
Pulsera Inteligente Gym,medicos,CP-217,"Reloj inteligente. Carga mediante USB. Pila de 80mAh. Funciones sin Conexión Bluetooth: -Reloj -Calorías -Podómetro -Medidor de distancia -Frecuencia Cardíaca -Presión de sangre  Funciones adicionales Conexión Bluetooth (mediante App): -Notificaciones  Los resultados de la medición de este producto son solo de referencia, no para ningún propósito ni base médica. Por favor siga las instrucciones del médico y no use los resultados de la medición para el autodiagnóstico y el tratamiento.  Empaque caja individual. Medidas:1.9 cm ancho Marca:/Sin Marca Unidades por Caja: 100   Unidades  Empaque: 71,0    X 24,0 X 20,0 / 5,0 Kg",https://www.catalogospromocionales.com/p/pulsera-inteligente-gym/9312/413,"['CP-217_1.jpg', 'CP-217_2.jpg', 'CP-217_3.jpg', 'CP-217_4.jpg', 'CP-217_5.jpg']"
Llavero Medidor Uv,medicos,CP-222,"Llavero plástico, con indicador que cambia de color de acuerdo al nivel de luz UV en exteriores. Medidas:3.8 cm diámetro Marca:2 cm/Tampografía Unidades por Caja: 1000   Unidades  Empaque: 25,5    X 30,5 X 36,0 / 9,4 Kg",https://www.catalogospromocionales.com/p/llavero-medidor-uv/9040/413,"['CP-222_1.jpg', 'CP-222_2.jpg']"
Toalla Cool Sport Con Estuche,medicos,CP-189,"Toalla poliéster con tejido especial que al humedecerse bloquea el agua, manteniendo la temperatura de 3 a 4 horas. Su estructura permite que el agua reduzca la sensación de calor. Empaque tarro PVC. Medidas: Estuche pequeño: 16.5 cm x 6 cm diámetro. Toalla: 30 cm x 80 cm Estuche grande: 18 cm x 6.5 cm diámetro. Toalla: 30 cm x 80 cm Marca: 4 cm / Tampografía  Unidades por Caja: 100   Unidades  Empaque: 75,0    X 38,0 X 35,5 / 12,5 Kg",https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/413,"['CP-189_1.jpg', 'CP-189_2.jpg', 'CP-189_3.jpg', 'CP-189_4.jpg', 'CP-189_5.jpg', 'CP-189_6.jpg', 'CP-189_7.jpg', 'CP-189_8.jpg', 'CP-189_9.jpg', 'CP-189_10.jpg']"
Set de Bandas Elasticas,medicos,CP-223,"Set de tres bandas elásticas 100% látex, cada una con un nivel de resistencia diferente. En estuche plástico. Medidas:Estuche: 11.8 cm x 7 cm x 1.9 cm Marca:5 cm/Tampografía en el estuche, producto con tratamiento Unidades por Caja: 150   Unidades  Empaque: 42,0    X 38,0 X 22,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/set-de-bandas-elasticas/9058/413,"['CP-223_1.jpg', 'CP-223_2.jpg', 'CP-223_3.jpg']"
Flexy Grip OFERTA,medicos,PM CP-199,"Fabricado en caucho de alta resistencia. Presión máxima 40lb. Medidas: 7 cm diámetro Marca: 2.5 cm / Tampografía en silicona a una tinta Unidades por Caja: 300   Unidades  Empaque: 53,0    X 23,0 X 29,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/flexy-grip-oferta/8164/413,['PM CP-199_1.jpg']
Antiestresante De Mano OFERTA,medicos,PM CP-191,"Antiestrés de mano con resorte. Medidas: 1.5 cm x 7 cm diámetro Marca: 2.5 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 45,5    X 37,0 X 37,5 / 16,0 Kg",https://www.catalogospromocionales.com/p/Antiestresante-De-Mano/7958/413,"['PM CP-191_1.jpg', 'PM CP-191_2.jpg', 'PM CP-191_3.jpg', 'PM CP-191_4.jpg', 'PM CP-191_5.jpg', 'PM CP-191_6.jpg']"
