name,category,reference,description,url,img_names
Memoria USB llavero Comet OFERTA,memorias-usb,PM US-25,"Memoria usb con argolla tipo llavero. Empaque caja individual. Medidas: 9,8 cm x 2 cm Marca: 2 cm / Láser Capacidad: 4 GB / 8 GB Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-llavero-comet/5620/31,"['PM US-25_1.jpg', 'PM US-25_2.jpg', 'PM US-25_3.jpg']"
Memoria USB Boligrafo Hammer,memorias-usb,US-24,"Bolígrafo metálico. Empaque estuche PVC. Medidas: 14 cm Marca: Láser solo en barril. 3,5 cm / Láser Capacidad: 4GB / 8GB / 16GB. Unidades por Caja: 100   Unidades  Empaque: 35,0    X 23,0 X 17,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-boligrafo-hammer/5619/31,"['US-24_1.jpg', 'US-24_2.jpg']"
Memoria USB Mini en Imitacion Cuero,memorias-usb,US-21,"Metálica con funda imitación cuero, cierre imantado y cordón para colgar en el cuello. Medidas: 6.3 cm x 2.6 cm Marca: 2 cm / Láser Capacidad: 8 GB / 16 GB Unidades por Caja: 250   Unidades  Empaque: 26,0    X 24,0 X 26,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/memoria-mini-usb-en-imitacion-cuero/5277/31,"['US-21_1.jpg', 'US-21_2.jpg', 'US-21_3.jpg', 'US-21_4.jpg']"
Memoria USB Stylus 3-1 OFERTA,memorias-usb,PM US-26,"Memoria USB con stylus, salida USB estándar y salida micro usb para tableta y smartphone. Estuche en PVC Medidas: 7.5 cm x 2 cm Marca: 2 cm / Tampografía Capacidad: 4 GB / 8 GB  Nota Importante Se recomienda buscar en las especificaciones de su dispositivo móvil, en los ajustes y en el manual de uso que puede descargarse para cada marca y modelo, si su dispositivo es compatible con OTG y como activar la conexión. No todos los móviles y/o sistemas operativos son compatibles con este sistema. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-stylus-3-1/5621/31,['PM US-26_1.jpg']
Memoria USB Boligrafo Slim,memorias-usb,US-03,"Bolígrafo metálico USB. Colores con Acabado en Caucho. Empaque estuche PVC. Medidas: 14.5 cm Marca: 3.5 cm / Láser en el barril inferior Capacidad: 8GB / 16GB Unidades por Caja: 200   Unidades  Empaque: 31,0    X 27,0 X 27,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-boligrafo-slim/4612/31,"['US-03_1.jpg', 'US-03_2.jpg']"
Memoria USB Mini Swivel,memorias-usb,US-06,"Metálica con sistema giratorio. Medidas: 3.5 cm x 1.6 cm Marca: 1,5 cm / Láser Capacidad: 8 GB / 16GB Unidades por Caja: 500   Unidades  Empaque: 35,0    X 23,0 X 49,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-mini-swivel/4725/31,"['US-06_1.jpg', 'US-06_2.jpg', 'US-06_3.jpg']"
Memoria USB Llave,memorias-usb,OF-257,"Metálica. Empaque: Sobre plástico individual. Medidas: 5 cm x 2.3 cm Marca: 1.5 cm / Láser / Tampografía Capacidad: 4GB / 8GB / 16GB Unidades por Caja: 500   Unidades  Empaque: 26,0    X 24,0 X 26,0 / 4,9 Kg",https://www.catalogospromocionales.com/p/memoria-usb-llave/4078/31,"['OF-257_1.jpg', 'OF-257_2.jpg', 'OF-257_3.jpg', 'OF-257_4.jpg', 'OF-257_5.jpg', 'OF-257_6.jpg', 'OF-257_7.jpg', 'OF-257_8.jpg']"
Memoria USB Carabinero,memorias-usb,US-08,"Metálica. Medidas: 6 cm x 1.6 cm Marca: 2 cm / Láser / Tampografía Capacidad: 8 GB / 16 GB Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-carabinero/4727/31,['US-08_1.jpg']
Memoria USB Mini Crystal,memorias-usb,US-33,"Memoria USB con luz led incorporada, se ilumina al conectar. Medidas: 4.6 cm x 1.3 cm Marca: 1.5 cm / Láser Capacidad: 8 GB / 16 GB Unidades por Caja: 300   Unidades  Empaque: 23,5    X 22,0 X 22,5 / 2,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-mini-crystal/5883/31,['US-33_1.jpg']
Memoria USB Credit Card,memorias-usb,OF-202,"USB card en plástico. Medidas: 8.6 cm x 5.5 cm Marca: 4.5 cm / Tampografía 8.6 cm x 5.5 cm / Impresión digital full color sobre rígidos color blanco únicamente Capacidad: 4 GB / 8 GB / 16 GB Unidades por Caja: 900   Unidades  Empaque: 26,0    X 26,0 X 49,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-credit-card-precio-neto/3301/31,"['OF-202_1.jpg', 'OF-202_2.jpg']"
