name,category,reference,description,url,img_names
Carpeta Folder Congress - Produccion Nacional,oficina,OF-446,"Folder en lona poliester. Incluye block de 20 hojas. No incluye bolígrafo. Medidas: cerrado: 32 cm x 24.5 cm Marca: 13 cm / Screen Consulte inventario telefónicamente con su asesora de Servicio al Cliente  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/carpeta-folder-congress-produccion-nacional/7090/24,"['OF-446_1.jpg', 'OF-446_2.jpg', 'OF-446_3.jpg', 'OF-446_4.jpg']"
Resaltador Magico en Cera Flower - 4 colores,oficina,OF-449,"En plástico con 4 resaltadores de cera en colores. No se seca. Medidas: 11 cm x 11 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 250   Unidades  Empaque: 53,0    X 50,0 X 17,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/resaltador-magico-en-cera-flower-4-colores/7243/24,"['OF-449_1.jpg', 'OF-449_2.jpg']"
Libreta Like It - Producción Nacional,oficina,OF-445,"Libreta argollada en polipropileno con botón de cierre a presión. 80 hojas rayadas. No incluye bolígrafo. Medidas: 18 cm x 13 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/libreta-like-it-produccion-nacional/7089/24,"['OF-445_1.jpg', 'OF-445_2.jpg', 'OF-445_3.jpg', 'OF-445_4.jpg', 'OF-445_5.jpg', 'OF-445_6.jpg']"
Resaltador de cera corazón-OFERTA,oficina,PM OF-447,"En plástico con juego de 2 resaltadores de cera. No se seca. Medidas: 8 cm x 9 cm Marca: 3 cm / Tampografía Unidades por Caja: 300   Unidades  Empaque: 37,0    X 30,0 X 48,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/resaltador-de-cera-corazon - OFERTA/7206/24,"['PM OF-447_1.jpg', 'PM OF-447_2.jpg', 'PM OF-447_3.jpg', 'PM OF-447_4.jpg']"
Libreta reciclable button con bolígrafo,oficina,OF-448,"Libreta en cartón reciclable con botón de presión y bolígrafo; taco de 70 hojas rayadas, taco de notas autoadhesivos y set de 5 stickies de colores. Medidas: Cerrado: 11 cm x 15.2 cm. Abierto: 26 cm x 15.2 cm Marca: 4,5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 60,0    X 18,0 X 32,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/libreta-reciclable-button-con-boligrafo/7207/24,"['OF-448_1.jpg', 'OF-448_2.jpg', 'OF-448_3.jpg', 'OF-448_4.jpg']"
Sticky set Lucky,oficina,OF-387,"Set de portastickies en cartón en forma de trébol, 4 stickies de colores. Medidas: 13.5 cm x 13.5 cm Marca: 5 cm / Tampografía Unidades por Caja: 300   Unidades  Empaque: 48,0    X 29,0 X 21,5 / 7,4 Kg",https://www.catalogospromocionales.com/p/sticky-set-lucky/6175/24,"['OF-387_1.jpg', 'OF-387_2.jpg']"
Sticky Set Eco,oficina,OF-205,"Libreta con 5 stickies de colores y taco de papel autoadhesivo. Medidas: 8 cm x 9 cm Marca: 5 cm / Tampografía  Venta mínima y en múltiplos de caja de 250 unidades. Unidades por Caja: 500   Unidades  Empaque: 21,0    X 42,0 X 46,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/sticky-set-eco/3377/24,"['OF-205_1.jpg', 'OF-205_2.jpg', 'OF-205_3.jpg', 'OF-205_4.jpg']"
Resaltador de cera corazón-OFERTA,oficina,PM OF-447,"En plástico con juego de 2 resaltadores de cera. No se seca. Medidas: 8 cm x 9 cm Marca: 3 cm / Tampografía Unidades por Caja: 300   Unidades  Empaque: 37,0    X 30,0 X 48,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/resaltador-de-cera-corazon - OFERTA/7206/24,"['PM OF-447_1.jpg', 'PM OF-447_2.jpg', 'PM OF-447_3.jpg', 'PM OF-447_4.jpg']"
Sticky set Doble-OFERTA,oficina,PM OF-393,"Portastickies doble en PVC. Calendario, con 2 tacos de papel autoadhesivo, Set de 5 stickies de colores. Empaque caja Individual. Medidas: 13 cm ancho x 8 cm alto Marca: 3,5 cm x 1.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 45,0    X 25,0 X 30,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/sticky-set-doble-OFERTA/6181/24,"['PM OF-393_1.jpg', 'PM OF-393_2.jpg', 'PM OF-393_3.jpg']"
Sticky Set Fingers,oficina,OF-365,"Estuche en cartón reciclado en forma de mano con 4 mini tacos de papel adhesivo. Medidas: 14 cm x 10.8 cm Marca: 5 cm / Tampografía  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 400   Unidades  Empaque: 33,0    X 32,0 X 38,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/sticky-set-fingers/5502/24,"['OF-365_1.jpg', 'OF-365_2.jpg']"
