name,category,reference,description,url,img_names
"Mini Paraguas Mint 21""",paraguas,SO-31,"Poliéster pongee 190T. Correa en velcro, mango en caucho y herraje metálico con fibra de vidrio, costuras reforzadas. Apertura y cierre automáticos y sistema antibrisa. Calidad AA Medidas: 21”- Cobertura:98 cm. Casco:37.5 cm ancho. Largo total:54 cm Marca: Máximo 10 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 30,0    X 28,5 X 29,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/mini-paraguas-mint-21/4106/25,"['SO-31_1.jpg', 'SO-31_2.jpg', 'SO-31_3.jpg', 'SO-31_4.jpg', 'SO-31_5.jpg', 'SO-31_6.jpg', 'SO-31_7.jpg', 'SO-31_8.jpg', 'SO-31_9.jpg']"
"Mini Paraguas Hansel 21""",paraguas,SO-47,"En poliéster pongee 190T. Apertura manual, mango en caucho, herraje metálico. Con forro. Medidas: 21”- Casco: 36 cm Largo total: 55 cm Cobertura: 98 cm Marca: Máximo:20 cm / Screen  Opcional bolsa plegable SO-47-2 Unidades por Caja: 60   Unidades  Empaque: 26,0    X 26,0 X 51,0 / 18,0 Kg",https://www.catalogospromocionales.com/p/mini-paraguas-hansel-21/6868/25,"['SO-47_1.jpg', 'SO-47_2.jpg', 'SO-47_3.jpg', 'SO-47_4.jpg', 'SO-47_5.jpg', 'SO-47_6.jpg', 'SO-47_7.jpg', 'SO-47_8.jpg', 'SO-47_9.jpg', 'SO-47_10.jpg']"
Abrigo Impermeable,paraguas,VA-293,"Capa impermeable en estuche, EVA calibre 3 mm. Medidas: Estuche: 21 cm x 18 cm. Capa: 86 cm x 70 cm Marca: 12 cm / Screen en el estuche. Unidades por Caja: 50   Unidades  Empaque: 25,0    X 31,0 X 45,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/abrigo-impermeable/3640/25,"['VA-293_1.jpg', 'VA-293_2.jpg', 'VA-293_3.jpg', 'VA-293_4.jpg']"
Chaqueta en PVC,paraguas,VA-407,"Chaqueta en PVC, capucha con cordón adaptable, cierre frontal en cremallera y broches a presión, 2 bolsillos y puños encauchados. Incluye estuche.Tallas disponibles: M / L. Medidas: estuche: 24 cm ancho x 17 cm alto x 2 cm Marca: Solo estuche a 1 tinta, 12 cm / Screen Unidades por Caja: 50   Unidades  Empaque: 46,0    X 36,0 X 27,0 / 18,0 Kg",https://www.catalogospromocionales.com/p/chaqueta-en-pvc/5466/25,"['VA-407_1.jpg', 'VA-407_2.jpg', 'VA-407_3.jpg', 'VA-407_4.jpg', 'VA-407_5.jpg']"
"Mini Paraguas Strap 21""",paraguas,SO-43,"Poliéster pongee 190T, plegable, mango con acabado en caucho y metal. Apertura semiautomático. Medidas: 21” Casco: 37 cm ancho. Largo total: 31 cm. Cobertura: 95 cm Marca: 15 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 45,0    X 23,0 X 31,0 / 19,0 Kg",https://www.catalogospromocionales.com/p/mini-paraguas-strap-21/6201/25,"['SO-43_1.jpg', 'SO-43_2.jpg', 'SO-43_3.jpg', 'SO-43_4.jpg', 'SO-43_5.jpg', 'SO-43_6.jpg', 'SO-43_7.jpg', 'SO-43_8.jpg']"
"Paraguas Colombia 27""",paraguas,SO-41,"Poliéster tricolor, herraje metálico. Mango amarillo en EVA . Semiautomático. Medidas: 27”  Cobertura: 117 cm Casco: 61.5 cm largo x 43 cm ancho Marca: Maximo:25 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 96,0    X 17,0 X 31,0 / 18,0 Kg",https://www.catalogospromocionales.com/p/paraguas-colombia-27/5913/25,"['SO-41_1.jpg', 'SO-41_2.jpg']"
"Paraguas Lancelot 27""",paraguas,SO-45,"Poliéster pongee 190T. Mango curvo en caucho y herraje en fibra de vidrio. Semiautomático. Medidas: 27” Casco: 45 cm Largo total: 93 cm Cobertura: 127 cm Marca: Máximo:20 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 33,0    X 19,0 X 100,0 / 18,0 Kg",https://www.catalogospromocionales.com/p/paraguas-lancelot-27/6865/25,"['SO-45_1.jpg', 'SO-45_2.jpg', 'SO-45_3.jpg', 'SO-45_4.jpg', 'SO-45_5.jpg', 'SO-45_6.jpg', 'SO-45_7.jpg', 'SO-45_8.jpg']"
Chaqueta Canguro - Produccion Nacional,paraguas,JC-02,"Consulte telefónicamente Stock Permanente. Chaqueta tipo canguro con gorro y bolsillo para guardarlo. Elaborada en poliéster. Cremallera de nylon. Tallas: S / M / L / XL Marca: 15 cm / Screen Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/chaqueta-canguro-produccion-nacional/2002/25,['JC-02_1.jpg']
Poncho PVC con estuche,paraguas,VA-382,"Capa impermeable en PVC, calibre 2 mm. Empaque estuche. Medidas: Estuche: 22 cm x 18 cm. Capa: 122 cm x 195 cm (abierto). Marca: 12 cm / Screen en el estuche. Unidades por Caja: 50   Unidades  Empaque: 38,0    X 23,0 X 28,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/poncho-pvc-con-estuche/4832/25,"['VA-382_1.jpg', 'VA-382_2.jpg', 'VA-382_3.jpg', 'VA-382_4.jpg']"
Chaqueta Cremallera - Produccion Nacional,paraguas,JC-01,"Chaqueta en poliéster, con cierre de cremallera y gorro. Stock Permanente. Tallas: S / M / L / XL Marca: 15 cm / Screen Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/chaqueta-cremallera-produccion-nacional/1948/25,['JC-01_1.jpg']
Llavero con Capa,paraguas,VA-244,"Estuche esférico con carabinero. Capa blanca plástica en el interior. Capa 120 x 90 cm x 0.015 mm. Medidas: 6.4 cm diámetro Marca: 3.5 cm / Tampografía solo en la bola Unidades por Caja: 200   Unidades  Empaque: 33,0    X 35,0 X 52,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/llavero-con-capa/3336/25,"['VA-244_1.jpg', 'VA-244_2.jpg', 'VA-244_3.jpg', 'VA-244_4.jpg', 'VA-244_5.jpg', 'VA-244_6.jpg']"
"Paraguas Brook 27""",paraguas,SO-44,"Poliéster pongee 190T. Mango en espuma y herraje metálico. Semiautomático. Medidas: 27” Casco: 44.5 cm. Largo Total: 95 cm. Cobertura: 117,5 cm Marca: 25 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 97,0    X 18,0 X 31,5 / 17,0 Kg",https://www.catalogospromocionales.com/p/paraguas-brook-27/6369/25,"['SO-44_1.jpg', 'SO-44_2.jpg', 'SO-44_3.jpg', 'SO-44_4.jpg', 'SO-44_5.jpg', 'SO-44_6.jpg', 'SO-44_7.jpg']"
"Paraguas Trendy Poliéster 27"" Fibra de Vidrio",paraguas,SO-17-1,"Poliéster 190T, interior plateado. Mango en espuma y herraje metálico con fibra de vidrio. 8 Cascos. Semiautomático. Medidas: 27” Cobertura:120 cm Casco:45 cm ancho.Largo total:92 cm Marca: Maximo:25 cm / Screen  Nota importante: Para el color blanco debido a la transparencia del material y al acabado metalizado interno, el tono se verá grisáceo. Unidades por Caja: 36   Unidades  Empaque: 95,0    X 19,0 X 35,0 / 19,0 Kg",https://www.catalogospromocionales.com/p/paraguas-trendy-poliester-27-fibra-de-vidrio/5693/25,"['SO-17-1_1.jpg', 'SO-17-1_2.jpg', 'SO-17-1_3.jpg', 'SO-17-1_4.jpg', 'SO-17-1_5.jpg', 'SO-17-1_6.jpg', 'SO-17-1_7.jpg', 'SO-17-1_8.jpg', 'SO-17-1_9.jpg', 'SO-17-1_10.jpg']"
"Paraguas Brook Ergo 27""",paraguas,SO-44-1,"Poliéster pongee 190T. Mango ergonómico en caucho y herraje metálico. Semiautomático. Medidas: 27” Casco: 44.5 cm. Largo Total: 95 cm. Cobertura: 117,5 cm Marca: Maximo:25 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 97,0    X 18,0 X 31,0 / 17,5 Kg",https://www.catalogospromocionales.com/p/paraguas-brook-ergo-27/7512/25,"['SO-44-1_1.jpg', 'SO-44-1_2.jpg', 'SO-44-1_3.jpg', 'SO-44-1_4.jpg', 'SO-44-1_5.jpg', 'SO-44-1_6.jpg', 'SO-44-1_7.jpg', 'SO-44-1_8.jpg', 'SO-44-1_9.jpg']"
Paraguas de Madera en Pongee OFERTA,paraguas,PM SO-18,"Poliéster pongee 190T. Mango curvo de madera y herraje metálico. 8 Cascos. Semiautomático. Medidas: 23” Cobertura:105 cm Casco:40 cm ancho. Largo total:88 cm Marca: 20 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 30,0    X 18,0 X 95,0 / 22,4 Kg",https://www.catalogospromocionales.com/p/paraguas-de-madera-en-pongee-23/2567/25,"['PM SO-18_1.jpg', 'PM SO-18_2.jpg', 'PM SO-18_3.jpg', 'PM SO-18_4.jpg', 'PM SO-18_5.jpg', 'PM SO-18_6.jpg', 'PM SO-18_7.jpg', 'PM SO-18_8.jpg', 'PM SO-18_9.jpg']"
"Paraguas Golf II 30""",paraguas,SO-08,"Poliéster pongee 190T. Mango en espuma y doble herraje metálico con fibra de vidrio. 8 cascos. Manual. Medidas: 30” Cobertura:127 cm. Casco:48 cm ancho. Largo total: 98.5 cm Marca: 25 cm / Screen Unidades por Caja: 24   Unidades  Empaque: 22,5    X 15,5 X 104,5 / 13,4 Kg",https://www.catalogospromocionales.com/p/paraguas-golf-II-30/1083/25,"['SO-08_1.jpg', 'SO-08_2.jpg', 'SO-08_3.jpg', 'SO-08_4.jpg', 'SO-08_5.jpg', 'SO-08_6.jpg', 'SO-08_7.jpg', 'SO-08_8.jpg']"
"Paraguas Fiori 23""",paraguas,SO-49,"Poliéster pongee 190T. Apertura automática, con estructura metálica y de fibra de vidrio reforzado. Mango de lujo en caucho. Medidas: 23”-Casco: 38cm Largo total: 83 cm Cobertura: 120 cm Marca: Máximo:20 cm / Screen Unidades por Caja: 36   Unidades  Empaque: 87,0    X 17,0 X 31,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/paraguas-fiori-23/7515/25,"['SO-49_1.jpg', 'SO-49_2.jpg', 'SO-49_3.jpg', 'SO-49_4.jpg', 'SO-49_5.jpg', 'SO-49_6.jpg', 'SO-49_7.jpg', 'SO-49_8.jpg']"
"Paraguas Freerain 23""",paraguas,SO-50,"Paraguas invertido (abre al revés) de 23”. Poliéster pongee 190T doble tela. Manual, con estructura metálica y mango en caucho manos libres. Medidas: 23” Casco: 39 cm Largo total: 80 cm Cobertura: 110 cm Marca: Máximo:20 cm / Screen   VER VIDEO Unidades por Caja: 36   Unidades  Empaque: 32,0    X 25,0 X 84,0 / 20,0 Kg",https://www.catalogospromocionales.com/p/paraguas-freerain-23/7627/25,"['SO-50_1.jpg', 'SO-50_2.jpg', 'SO-50_3.jpg', 'SO-50_4.jpg', 'SO-50_5.jpg', 'SO-50_6.jpg', 'SO-50_7.jpg', 'SO-50_8.jpg']"
"Paraguas Golf Redondo 27""",paraguas,SO-13,"Poliéster pongee 190T. Mango en espuma y herraje metálico. 8 Cascos. Manual. Medidas: 27” Cobertura:118 cm Casco: 45 cm ancho. Largo total: 96 cm Marca: Maximo:25 cm / Screen Unidades por Caja: 24   Unidades  Empaque: 21,0    X 14,8 X 98,0 / 9,5 Kg",https://www.catalogospromocionales.com/p/paraguas-golf-redondo-27/1889/25,"['SO-13_1.jpg', 'SO-13_2.jpg', 'SO-13_3.jpg', 'SO-13_4.jpg', 'SO-13_5.jpg', 'SO-13_6.jpg', 'SO-13_7.jpg', 'SO-13_8.jpg']"
"Paraguas Golf Windproof 30"" OFERTA",paraguas,PM SO-14,"Poliéster pongee 190T. Mango en espuma, herraje en fibra de vidrio y sistema antibrisa. 8 Cascos. Apertura manual. Medidas: 30” Cobertura:130 cm. Casco:50 cm ancho. Largo total:96 cm Marca: 25 cm / Screen Unidades por Caja: 24   Unidades  Empaque: 22,5    X 15,5 X 99,0 / 13,9 Kg",https://www.catalogospromocionales.com/p/paraguas-golf-windproof-30/2023/25,"['PM SO-14_1.jpg', 'PM SO-14_2.jpg', 'PM SO-14_3.jpg', 'PM SO-14_4.jpg']"
