name,category,reference,description,url,img_names
Nevera Cooler Spring - Produccion Nacional,produccion-nacional,VA-590,"En poliéster con bolsillo frontal y recubrimiento interior que conserva las bebidas o alimentos fríos por más tiempo. Parte superior con cremallera para fácil acceso al interior. Correa ajustable para cargar. Medidas: 28 cm x 24 cm x 18 cm Marca: 13 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Nevera-Cooler-Spring-produccion-nacional/6983/108,"['VA-590_1.jpg', 'VA-590_2.jpg', 'VA-590_3.jpg', 'VA-590_4.jpg', 'VA-590_5.jpg']"
Nevera Cooler Trendy - Produccion Nacional,produccion-nacional,VA-587,"Nevera en poliéster con bolsillo frontal de cremallera y recubrimiento interior que conserva las bebidas o alimentos fríos por más tiempo. Correa ajustable para cargar. Medidas: 34.5 cm x 24.5 cm x 23 cm Marca: 20 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Nevera-Cooler-Trendy-produccion-nacional/6982/108,"['VA-587_1.jpg', 'VA-587_2.jpg', 'VA-587_3.jpg', 'VA-587_4.jpg', 'VA-587_5.jpg']"
Bolsa Clear Trenza con Ribete (Produccion N),produccion-nacional,VA-521,"Bolsa en clear, ribete de color con fuelle. Medidas: 30 cm x 23 cm x 11.5 cm Marca: 17 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bolsa-clear-trenza-con-ribete-produccion-nacional/6463/108,"['VA-521_1.jpg', 'VA-521_2.jpg', 'VA-521_3.jpg', 'VA-521_4.jpg']"
Libreta Like It - Producción Nacional,produccion-nacional,OF-445,"Libreta argollada en polipropileno con botón de cierre a presión. 80 hojas rayadas. No incluye bolígrafo. Medidas: 18 cm x 13 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/libreta-like-it-produccion-nacional/7089/108,"['OF-445_1.jpg', 'OF-445_2.jpg', 'OF-445_3.jpg', 'OF-445_4.jpg', 'OF-445_5.jpg', 'OF-445_6.jpg']"
Bolsa Clear Anny ( Produccion Nacional),produccion-nacional,VA-522,"Bolsa en clear, ribete de color y cordón para cerrar y colgar. Medidas: 41 cm x 35 cm Marca: 25 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bolsa-clear-anny-produccion-nacional/6465/108,"['VA-522_1.jpg', 'VA-522_2.jpg', 'VA-522_3.jpg', 'VA-522_4.jpg']"
Carpeta Folder Congress - Produccion Nacional,produccion-nacional,OF-446,"Folder en lona poliester. Incluye block de 20 hojas. No incluye bolígrafo. Medidas: cerrado: 32 cm x 24.5 cm Marca: 13 cm / Screen Consulte inventario telefónicamente con su asesora de Servicio al Cliente  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/carpeta-folder-congress-produccion-nacional/7090/108,"['OF-446_1.jpg', 'OF-446_2.jpg', 'OF-446_3.jpg', 'OF-446_4.jpg']"
Bolsa Clear Zuzy con Ribete ( Produccion N),produccion-nacional,VA-520,"Bolsa en clear, ribete de color con fuelle. Medidas: 30 cm x 31 cm x 14.5 cm Marca: 22 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/bolsa-clear-zuzy-con-ribete-produccion-nacional/6460/108,"['VA-520_1.jpg', 'VA-520_2.jpg', 'VA-520_3.jpg', 'VA-520_4.jpg']"
Nevera Cooler Max - Produccion Nacional,produccion-nacional,VA-588,"Nevera en poliester, con bolsillo frontal. Su recubrimiento interior conserva las bebidas o alimentos fríos por más tiempo. Con malla interna que provee diferentes compartimentos y bolsillo lateral en malla. Correa ajustable y removible para cargar. Medidas: 15 cm x 34 cm x 20 cm Marca: 10 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Nevera-Cooler-Max-produccion-nacional/6981/108,"['VA-588_1.jpg', 'VA-588_2.jpg', 'VA-588_3.jpg', 'VA-588_4.jpg']"
Reloj de Pared Tempo - Producción Nal (Ver RE-152),produccion-nacional,RE-181,"Reloj en poliestireno alto impacto, números en relieve. 1 pila AA no incluida. Incluye mecanismo. Empaque caja Individual blanca. Medidas: 35.7 diámetro Marca: 8 cm / Screen 1 tinta  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  Ver mecanismo y manecillas RE-152 Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-de-Pared-Tempo-Produccion-Nacional/7208/108,"['RE-181_1.jpg', 'RE-181_2.jpg', 'RE-181_3.jpg', 'RE-181_4.jpg', 'RE-181_5.jpg', 'RE-181_6.jpg', 'RE-181_7.jpg']"
Portavianda - Producción nacional,produccion-nacional,VA-513,"Set de portacomidas por 3 unidades en polipropileno, apilables para fácil almacenaje. Medidas: Taza plástica: 7.5 cm x 17.5 cm diámetro. Portacomidas armado: 27 cm x 17.5 cm diámetro Marca: 4.5 cm (1 taza) / Screen  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/portavianda-produccion-nacional/6270/108,"['VA-513_1.jpg', 'VA-513_2.jpg', 'VA-513_3.jpg', 'VA-513_4.jpg']"
