name,category,reference,description,url,img_names
Cepillo Masajeador Face Clean,productos-2021,CP-269,"Mini cepillo masajeador facial en silicona. Con ajuste en los dedos para mejor agarre. Dos tipos de textura en la parte superior e inferior. Apto para todo tipo de piel. Exfolia y limpia suavemente la piel del rostro. Ergonómico, fácil de usar y limpiar. Medidas:8 cm x 6.5 cm Marca:3 cm/Tampografía en Silicona a una tinta Unidades por Caja: 500   Unidades  Empaque: 46,0    X 28,0 X 35,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/Cepillo-Masajeador-Face-Clean/9530/426,"['CP-269_1.jpg', 'CP-269_2.jpg', 'CP-269_3.jpg']"
Liquido Antibacterial Pump Spray 10ml-ProdNacional,productos-2021,CP-127-1,"Antibacterial líquido de producción nacional en envase plástico importado (Alcohol 70%). Capacidad de 10 ml. Registro Invima. Medidas: 13.5 cm x 1.5 de diámetro Marca: 3 cm / Tampografía (Producto con tratamiento) Unidades por Caja: 500   Unidades  Empaque: 53,0    X 29,0 X 18,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Liquido-Antibacterial-Pump-Spray-10ml-Produccion-nacional/9619/426,"['CP-127-1_1.jpg', 'CP-127-1_2.jpg', 'CP-127-1_3.jpg', 'CP-127-1_4.jpg', 'CP-127-1_5.jpg', 'CP-127-1_6.jpg']"
Audifonos Bluetooth TWS Zero Buds Boompods,productos-2021,BP-20,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Hasta 5 horas de carga. Con estuche compacto portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 72   Unidades  Empaque: 43,0    X 25,0 X 32,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-zero-buds-boompods/9643/426,"['BP-20_1.jpg', 'BP-20_2.jpg', 'BP-20_3.jpg', 'BP-20_4.jpg', 'BP-20_5.jpg', 'BP-20_6.jpg', 'BP-20_7.jpg', 'BP-20_8.jpg']"
Reloj Inteligente Step,productos-2021,CP-266,"Reloj inteligente con medición de frecuencia cardíaca, presión arterial, modo multideporte.Pantalla táctil de 1.3”. Recordatorio de mensajes, recordatorio de sedentarismo, monitor de sueño. Para sistemas operativos: IOS 9.0 y superior, Android5.0 y superior. Bluetooth: 4.0 Capacidad de la batería: 100 mAh Tamaño del reloj: 11.4x36.4x42mm / Peso: 77g. Empaque caja individual. Sin Marca Los resultados de la medición de este producto son solo de referencia, no para ningún propósito ni base médica. Por favor siga las instrucciones del médico y no use los resultados de la medición para el autodiagnóstico y el tratamiento. Unidades por Caja: 100   Unidades  Empaque: 44,5    X 34,0 X 28,5 / 7,0 Kg",https://www.catalogospromocionales.com/p/Reloj-Inteligente-Step/9527/426,"['CP-266_1.jpg', 'CP-266_2.jpg', 'CP-266_3.jpg']"
Tapabocas Antibacterial Fluidtech - Prod Nacional,productos-2021,CP-271,"Tapabocas en tela 100% poliéster Antifluido Lafayette, exterior tela Orión Antimicrobial con protección UV UPF50 e Interior tela Hydrotech Antibacterial. Repele líquidos evitando el paso del agua y salpicaduras accidentales de fluidos. Con elástico. Clip nasal adicional opcional. No estéril. Talla única. Artículo para uso personal, no se admiten cambios/devoluciones Marca: Sublimación Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/tapabocas-antibacterial-fluidtech-produccion-nacional/9629/426,"['CP-271_1.jpg', 'CP-271_2.jpg', 'CP-271_3.jpg', 'CP-271_4.jpg']"
Atomizador Nano Mist,productos-2021,CP-264,"Vaporizador automático de líquidos de 20ml de capacidad, atomiza de forma constante el líquido que coloca dentro durante 5 minutos aproximadamente (3-4ml por minuto). Batería recargable incorporada de 3.7V/180mAh. Tiempo de carga 1.5h aprox. Solo funciona con líquidos. Dos opciones de Uso: 1. Atomizador de agua mineral para hidratar la piel 2. Dispensador de líquido Antibacterial o desinfectante líquido no corrosivos Medidas: 10 cm x 4 cm x 3 cm Marca: 2.2 cm/ Tampografía, producto con tratamiento  Ver Video Unidades por Caja: 200   Unidades  Empaque: 42,0    X 31,5 X 26,0 / 12,2 Kg",https://www.catalogospromocionales.com/p/atomizador-nano-mist/9525/426,"['CP-264_1.jpg', 'CP-264_2.jpg', 'CP-264_3.jpg', 'CP-264_4.jpg', 'CP-264_5.jpg', 'CP-264_6.jpg']"
Audifonos Bluetooth Headpods Pro Boompods,productos-2021,BP-21,"Audífonos Bluetooth supraurales con tres configuraciones de ecualizador y Tecnología Extra Bass (sistema de bajos extra). Resistente al sudor. Funciona como manos libres. Plegables. Empaque Caja Individual. Sin marca Unidades por Caja: 24   Unidades  Empaque: 60,0    X 35,0 X 44,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-headpods-pro-boompods/9644/426,"['BP-21_1.jpg', 'BP-21_2.jpg', 'BP-21_3.jpg', 'BP-21_4.jpg', 'BP-21_5.jpg', 'BP-21_6.jpg', 'BP-21_7.jpg', 'BP-21_8.jpg']"
Audifonos Bluetooth TWS Bassline Boompods,productos-2021,BP-19,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. A prueba de sudor. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 50,0    X 48,0 X 26,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-bassline-boompods/9642/426,"['BP-19_1.jpg', 'BP-19_2.jpg', 'BP-19_3.jpg', 'BP-19_4.jpg', 'BP-19_5.jpg', 'BP-19_6.jpg', 'BP-19_7.jpg']"
Protector en Silicona para Cepillo de Dientes,productos-2021,CP-268,"Protector para un cepillo de dientes con chupa para superficies lisas. Medidas:6.2 cm x 3 cm Marca:2 cm/Tampografía en Silicona a una tinta Unidades por Caja: 800   Unidades  Empaque: 46,0    X 28,0 X 35,0 / 6,8 Kg",https://www.catalogospromocionales.com/p/Protector-en-Silicona-para-Cepillo-de-Dientes/9529/426,"['CP-268_1.jpg', 'CP-268_2.jpg', 'CP-268_3.jpg']"
Audifonos Bluetooth Boompods Boombuds XR,productos-2021,BP-18,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Resistente a la humedad, tecnología IPX7. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 53,0    X 34,0 X 47,0 / 10,8 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-boompods-boombuds-XR/9641/426,"['BP-18_1.jpg', 'BP-18_2.jpg', 'BP-18_3.jpg', 'BP-18_4.jpg', 'BP-18_5.jpg', 'BP-18_6.jpg']"
