name,category,reference,description,url,img_names
Bolsa En Cambrel Reflectiva,reflectivos,VA-706,"Con bordes reflectivos. Medidas: 41 cm x 32 cm x 16.5 cm Marca: 20 cm / Screen  Unidades por Caja: 200   Unidades  Empaque: 46,0    X 39,0 X 46,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/Bolsa-En-Cambrel-Reflectiva/8199/402,"['VA-706_1.jpg', 'VA-706_2.jpg', 'VA-706_3.jpg', 'VA-706_4.jpg', 'VA-706_5.jpg', 'VA-706_6.jpg', 'VA-706_7.jpg', 'VA-706_8.jpg', 'VA-706_9.jpg']"
Chaleco Reflectivo SOS,reflectivos,VA-299,"Chaleco reflectivo en poliéster. Medidas: 64 cm x 61 cm Marca: 30 cm / Screen Unidades por Caja: 100   Unidades  Empaque: 51,0    X 31,0 X 31,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/chaleco-reflectivo-sos/3608/402,['VA-299_1.jpg']
Llavero pito Maxi,reflectivos,LL-92,"Metálico. Medidas: 6 cm x 1 cm diámetro. Marca: 2 cm / Tampografía con tratamiento / Láser  Venta mínima y en múltiplos de caja de 100 unidades. Unidades por Caja: 1000   Unidades  Empaque: 48,0    X 22,0 X 23,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/Llavero-pito-Maxi/7877/402,"['LL-92_1.jpg', 'LL-92_2.jpg']"
Sporty Bag Emergency OFERTA,reflectivos,PM VA-461,"Tula morral en lona poliéster. Colores fluorescentes y banda reflectiva. Cordón para cargar y cerrar. Medidas: 44 cm x 34 cm Marca: 20 cm / Screen Unidades por Caja: 300   Unidades  Empaque: 56,0    X 40,0 X 39,0 / 17,0 Kg",https://www.catalogospromocionales.com/p/sporty-bag-emergency/5908/402,"['PM VA-461_1.jpg', 'PM VA-461_2.jpg', 'PM VA-461_3.jpg']"
Llavero Linterna COB OFERTA,reflectivos,PM IL-108,"Llavero LED con dos modos de luz: fija e intermitente. Medidas: 6 cm X 3.5 cm X 1.4 cm. Marca: 2.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 25,5    X 23,5 X 30,5 / 6,0 Kg",https://www.catalogospromocionales.com/p/Llavero-Linterna-COB-Oferta/8022/402,['PM IL-108_1.jpg']
Llavero Linterna COB OFERTA,reflectivos,PM IL-108,"Llavero LED con dos modos de luz: fija e intermitente. Medidas: 6 cm X 3.5 cm X 1.4 cm. Marca: 2.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 25,5    X 23,5 X 30,5 / 6,0 Kg",https://www.catalogospromocionales.com/p/Llavero-Linterna-COB-Oferta/8022/402,['PM IL-108_1.jpg']
Banda Luminosa con Leds-OFERTA,reflectivos,PM IL-92,"Banda plástica luminosa con elástico ajustable. 2 leds fijos o intermitentes. Medidas: 18 cm x 3 cm Marca: 4 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 45,5    X 21,5 X 26,0 / 6,5 Kg",https://www.catalogospromocionales.com/p/banda-luminosa-con-leds-OFERTA/6897/402,"['PM IL-92_1.jpg', 'PM IL-92_2.jpg', 'PM IL-92_3.jpg', 'PM IL-92_4.jpg']"
Gorra Emergency,reflectivos,CAP-20,"Gorra de seguridad en microfibra, con cinta reflectiva y 5 o 6 paneles, cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 64,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-emergency/5887/402,"['CAP-20_1.jpg', 'CAP-20_2.jpg', 'CAP-20_3.jpg', 'CAP-20_4.jpg']"
Canguro Reflectivo,reflectivos,VA-658,"Canguro reflectivo en neopreno con bolsillo y soporte para botilito pequeño (no incluye botilito). Medidas: 39 cm x 10 cm Marca: 8 cm / Screen Unidades por Caja: 200   Unidades  Empaque: 55,0    X 45,0 X 40,0 / 13,5 Kg",https://www.catalogospromocionales.com/p/canguro-reflectivo/7844/402,"['VA-658_1.jpg', 'VA-658_2.jpg', 'VA-658_3.jpg', 'VA-658_4.jpg']"
Morral Backpack Reflective,reflectivos,VA-672,"Morral backpack en poliéster reflectivo con dos bolsillos, y dos bolsillos de malla. Medidas: 32 cm x 41 cm x 13 cm Marca: 14 cm Screen / 3,5 cm Láser/ Screen / Láser (Líquido oxidante -verML-332). Unidades por Caja: 20   Unidades  Empaque: 50,0    X 37,0 X 30,0 / 5,8 Kg",https://www.catalogospromocionales.com/p/Morral-Backpack-Reflective/8161/402,"['VA-672_1.jpg', 'VA-672_2.jpg', 'VA-672_3.jpg']"
