name,category,reference,description,url,img_names
Reloj Mondrian Produccion Nacional,relojes,RE-153,"Plástico de pared. 1 pila AA no incluida. Incluye mecanismo. Empaque caja Individual. Medidas: 28 cm x 28 cm Marca: 12 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/reloj-mondrian-cuadrado-produccion-nacional/5252/27,"['RE-153_1.jpg', 'RE-153_2.jpg', 'RE-153_3.jpg', 'RE-153_4.jpg', 'RE-153_5.jpg', 'RE-153_6.jpg', 'RE-153_7.jpg']"
Reloj de pulso digital Mazz Lexon OFERTA,relojes,PM LX-33,"Reloj de pulso dígital en acero y correa de silicona con cierre extendible. Medidas: 3 cm X 6.8 cm Sin Marca Unidades por Caja: 50   Unidades  Empaque: 47,5    X 23,5 X 42,5 / 13,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-digital-mazz-lexon-oferta/5417/27,['PM LX-33_1.jpg']
Reloj Dual(stock telefònicamente),relojes,RE-32,"Reloj de pared. 1 pila AA no incluida. Incluye mecanismo. Empaque caja Individual. Medidas: 25.5 cm diámetro Marca: 12 cm / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/reloj-dual-produccion-nacional/933/27,"['RE-32_1.jpg', 'RE-32_2.jpg', 'RE-32_3.jpg', 'RE-32_4.jpg', 'RE-32_5.jpg', 'RE-32_6.jpg', 'RE-32_7.jpg']"
Reloj de pulso Quartet Lexon OFERTA,relojes,PM LX-34,"Reloj de pulso cuadrado en acero con correa en PU. Medidas: 24.5 cm X 4 cm. Sin Marca.  RESISTENTE AL AGUA Unidades por Caja: 50   Unidades  Empaque: 47,5    X 23,2 X 42,5 / 13,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-quartet-lexon-oferta/5418/27,['PM LX-34_1.jpg']
Reloj de Pulso Deluxe Caballero OFERTA,relojes,PM RE-14C,"Pulso metálico. Medidas: Caballero: 3.5 cm diámetro. Técnica de Marca: Tampografía /. Área de Marca: Caballero: 1 cm. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-deluxe-caballero-oferta/378/27,['PM RE-14C_1.jpg']
Reloj de pulso en Silicona Spring Chrono Lexon OFE,relojes,PM LX-36,"Reloj de pulso en silicona y policarbonato, con cronómetro y fecha. Colores: Azul-Turquesa / Rojo / Gris. Medidas:4 cm de diámetro X 25 cm largo Sin Marca. Unidades por Caja: 50   Unidades  Empaque: 57,0    X 29,0 X 39,2 / 9,6 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-en-silicona-spring-chrono-oferta/5421/27,['PM LX-36_1.jpg']
Reloj de Pared Tempo - Producción Nal (Ver RE-152),relojes,RE-181,"Reloj en poliestireno alto impacto, números en relieve. 1 pila AA no incluida. Incluye mecanismo. Empaque caja Individual blanca. Medidas: 35.7 diámetro Marca: 8 cm / Screen 1 tinta  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  Ver mecanismo y manecillas RE-152 Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-de-Pared-Tempo-Produccion-Nacional/7208/27,"['RE-181_1.jpg', 'RE-181_2.jpg', 'RE-181_3.jpg', 'RE-181_4.jpg', 'RE-181_5.jpg', 'RE-181_6.jpg', 'RE-181_7.jpg']"
Reloj Digital Bandy,relojes,RE-171,"Reloj digital plástico con cierre de iman. Medidas: abierto: 23 cm x 2 cm Marca: 2 cm / Tampografía Unidades por Caja: 300   Unidades  Empaque: 43,0    X 29,0 X 27,0 / 10,5 Kg",https://www.catalogospromocionales.com/p/reloj-digital-bandy/6855/27,"['RE-171_1.jpg', 'RE-171_2.jpg', 'RE-171_3.jpg', 'RE-171_4.jpg']"
Reloj de Pared Wall Metal Clock,relojes,RE-93,"Reloj de pared en aluminio. 1 pila AA no incluida. Incluye mecanismo. Empaque caja Individual. Medidas: 35 cm diámetro Marca: 12 cm / Screen / Láser (Líquido Oxidante). Unidades por Caja: 10   Unidades  Empaque: 37,7    X 37,0 X 58,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pared-wall-metal-clock/2693/27,['RE-93_1.jpg']
Reloj de Pulso Deluxe Caballero OFERTA,relojes,PM RE-14C,"Pulso metálico. Medidas: Caballero: 3.5 cm diámetro. Técnica de Marca: Tampografía /. Área de Marca: Caballero: 1 cm. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-deluxe-caballero-oferta/378/27,['PM RE-14C_1.jpg']
Reloj de pulso Quartet Lexon OFERTA,relojes,PM LX-34,"Reloj de pulso cuadrado en acero con correa en PU. Medidas: 24.5 cm X 4 cm. Sin Marca.  RESISTENTE AL AGUA Unidades por Caja: 50   Unidades  Empaque: 47,5    X 23,2 X 42,5 / 13,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-quartet-lexon-oferta/5418/27,['PM LX-34_1.jpg']
Reloj Portabolígrafo 4 en 1,relojes,OF-384,"Reloj portabolígrafo, calendario, temperatura, taco de papel. No incluye lápices. Empaque caja Individual. Medidas: Portabolígrafo: 14.5 cm x 6 cm.  Base: 10 cm x 16 cm Marca: Portabolígrafo: 1.7 cm / Base: 3 cm / Tampografía Unidades por Caja: 50   Unidades  Empaque: 57,0    X 40,0 X 35,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/reloj-portaboligrafo-4-en-1/6169/27,"['OF-384_1.jpg', 'OF-384_2.jpg', 'OF-384_3.jpg']"
Mecanismo para Reloj Análogo con manecillas,relojes,RE-152,"Nota: Los mecanismos para el RELOJ DE PARED TEMPO RE-181 y RELOJ QUINCY RE-186 no incluyen las manecillas negras de RE-152, debe incluir las manecillas y gancho que aplican para cada referencia.  Ver RE-181  Ver RE-186  Unidades por Caja: 500   Unidades  Empaque: 36,0    X 40,0 X 39,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/mecanismo-para-reloj-analogo-con-manecillas/5056/27,"['RE-152_1.jpg', 'RE-152_2.jpg', 'RE-152_3.jpg']"
Reloj de Pared Rudy,relojes,RE-172,"Reloj plástico de pared y/o de mesa, con tablero personalizable, incluye base para sostener. Funciona con 1 pila AA (no incluida). Incluye mecanismo. Empaque caja Individual. Medidas: 4 cm x 20 cm diámetro Marca: 17.2 cm diámetro en el tablero / Litografía   Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.   Unidades por Caja: 24   Unidades  Empaque: 56,7    X 22,5 X 43,5 / 9,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pared-rudy/6856/27,"['RE-172_1.jpg', 'RE-172_2.jpg', 'RE-172_3.jpg']"
Reloj de pulso en Silicona Spring Chrono Lexon OFE,relojes,PM LX-36,"Reloj de pulso en silicona y policarbonato, con cronómetro y fecha. Colores: Azul-Turquesa / Rojo / Gris. Medidas:4 cm de diámetro X 25 cm largo Sin Marca. Unidades por Caja: 50   Unidades  Empaque: 57,0    X 29,0 X 39,2 / 9,6 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-en-silicona-spring-chrono-oferta/5421/27,['PM LX-36_1.jpg']
Reloj de pulso digital Mazz Lexon OFERTA,relojes,PM LX-33,"Reloj de pulso dígital en acero y correa de silicona con cierre extendible. Medidas: 3 cm X 6.8 cm Sin Marca Unidades por Caja: 50   Unidades  Empaque: 47,5    X 23,5 X 42,5 / 13,0 Kg",https://www.catalogospromocionales.com/p/reloj-de-pulso-digital-mazz-lexon-oferta/5417/27,['PM LX-33_1.jpg']
Reloj Portaboligrafo Crystal,relojes,OF-483,"Reloj portabolígrafo plástico digital. Empaque Caja Individual. Medidas: 9.5 cm x 11.5 cm x 5.3 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 50   Unidades  Empaque: 56,0    X 32,0 X 28,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/Reloj-Portaboligrafo-Crystal/8082/27,['OF-483_1.jpg']
Reloj Quincy - Produccion Nacional (Ver RE-152),relojes,RE-186,"Reloj plástico con portaretrato. Incluye mecanismo. Mecanismo y manecillas importadas. Medidas: 11.5 cm x 19.5 cm Marca: 5 cm / Tampografía  Ver mecanismo y manecillas RE-152 Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/reloj-quincy-produccion-nacional/7628/27,"['RE-186_1.jpg', 'RE-186_2.jpg', 'RE-186_3.jpg', 'RE-186_4.jpg', 'RE-186_5.jpg', 'RE-186_6.jpg', 'RE-186_7.jpg']"
Reloj Digital Glow,relojes,RE-194,"Reloj digital en silicona y metal. Medidas:Abierto: 25.4 cm x 3.6 cm Marca:1.5 cm/Tampografía en Silicona a una tinta Unidades por Caja: 200   Unidades  Empaque: 42,5    X 47,0 X 38,5 / 11,5 Kg",https://www.catalogospromocionales.com/p/reloj-digital-glow/9074/27,"['RE-194_1.jpg', 'RE-194_2.jpg']"
Reloj Digital Jackson,relojes,RE-195,"Reloj digital en silicona. Medidas:Circunferencia: 19 cm x 2 cm Marca:2 cm/Tampografía en Silicona, , producto con tratamiento Unidades por Caja: 500   Unidades  Empaque: 35,0    X 23,0 X 26,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/reloj-digital-jackson/9075/27,"['RE-195_1.jpg', 'RE-195_2.jpg', 'RE-195_3.jpg', 'RE-195_4.jpg', 'RE-195_5.jpg']"
Reloj De Pared Woody,relojes,RE-187,"Reloj de madera con tablero en lona. Empaque caja Individual. Medidas: 3 cm x 29.5 cm diámetro Marca: 5.5 cm / Láser Unidades por Caja: 10   Unidades  Empaque: 65,0    X 33,5 X 33,5 / 7,3 Kg",https://www.catalogospromocionales.com/p/Reloj-De-Pared-Woody/8092/27,['RE-187_1.jpg']
Reloj Inteligente Step,relojes,CP-266,"Reloj inteligente con medición de frecuencia cardíaca, presión arterial, modo multideporte.Pantalla táctil de 1.3”. Recordatorio de mensajes, recordatorio de sedentarismo, monitor de sueño. Para sistemas operativos: IOS 9.0 y superior, Android5.0 y superior. Bluetooth: 4.0 Capacidad de la batería: 100 mAh Tamaño del reloj: 11.4x36.4x42mm / Peso: 77g. Empaque caja individual. Sin Marca Los resultados de la medición de este producto son solo de referencia, no para ningún propósito ni base médica. Por favor siga las instrucciones del médico y no use los resultados de la medición para el autodiagnóstico y el tratamiento. Unidades por Caja: 100   Unidades  Empaque: 44,5    X 34,0 X 28,5 / 7,0 Kg",https://www.catalogospromocionales.com/p/Reloj-Inteligente-Step/9527/27,"['CP-266_1.jpg', 'CP-266_2.jpg', 'CP-266_3.jpg']"
Reloj de Mesa Orbis,relojes,RE-191,"Reloj de mesa en madera y plástico impreso. Pintura en laca catalizada. Empaque caja individual. Medidas: 10 cm x 11 cm x 4,5 cm Marca: 5 cm / Láser  Nota importante: Este es un producto elaborado a mano, si no hay disponibilidad en stock la entrega de su pedido será de 40 días calendario aproximadamente después de enviada la orden de compra   Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-de-Mesa-Orbis-produccion-nacional/8744/27,['RE-191_1.jpg']
Reloj de Pared Cosmos - Produccion Nacional,relojes,RE-190,"En madera. 1 pila AA (no incluida). Incluye mecanismo. Medidas: 34.8 cm diámetro. Marca: 4 cm / Láser  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  Ver Manecillas plata y gancho en RE-181 y Manecillas Negras (para reloj blanco) en RE-152 Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-de-Pared-Cosmos-Produccion-Nacional/8232/27,"['RE-190_1.jpg', 'RE-190_2.jpg', 'RE-190_3.jpg', 'RE-190_4.jpg', 'RE-190_5.jpg']"
Reloj Arena Pequeño- Produccion Nacional,relojes,HO-239,"Elaborado en MDF, con pintura catalizada, incluye reloj de arena. Nota importante: Este es un producto elaborado a mano, si no hay disponibilidad en stock la entrega de su pedido será de 40 días calendario aproximadamente después de enviada la orden de compra. Empaque Caja Individual. Medidas: 11.5 cm x 11.5 cm x 3 cm Marca: 4,5 cm / Tampografía / Láser  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-Arena-Pequeno-Produccion-Nacional/7414/27,['HO-239_1.jpg']
Reloj de Pared Tremont - Produccion Nacional,relojes,RE-193,"Reloj en poliestireno alto impacto, 1 pila AA (no incluida). Incluye mecanismo. Empaque Caja Individual. Medidas: 25 cm diámetro Marca: 4 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  Ver Mecanismo y manecillas RE-152 Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Reloj-de-Pared-Tremont-Producción-Nacional/8743/27,"['RE-193_1.jpg', 'RE-193_2.jpg', 'RE-193_3.jpg', 'RE-193_4.jpg', 'RE-193_5.jpg', 'RE-193_6.jpg']"
