name,category,reference,description,url,img_names
Vaso Plástico New York 20 oz,sanitized,MU-204M,"Polipropileno. Con tapa. La tapa es una tapa protectora de cierre a presión, no es tapa de seguridad. Medidas: 18.8 cm x 6.4 cm diámetro Marca: 5.5 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación**  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/vaso-plastico-new-york-20-oz-produccion-nacional/8735/432,"['MU-204M_1.jpg', 'MU-204M_2.jpg', 'MU-204M_3.jpg', 'MU-204M_4.jpg', 'MU-204M_5.jpg', 'MU-204M_6.jpg', 'MU-204M_7.jpg', 'MU-204M_8.jpg']"
Mug plastico Shaker 14oz - Producción Nacional,sanitized,MU-93V,"Mug-mezclador plástico en polipropileno con tapa pestaña. Compatible con bola mezcladora en acero inoxidable MU-88. Medidas: 16.5 cm x 9.5 cm diámetro superior Marca: 3.5 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación**  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/mug-plastico-shaker-14oz-produccion-nacional/6809/432,"['MU-93V_1.jpg', 'MU-93V_2.jpg', 'MU-93V_3.jpg', 'MU-93V_4.jpg', 'MU-93V_5.jpg', 'MU-93V_6.jpg', 'MU-93V_7.jpg', 'MU-93V_8.jpg']"
Sanduchera Plástica - Producción Nacional,sanitized,HO-259,"Sanduchera plástica en polipropileno. Medidas: 14 cm x 13 cm x 5 cm Marca: 5 cm / Tampografía  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Sanduchera-Plastica-Produccion-Nacional/8018/432,"['HO-259_1.jpg', 'HO-259_2.jpg', 'HO-259_3.jpg', 'HO-259_4.jpg', 'HO-259_5.jpg', 'HO-259_6.jpg', 'HO-259_7.jpg']"
Set de Cubiertos Lunch-Produccion Nacional,sanitized,HO-306,"En plástico, incluye cuchara, tenedor y cuchillo. Se vende por set. Opcional solo polipropileno o con material ecológico de fibra de trigo. Mezcla con material ecológico en fibra de trigo (50%-60% aprox). El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Medidas:14.5 cm x 2.5 cm Marca: 2.5 cm / Tampografía  Opcional estuche Multiusos Space VA-936 (Costo Adicional), Ver Aquí  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Set-de-Cubiertos-Lunch-Produccion-Nacional/9617/432,"['HO-306_1.jpg', 'HO-306_2.jpg', 'HO-306_3.jpg', 'HO-306_4.jpg', 'HO-306_5.jpg']"
Mug Plastico Newport 480ml - Produccion Nacional,sanitized,MU-239,"Mug plástico en polipropileno producción nacional. Opcional solo polipropileno o con material ecológico de fibra de trigo. Mezcla con material ecológico en fibra de trigo (50%-60% aprox). El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Tapa en silicona importada. La tapa es una tapa protectora de cierre a presión, no es tapa de seguridad. Medidas:13.5 cm x 8.2 cm diámetro Marca: 4 cm / Tampografía, producto con tratamiento  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/mug-plastico-newport-480ml---produccion-nacional/9030/432,"['MU-239_1.jpg', 'MU-239_2.jpg', 'MU-239_3.jpg', 'MU-239_4.jpg', 'MU-239_5.jpg', 'MU-239_6.jpg', 'MU-239_7.jpg', 'MU-239_8.jpg', 'MU-239_9.jpg']"
Vaso Doble Pared de Seguridad 450ml -Prod Nacional,sanitized,MU-257,"Vaso doble pared en polipropileno, con tapa de seguridad. Se coloca la publicidad impresa dentro. Opcional Tapa Pestaña o Tapa Pitillo. Vaso siempre blanco, tapa pestaña en colores sólidos, pitillo siempre transparente. Medidas: 18 cm x 9.5 cm diámetro Marca: 4.5 cm / Tampografía / 15 cm x 26 cm / Litografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Vaso-Doble-Pared-de-Seguridad-450ml-Prod-Nacional/9618/432,"['MU-257_1.jpg', 'MU-257_2.jpg', 'MU-257_3.jpg', 'MU-257_4.jpg', 'MU-257_5.jpg', 'MU-257_6.jpg', 'MU-257_7.jpg']"
Vaso Plástico New York 23 oz,sanitized,MU-204,"Polipropileno. Con tapa. La tapa es una tapa protectora de cierre a presión, no es tapa de seguridad. Medidas: 17.1 cm x 6.6 cm diámetro Marca: 5.5 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega.  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación**  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/vaso-plastico-new-york-23-oz-produccion-nacional/8714/432,"['MU-204_1.jpg', 'MU-204_2.jpg', 'MU-204_3.jpg', 'MU-204_4.jpg', 'MU-204_5.jpg', 'MU-204_6.jpg', 'MU-204_7.jpg', 'MU-204_8.jpg']"
Vaso con Pitillo 14 OZ(stock telefònicamente),sanitized,VA-222,"Vaso en Polipropileno. Tapa en Polietileno de baja. Capacidad 14 Oz. Medidas: 14.5 cm x 8 cm diámetro Marca: 5 cm / Tampografía  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/vaso-con-pitillo-produccion-nacional/2870/432,"['VA-222_1.jpg', 'VA-222_2.jpg', 'VA-222_3.jpg', 'VA-222_4.jpg', 'VA-222_5.jpg']"
Mug Plastico Orbit 12oz - Producción Nacional,sanitized,MU-62V,"Vaso blanco en polipropileno o vaso natural polipropileno y mezcla con material ecológico en fibrade trigo (50%-60% aprox). El porcentaje de material ecológico tiene un promedio de biodegradabilidad de 2-3 años después del fin de su vida útil. Opcional: Tapa de silicona y tapa en polipropileno con pestaña giratoria de producción nacional. La tapa es para protección, no es de seguridad. Medidas: 10.8 cm x 8.5 cm diámetro Marca: 5 cm / Screen / Tampografía en vaso / Tampografía en silicona a una tinta en el aro de silicona  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación**  Ver: MU-62P Pestaña Plástica MU-62TP Tapa Plástica MU-62AS Aro Silicona MU-62TS Tapa Silicona Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/mug-plastico-orbit-12oz-produccion-nacional/5889/432,"['MU-62V_1.jpg', 'MU-62V_2.jpg', 'MU-62V_3.jpg', 'MU-62V_4.jpg', 'MU-62V_5.jpg', 'MU-62V_6.jpg', 'MU-62V_7.jpg', 'MU-62V_8.jpg', 'MU-62V_9.jpg', 'MU-62V_10.jpg', 'MU-62V_11.jpg', 'MU-62V_12.jpg', 'MU-62V_13.jpg', 'MU-62V_14.jpg', 'MU-62V_15.jpg', 'MU-62V_16.jpg', 'MU-62V_17.jpg']"
Vaso Tapa Plástico 14 oz - Producción Nacional,sanitized,VA-223,"Polipropileno. Tapa en Polietileno de baja. Capacidad de 14 Oz. Consulte stock telefónicamente. Medidas: 14.5 cm x 8 cm diámetro Marca: 4 cm / Tampografía  **Para el material en polipropileno+fibra de trigo puede haber variación en el tono de los colores debido a la reacción del tipo de material y los colorantes usados en la fabricación** Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/vaso-tapa-plastico-14-oz-produccion-nacional/2871/432,"['VA-223_1.jpg', 'VA-223_2.jpg', 'VA-223_3.jpg', 'VA-223_4.jpg', 'VA-223_5.jpg', 'VA-223_6.jpg']"
