name,category,reference,description,url,img_names
Speaker Bluetooth Waterproof,tecnologia,TE-36,"Speaker Bluetooth en caucho con chupa, resistente al agua, 3W. Tiempo de carga de 2 a 3 horas y tiempo de funcionamiento de 1.1/2 a 2 horas. Empaque Caja Individual. Medidas: 5 cm x 8.7 cm diámetro Marca: 2 cm / Tampografía, producto con tratamiento Unidades por Caja: 50   Unidades  Empaque: 45,0    X 31,0 X 20,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/speaker-bluetooth-waterproof/6210/112,"['TE-36_1.jpg', 'TE-36_2.jpg', 'TE-36_3.jpg', 'TE-36_4.jpg', 'TE-36_5.jpg', 'TE-36_6.jpg', 'TE-36_7.jpg', 'TE-36_8.jpg', 'TE-36_9.jpg', 'TE-36_10.jpg']"
Base para Tabletas Chef-OFERTA,tecnologia,PM TE-43,"Base metálica para tableta, con stylus. Ideal para utilizar su tableta en la cocina sin ensuciarla. Medidas: 3 cm x 12 cm díametro. Marca: 3 cm x 1 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 31,0    X 30,0 X 25,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/base-para-tabletas-chef - OFERTA/6216/112,"['PM TE-43_1.jpg', 'PM TE-43_2.jpg', 'PM TE-43_3.jpg', 'PM TE-43_4.jpg', 'PM TE-43_5.jpg', 'PM TE-43_6.jpg']"
Memoria USB Carabinero 2 en 1,tecnologia,US-39,"USB metálica giratoria, con micro usb para tablets y/o móviles tipo Android. Medidas: 5 cm x 1.3 cm Marca: 2 cm / Láser Capacidad: 8 GB  Nota Importante Se recomienda buscar en las especificaciones de su dispositivo móvil, en los ajustes y en el manual de uso que puede descargarse para cada marca y modelo, si su dispositivo es compatible con OTG y como activar la conexión. No todos los móviles y/o sistemas operativos son compatibles con este sistema. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/memoria-usb-carabinero-2-en-1/7030/112,"['US-39_1.jpg', 'US-39_2.jpg', 'US-39_3.jpg', 'US-39_4.jpg']"
Audifonos Boom,tecnologia,TE-20,"Con estuche plástico y siliconas de reemplazo. Cable de 120 cm. Empaque Estuche Individual. Medidas: 7 cm x 7 cm Marca: 4 cm / Tampografía en el estuche Unidades por Caja: 500   Unidades  Empaque: 39,0    X 30,0 X 49,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/audifonos-boom/5657/112,"['TE-20_1.jpg', 'TE-20_2.jpg', 'TE-20_3.jpg', 'TE-20_4.jpg', 'TE-20_5.jpg', 'TE-20_6.jpg', 'TE-20_7.jpg', 'TE-20_8.jpg', 'TE-20_9.jpg']"
Pila Recargable Walox,tecnologia,TE-18,"Pila recargable de 2200 mAh que permite cargar teléfonos móviles y MP3. Alimentación de energía mediante puerto USB, el indicador cambia de color una vez cargado. Incluye un cable estándar micro USB. Empaque Caja Individual. Medidas: 2.5 cm x 9 cm Marca: 5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 38,0    X 28,0 X 20,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/pila-recargable-walox/5655/112,"['TE-18_1.jpg', 'TE-18_2.jpg', 'TE-18_3.jpg', 'TE-18_4.jpg', 'TE-18_5.jpg']"
Audifonos Kemet-OFERTA,tecnologia,PM TE-82,"Audífonos plásticos con conexión jack 3.5 mm. Medidas: Medidas Auricular: 2 cm x 1.5 cm Medidas Cable: 115 cm longitud. Marca: 1 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 28,0    X 34,0 X 58,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/audifonos-kemet-OFERTA/6646/112,"['PM TE-82_1.jpg', 'PM TE-82_2.jpg', 'PM TE-82_3.jpg', 'PM TE-82_4.jpg', 'PM TE-82_5.jpg', 'PM TE-82_6.jpg']"
Organizador de Cables Oval - Producción Nacional,tecnologia,TE-47,"Organizador de cables plástico. Medidas: 4 cm x 6.5 cm Marca: 1.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/organizador-de-cables-oval-produccion-nacional/6220/112,"['TE-47_1.jpg', 'TE-47_2.jpg', 'TE-47_3.jpg', 'TE-47_4.jpg', 'TE-47_5.jpg', 'TE-47_6.jpg', 'TE-47_7.jpg', 'TE-47_8.jpg']"
Base para Tabletas Chef-OFERTA,tecnologia,PM TE-43,"Base metálica para tableta, con stylus. Ideal para utilizar su tableta en la cocina sin ensuciarla. Medidas: 3 cm x 12 cm díametro. Marca: 3 cm x 1 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 31,0    X 30,0 X 25,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/base-para-tabletas-chef - OFERTA/6216/112,"['PM TE-43_1.jpg', 'PM TE-43_2.jpg', 'PM TE-43_3.jpg', 'PM TE-43_4.jpg', 'PM TE-43_5.jpg', 'PM TE-43_6.jpg']"
Puerto USB Edon,tecnologia,TE-31,"Puerto USB de 4 salidas. Empaque Caja Individual. Medidas: 5.2 cm x 4.1 cm x 1 cm Marca: 3 cm x 1 cm / Tampografía Unidades por Caja: 500   Unidades  Empaque: 37,0    X 31,0 X 18,5 / 10,0 Kg",https://www.catalogospromocionales.com/p/puerto-usb-edon/6053/112,"['TE-31_1.jpg', 'TE-31_2.jpg', 'TE-31_3.jpg', 'TE-31_4.jpg', 'TE-31_5.jpg']"
Pila Recargable HIT II 2200 mAh,tecnologia,TE-21-1,"Pila recargable de 2200 mAh para teléfonos móviles y MP3. Con alimentación de energía mediante puerto USB, el indicador cambia de color y se apaga una vez cargado. Incluye un cable estándar micro USB. Empaque Caja Individual. Medidas: 9.8 cm x 2.5 cm x 2.3 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 38,0    X 28,0 X 20,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/pila-recargable-hit-ii-2200-mah/7235/112,"['TE-21-1_1.jpg', 'TE-21-1_2.jpg', 'TE-21-1_3.jpg', 'TE-21-1_4.jpg', 'TE-21-1_5.jpg', 'TE-21-1_6.jpg']"
