name,category,reference,description,url,img_names
Liquido Limpiador Pantallas Card 20ml,teletrabajo,CP-194,"Líquido limpiador importado, en frasco plástico spray, con microfibra. Capacidad: 20 ml. Registro Invima. Medidas: 5.5 cm x 8.5 cm x 3 cm Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 38,0    X 32,5 X 21,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/Liquido-Limpiador-Pantallas-Card-20ml/7961/422,"['CP-194_1.jpg', 'CP-194_2.jpg', 'CP-194_3.jpg', 'CP-194_4.jpg', 'CP-194_5.jpg', 'CP-194_6.jpg']"
Flexy Grip OFERTA,teletrabajo,PM CP-199,"Fabricado en caucho de alta resistencia. Presión máxima 40lb. Medidas: 7 cm diámetro Marca: 2.5 cm / Tampografía en silicona a una tinta Unidades por Caja: 300   Unidades  Empaque: 53,0    X 23,0 X 29,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/flexy-grip-oferta/8164/422,['PM CP-199_1.jpg']
Flexy Grip OFERTA,teletrabajo,PM CP-199,"Fabricado en caucho de alta resistencia. Presión máxima 40lb. Medidas: 7 cm diámetro Marca: 2.5 cm / Tampografía en silicona a una tinta Unidades por Caja: 300   Unidades  Empaque: 53,0    X 23,0 X 29,0 / 16,0 Kg",https://www.catalogospromocionales.com/p/flexy-grip-oferta/8164/422,['PM CP-199_1.jpg']
Calculadora Executive - 12 Dígitos,teletrabajo,CA-120,"Calculadora en plástico 12 dígitos. Empaque caja Individual. Medidas: 15.8 cm x 11.9 cm Marca: 4 cm / Tampografía - Producto complejo Unidades por Caja: 100   Unidades  Empaque: 64,0    X 41,0 X 34,0 / 17,8 Kg",https://www.catalogospromocionales.com/p/calculadora-executive-12-digitos/4335/422,['CA-120_1.jpg']
Gel Antibacterial 300ml,teletrabajo,CP-210,"Gel antibacterial en botella plástica con dispensador 300ml (Alcohol 62%). Importado. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 14 cm x 6,5 cm x 6,5 cm Marca: 3,5 cm / Tampografía / Etiqueta Unidades por Caja: 25   Unidades  Empaque: 15,5    X 34,0 X 34,0 / 9,2 Kg",https://www.catalogospromocionales.com/p/Gel-Antibacterial-300ml/8548/422,"['CP-210_1.jpg', 'CP-210_2.jpg']"
Liquido Antibacterial Pump Spray 10ml-ProdNacional,teletrabajo,CP-127-1,"Antibacterial líquido de producción nacional en envase plástico importado (Alcohol 70%). Capacidad de 10 ml. Registro Invima. Medidas: 13.5 cm x 1.5 de diámetro Marca: 3 cm / Tampografía (Producto con tratamiento) Unidades por Caja: 500   Unidades  Empaque: 53,0    X 29,0 X 18,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Liquido-Antibacterial-Pump-Spray-10ml-Produccion-nacional/9619/422,"['CP-127-1_1.jpg', 'CP-127-1_2.jpg', 'CP-127-1_3.jpg', 'CP-127-1_4.jpg', 'CP-127-1_5.jpg', 'CP-127-1_6.jpg']"
BOLIGRAFO MASAJEADOR,teletrabajo,BOL-MASAJ,"Bolígrafo plástico con mini masajeador en silicona. Tinta roja, verde, negra, azul. Mecanismo push. Medidas:17.5 cm Marca:2 cm/Tampografía Unidades por Caja: 1000   Unidades  Empaque: 65,0    X 41,0 X 28,0 / 17,5 Kg",https://www.catalogospromocionales.com/p/boligrafo-masajeador/9285/422,"['BOL-MASAJ_1.jpg', 'BOL-MASAJ_2.jpg', 'BOL-MASAJ_3.jpg']"
Gel Antibacterial Transparente-Producción Nacional,teletrabajo,CP-242,"Gel Antibacterial de producción nacional (Alcohol 70%). Formula con Aloe Vera y Glicerina. Disponible en 60ml(frasco tipo bala con tapa blanca o colapsible con caucho CP-262 adicional) 120ml (con tapa) 300ml (con tapa) 500ml (con válvula dispensadora) 1000ml (con válvula dispensadora) 4000ml (Galón con tapa). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 60ml: 11.5 cm X 5.2 cm 120ml: 14 cm X 3.8 cm diámetro 300ml: 16 cm X 6.2 cm X 4.7 cm 500ml: 18.5 cm X 7.5 cm X 5.5 cm 1000ml: 23.5 cm X 9.3 cm X 7.5 cm 4000ml: 24 cm X 19 cm X 13 cm Marca: 5 cm / Tampografía(producto con tratamiento)– Litografía (Cotización especial) Marca 4000ml: Sin marca  Funda en Silicona para 60ml CP-262: Inventario aquí  Gel 30ml Producción Nacional Ver aquí CP-126  Nuevo! Kit de Bioseguridad Personal - Produccion Nacional CP-265: Clic Aquí  Ficha Técnica Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-transparente-produccion-nacional/9452/422,"['CP-242_1.jpg', 'CP-242_2.jpg', 'CP-242_3.jpg', 'CP-242_4.jpg', 'CP-242_5.jpg', 'CP-242_6.jpg', 'CP-242_7.jpg', 'CP-242_8.jpg', 'CP-242_9.jpg']"
Gel antibacterial con dispensador 60ml,teletrabajo,CP-110-1,"Gel antibacterial de producción nacional en botella plástica importada con dispensador 60ml (Alcohol 70%). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 4.8 cm x 12.4 cm x 2.5 cm Marca: 2.5 cm / Tampografía - Producto complejo / Etiqueta Unidades por Caja: 200   Unidades  Empaque: 49,0    X 31,0 X 26,5 / 15,5 Kg",https://www.catalogospromocionales.com/p/Gel-antibacterial-con-dispensador-60ml/7831/422,['CP-110-1_1.jpg']
Gel Antibacterial Moss 30ml,teletrabajo,CP-126,"Gel antibacterial importado en frasco plástico (Alcohol 62%). Capacidad 30 ml. Formula mejorada con Aloe Vera. Adicional: funda en silicona. Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones.  Opcional nueva banda en silicona Ver aquí: CP-213. Medidas: 7.8 cm x 3.4 cm Marca: 3.5 cm / Tampografía (producto con tratamiento)  Unidades por Caja: 300   Unidades  Empaque: 36,5    X 24,0 X 28,5 / 10,5 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-moss-30ml/6025/422,"['CP-126_1.jpg', 'CP-126_2.jpg', 'CP-126_3.jpg', 'CP-126_4.jpg', 'CP-126_5.jpg', 'CP-126_6.jpg', 'CP-126_7.jpg', 'CP-126_8.jpg', 'CP-126_9.jpg']"
