name,category,reference,description,url,img_names
Alcancía Cerámica para Sublimación OFERTA,variedades,PM VA-405,"Cerámica con tapón en la parte inferior. Medidas: 9.5 cm x 8 cm diámetro Unidades por Caja: 36   Unidades  Empaque: 57,0    X 29,0 X 23,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/alcancia-ceramica-para-sublimacion/5272/28,"['PM VA-405_1.jpg', 'PM VA-405_2.jpg']"
Alcancia Piggy (stock telefònicamente),variedades,VA-221,"En plástico transparente. Medidas: 10 cm x 12 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-piggy-produccion-nacional/2868/28,"['VA-221_1.jpg', 'VA-221_2.jpg', 'VA-221_3.jpg', 'VA-221_4.jpg', 'VA-221_5.jpg', 'VA-221_6.jpg']"
Monedero Betty,variedades,VA-514,"Monedero en P.V.C. metalizado con cierre de cremallera Medidas: 7.5 cm alto x 10.5 cm ancho. Marca: 3,5 cm x 1.5 cm / screen Unidades por Caja: 1000   Unidades  Empaque: 35,0    X 35,0 X 65,0 / 12,5 Kg",https://www.catalogospromocionales.com/p/monedero-betty/6271/28,"['VA-514_1.jpg', 'VA-514_2.jpg', 'VA-514_3.jpg', 'VA-514_4.jpg']"
Alcancia Mini Cerdito Cristal- Producción Nacional,variedades,VA-464,"En cristal con forma de cerdito. Medidas: 11.5 cm x 8 cm Marca: 3.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-mini-cerdito-cristal-produccion-nacional/6032/28,"['VA-464_1.jpg', 'VA-464_2.jpg', 'VA-464_3.jpg', 'VA-464_4.jpg', 'VA-464_5.jpg', 'VA-464_6.jpg', 'VA-464_7.jpg']"
Mini Monedero en Silicona,variedades,VA-484,"Monedero en silicona flexible. Medidas: 9.5 cm x 10 cm Marca: 3 cm / Tampografía en silicona a una tinta Unidades por Caja: 240   Unidades  Empaque: 45,0    X 40,0 X 27,6 / 12,5 Kg",https://www.catalogospromocionales.com/p/mini-monedero-en-silicona/6241/28,"['VA-484_1.jpg', 'VA-484_2.jpg', 'VA-484_3.jpg', 'VA-484_4.jpg', 'VA-484_5.jpg', 'VA-484_6.jpg', 'VA-484_7.jpg', 'VA-484_8.jpg', 'VA-484_9.jpg']"
Alcancia Cerdito,variedades,VA-427,"Polietileno de alta densidad con forma de cerdito. Medidas: 11.5 cm x 11.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-cerdito-produccion-nacional/5412/28,['VA-427_1.jpg']
Alcancia Balón - Producción Nacional,variedades,VA-446,"Polietileno de alta para soplado. Medidas: 13 cm x 8 cm diámetro Marca: 5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-balon-produccion-nacional/5687/28,"['VA-446_1.jpg', 'VA-446_2.jpg', 'VA-446_3.jpg', 'VA-446_4.jpg', 'VA-446_5.jpg', 'VA-446_6.jpg']"
Mini Monedero en PVC - Producción Nacional,variedades,VA-479,"En P.V.C. con acabado brillante, cierre de broche metálico. Medidas: 8.2 cm alto x 6.8 cm ancho Marca: 2,5 cm x 1.5 cm / Tampografía / Screen Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/mini-monedero-en-pvc-produccion-nacional/6237/28,"['VA-479_1.jpg', 'VA-479_2.jpg', 'VA-479_3.jpg', 'VA-479_4.jpg', 'VA-479_5.jpg']"
Ventilador USB Handy,variedades,VA-600,"Ventilador USB flexible de 2 aspas. Funciona con pilas recargables (Powerbank) y productos con entrada USB. Medidas: 14.5 cm x 9 cm Marca: 3 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 38,0    X 23,0 X 26,0 / 5,0 Kg",https://www.catalogospromocionales.com/p/ventilador-usb-handy/7214/28,"['VA-600_1.jpg', 'VA-600_2.jpg', 'VA-600_3.jpg', 'VA-600_4.jpg', 'VA-600_5.jpg']"
Alcancia Hippo,variedades,VA-463,"Alcancia en PVC con forma de hipopótamo. Medidas: 14.5 cm x 9.5 cm Marca: 5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 49,0    X 46,0 X 59,0 / 11,5 Kg",https://www.catalogospromocionales.com/p/alcancia-hippo/5910/28,"['VA-463_1.jpg', 'VA-463_2.jpg', 'VA-463_3.jpg', 'VA-463_4.jpg', 'VA-463_5.jpg', 'VA-463_6.jpg']"
Alcancia Mini Piggy,variedades,VA-398,"Alcancia en PVC con forma de cerdito. Medidas: 10 cm x 8 cm x 7 cm Marca: 5 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 43,0    X 43,0 X 40,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/alcancia-mini-piggy/5134/28,"['VA-398_1.jpg', 'VA-398_2.jpg', 'VA-398_3.jpg', 'VA-398_4.jpg', 'VA-398_5.jpg', 'VA-398_6.jpg', 'VA-398_7.jpg', 'VA-398_8.jpg', 'VA-398_9.jpg', 'VA-398_10.jpg', 'VA-398_11.jpg']"
Alcancía Estrella 13.5cm (Stock telefònicamente),variedades,VA-125,"En cristal con forma de estrella Medidas: 13.5 cm x 13 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/alcancia-estrella-13-5cm-produccion-nacional/2390/28,"['VA-125_1.jpg', 'VA-125_2.jpg', 'VA-125_3.jpg', 'VA-125_4.jpg', 'VA-125_5.jpg']"
