name,category,reference,description,url,img_names
Morral City Backpack Trolley,xindao,VA-511,"Morral tipo trolley en microfibra, para portátil de 14”. Compartimento principal con cierre de cremallera y bolsillo frontal con organizador. Medidas: 47 cm x 31 cm x 17 cm Marca: 15 cm / Screen Unidades por Caja: 4   Unidades  Empaque: 50,0    X 34,0 X 50,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/morral-city-backpack-trolley/6268/75,"['VA-511_1.jpg', 'VA-511_2.jpg']"
Termo Bopp 600ml OFERTA,xindao,PM MU-30,"En acero. Doble pared, cierre de botón a presión. Empaque Caja Individual. Medidas: 24.5 cm x 8 cm diámetro Marca: 4 cm / Tampografía / Láser Unidades por Caja: 30   Unidades  Empaque: 58,0    X 47,0 X 29,0 / 16,5 Kg",https://www.catalogospromocionales.com/p/termo-bopp-600ml-oferta/4890/75,"['PM MU-30_1.jpg', 'PM MU-30_2.jpg', 'PM MU-30_3.jpg']"
Organizador de Viaje City,xindao,VA-592,"En microfibra, con 6 compartimentos y bolsillo externo. Incluye gancho para colgar. Medidas: 23 cm x 28 cm x 7,5 cm Marca: 7 cm / Screen Unidades por Caja: 40   Unidades  Empaque: 52,0    X 31,5 X 36,0 / 10,2 Kg",https://www.catalogospromocionales.com/p/organizador-de-viaje-city/6944/75,"['VA-592_1.jpg', 'VA-592_2.jpg']"
Organizador de Viaje Florida,xindao,VA-508,"Organizador de viaje en poliéster 600D Ribstop. Compartimento principal con cierre de cremallera, bolsillo en malla y gancho metálico para colgar. Medidas: 27 cm x 15,5 cm x 14,5 cm Marca: 6 cm / Screen Unidades por Caja: 60   Unidades  Empaque: 45,0    X 33,0 X 44,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/organizador-de-viaje-florida/6265/75,"['VA-508_1.jpg', 'VA-508_2.jpg', 'VA-508_3.jpg', 'VA-508_4.jpg', 'VA-508_5.jpg']"
Maletin Trolley Florida Weekend,xindao,VA-396,"Elaborado en poliéster 600D Ribstop. Con compartimento principal, amplio compartimento frontal, bolsillo frontal con cremallera, organizadores interiores, manijas acolchadas y manija para colgar. Con manija acolchada lateral de gran resistencia. Medidas: 28 cm x 61 cm x 28 cm Marca: 15 cm / Screen Unidades por Caja: 4   Unidades  Empaque: 45,0    X 32,0 X 68,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/maletin-trolley-florida-weekend/4888/75,"['VA-396_1.jpg', 'VA-396_2.jpg']"
Base para Tabletas Chef-OFERTA,xindao,PM TE-43,"Base metálica para tableta, con stylus. Ideal para utilizar su tableta en la cocina sin ensuciarla. Medidas: 3 cm x 12 cm díametro. Marca: 3 cm x 1 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 31,0    X 30,0 X 25,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/base-para-tabletas-chef - OFERTA/6216/75,"['PM TE-43_1.jpg', 'PM TE-43_2.jpg', 'PM TE-43_3.jpg', 'PM TE-43_4.jpg', 'PM TE-43_5.jpg', 'PM TE-43_6.jpg']"
Base para Tabletas Chef-OFERTA,xindao,PM TE-43,"Base metálica para tableta, con stylus. Ideal para utilizar su tableta en la cocina sin ensuciarla. Medidas: 3 cm x 12 cm díametro. Marca: 3 cm x 1 cm / Tampografía Unidades por Caja: 20   Unidades  Empaque: 31,0    X 30,0 X 25,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/base-para-tabletas-chef - OFERTA/6216/75,"['PM TE-43_1.jpg', 'PM TE-43_2.jpg', 'PM TE-43_3.jpg', 'PM TE-43_4.jpg', 'PM TE-43_5.jpg', 'PM TE-43_6.jpg']"
Morral City Backpack,xindao,VA-509,"Morral en microfibra para portátil. Dos compartimentos con cierre de cremallera. Medidas: 40 cm x 29 cm x 11,5 cm Marca: 6 cm x 3 cm / Screen. Unidades por Caja: 20   Unidades  Empaque: 44,0    X 36,0 X 62,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/morral-city-backpack/6266/75,"['VA-509_1.jpg', 'VA-509_2.jpg']"
Decantador de Vino Aerato OFERTA,xindao,PM HO-202,"Decantador tipo “Ducha” para vino tinto en vidrio. Con tapa de madera. Empaque Caja Individual. Medidas: 19 cm x 21 cm díametro. Sin marca Unidades por Caja: 4   Unidades  Empaque: 49,0    X 26,5 X 55,0 / 6,5 Kg",https://www.catalogospromocionales.com/p/decantador-de-vino-aerato/6102/75,"['PM HO-202_1.jpg', 'PM HO-202_2.jpg', 'PM HO-202_3.jpg', 'PM HO-202_4.jpg']"
Maletin deportivo Florida,xindao,VA-395,"En poliéster 600D Ribstop. Bolsillo frontal con cremallera. Con organizadores interiores, bolsillo lateral, bolsillo portazapatos, asas acolchadas y manija para colgar. 4 soportes en la base. Medidas: 55 cm x 26 cm x 27,5 cm Marca: 15 cm / Screen Unidades por Caja: 20   Unidades  Empaque: 58,0    X 31,0 X 60,0 / 16,4 Kg",https://www.catalogospromocionales.com/p/maletin-deportivo-florida/4876/75,"['VA-395_1.jpg', 'VA-395_2.jpg', 'VA-395_3.jpg', 'VA-395_4.jpg']"
